Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4001009  4000141            0.03414    0.38012    0.04117    1.52220   86.82269   30.33134   -1.00444 
4001010  4000141            0.04287    0.39794    0.04062    1.99186  204.98914   36.83612   -0.82643 
4001011  4000141            0.05055    0.40113    0.03445    3.24234  725.75085   26.96942   -0.87478 
4001155  4000157            0.04948    0.38295    0.00984    1.53190   21.69069    3.72468   -0.17755 
4001156  4000157            0.08557    0.43685    0.01248    1.40219    7.99248    3.08128   -0.67995 
4001157  4000157            0.08521    0.44495    0.01334    1.40224   10.35084    3.48675   -0.70122 
4001158  4000157            0.07007    0.41824    0.01579    1.41001   14.11526    5.16279   -0.75585 
4001159  4000157            0.06212    0.40009    0.01686    1.41515   15.13616    6.03437   -0.78343 
4001160  4000157            0.06750    0.37304    0.01347    1.36234    3.54076    3.67907   -0.87385 
4001161  4000157            0.06995    0.38221    0.01302    1.37761    3.97588    3.50743   -0.80025 
4001164  4000157            0.08551    0.42886    0.01188    1.39974    6.15225    2.81220   -0.67248 
4001165  4000158            0.07229    0.46203    0.00596    1.63418   18.51996    1.97961    0.25662 
4001167  4000158            0.08449    0.44924    0.00720    1.53394    5.96404    1.82329   -0.09237 
4001168  4000158            0.08208    0.43400    0.00723    1.53428    4.96314    1.80836   -0.12876 
4001169  4000158            0.08145    0.43382    0.00700    1.54800    6.07261    1.77321   -0.09584 
4001170  4000158            0.08082    0.45115    0.00634    1.58990   11.11452    1.74955    0.05593 
4001171  4000158           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4001172  4000159            0.03887    0.48101    0.01057    1.47920  318.95312    6.37646    0.36412 
4001173  4000159            0.03513    0.42977    0.01246    1.47598  186.23854    7.19538    0.02095 
4001174  4000159            0.03107    0.37216    0.02226    1.43909   74.84791   12.87537   -0.71140 
4001175  4000159            0.04261    0.52048    0.00783    1.51970  437.13033    4.57747    0.73464 
4001176  4000159            0.03413    0.40702    0.00973    1.51893  149.51657    5.03099    0.15033 
4001177  4000159            0.02956    0.37205    0.01991    1.44317   89.47567   11.49001   -0.60305 
