Longitude,Latitude,Year
37.283333,-0.583333,2003
37.016667,-0.866667,2003
37.016667,-0.866667,2003
37.083333,-0.933333,2003
34.719322,0.136191,1999-2000
34.654308,0.034935,1999-2000
34.762361,-0.725887,
35.62,-0.17,
37.862373,0.040625,
34.723479,0.081656,
36.362987,-0.073323,
3.54,7.5,1989
3.54,7.5,1990
-2.499819,10.068924,2007-2009
-2.499819,10.068924,2007-2010
37.48,-2.08,2003
37.48,-2.08,2003
35.25,-15.5,1992-2002
35.25,-15.5,1998-1999
35.25,-15.5,1999-2000
38.029797,-1.503517,1985
37.983528,-1.371139,1986
36.6,-1.26,1975
37.983528,-1.371139,1985
38.029797,-1.503517,1985
38.029797,-1.503517,1985
37.983528,-1.371139,1986
7.633,11.183,1988
37.5,-0.67,1990
37.5,-0.67,1990
37.5,-0.67,1990
37.5,-0.67,1990
3.54,7.5,1990
34.853675,0.444556,1992
37.62,-1.41,1993
37.62,-1.41,1993
37.62399,-1.414056,1993
37.62,-1.41,1994
7.699871,10.400042,1996
7.699871,10.400042,1996
37.967633,-2.410782,1996
35.310739,1.363842,1996
35.310739,1.363842,1996
35.599968,-14.699995,1996
35.599968,-14.699995,1996
35.310739,1.363842,1997
35.310739,1.363842,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
38.91,-5.13,1997
35.310739,1.363842,1998
37.016667,-0.866667,1998
35.3,0.583333,1998
35.310739,1.363842,1998
35.310739,1.363842,1999
35.310739,1.363842,1999
35.310739,1.363842,2000
36.683333,-1.25,2000
35.3,0.583333,2000
-2.5,10.066667,2000
36.683333,-1.25,2001
37.5,-0.76,2001
37.5,-0.76,2001
37.5,-0.76,2001
37.5,-0.76,2001
37.5,-0.76,2001
35.59,1,2001
35.59,1,2001
-2.5,10.066667,2001
-2.5,10.066667,2001
37.5,-0.76,2002
35.59,1,2002
35.59,1,2002
34.286797,0.05319,2003
34.286797,0.05319,2003
35.59,1,2003
35.59,1,2003
37.48,-2.08,2003
37.48,-2.08,2003
37.48,-2.08,2003
37.48,-2.08,2003
2.58,7.44,2003
1.73,7.6,2003
-0.9,5,2003
1.73,7.6,2004
-0.9,5,2004
7.63329,11.16673,2005
7.63329,11.16673,2005
37.23157,-1.637568,2006
7.63329,11.16673,2006
7.63329,11.16673,2006
37.23157,-1.637568,2007
7.250724,5.194345,2007
0.05685,6.159298,2008
0.05685,6.159298,2008
-0.83672,6.082991,2008
-2.0165,7.743493,2008
38.17085,-4.96093,2010
38.65,-5.283,2010
38.65,-5.283,2010
35.026,-4.195,  1987-1988
35.5,-3.84, 1984-1985
36.669316,-3.409967, 1985-1986 
33.54,-8.91,1982-1886
33.54,-8.91,1982-1886
33.4,-9.39,1982-1986
34.684439,-10.10209,1982-1986
32.32,-8.96,1982-1986
38.91,-5.13,1982-1986
38.91,-5.13,1982-1986
36.07795,-10.54385,1982-1986
37.29,-11.06,1982-1986
35.67,-3.35,1983-1984
36.63,-3.32,1983-1984
35.67,-3.35,1984-1985
36.64,-3.36,1984-1985
35.05,-3.02,1984-1985
36.63,-3.32,1984-1985
36.63,-3.32,1985-1986 
36.63,-3.32,1986-1987 
35.5,-3.84,1987-1988
36.63,-3.32,1987-1988 
35.67,-3.35,1988-1989
36.9,-3.35,1988-1989
36.691632,-3.389747,1988-1989 
35.149,-4.439,1989-1990
35.71,-3.29,1989-1990
35.35,-4.06,1989-1990
36.9,-3.35,1989-1990
35.149,-4.439,1989-1990
35.498,-4.239,1989-1990
36.669316,-3.409967,1989-1990
35.71,-3.29,1989-1990
36.6,-3.3,1989-1990 
36.63,-3.32,1989-1990 
37.83,9.13,1989-1992
37.83,9.13,1989-1992
36.669316,-3.409967,1989-1990
35.149,-4.439,1990-1991
35.149,-4.439,1990-1991
36.669316,-3.409967,1990-1991
36.691632,-3.389747,1990-1991
36.691632,-3.389747,1990-1991
35.48,-4.455,1990-1991
36.691632,-3.389747,1990-1991
35.7,-3.3,1990-1991
35.71,-3.29,1990-1991
35.39,-4.53,1990-1991
35.35,-4.06,1990-1991
36.6,-3.3,1990-1991
36.9,-3.35,1990-1991
35.149,-4.439,1990-1991
35.498,-4.239,1990-1991
35.026,-4.195,1990-1991
36.669316,-3.409967,1990-1991
36.669316,-3.409967,1990-1991
36.669316,-3.409967,1990-1991
35.48,-4.455,1990-1991
36.669316,-3.409967,1990-1991
35.7,-3.3,1990-1991
35.71,-3.29,1990-1991
30.8,-19.833,1990-1991
30.8,-19.833,1990-1991
30.8,-19.833,1990-1991
30.8,-19.833,1990-1991
30.8,-19.833,1990-1991
30.8,-19.833,1990-1991
29.81,-19.21,1990-1991
29.81,-19.21,1990-1991
29.81,-19.21,1990-1991
29.81,-19.21,1990-1991
29.81,-19.21,1990-1991
29.81,-19.21,1990-1991
35.498,-4.239,1990-1991 
35.026,-4.195,1990-1991
30.8,-19.8,1991-1992
30.8,-19.8,1992-1993
35.25,-15.5,1992-2002
30.8,-19.8,1993-1994
30.8,-19.8,1994-1995
28.25,-15.55,1995-1996
28.25,-15.55,1995-1996
7.7,10.4,1995-1996
7.7,10.4,1995-1996
7.7,10.4,1995-1996
7.7,10.4,1995-1996
7.7,10.4,1995-1996
9.783333,10.016667,1995-1996
9.783333,10.016667,1995-1996
9.783333,10.016667,1995-1996
9.783333,10.016667,1995-1996
9.783333,10.016667,1995-1996
30.8,-19.8,1995-1996
31,-17.9,1996-1997
31.9,-19.3,1996-1997
30.8,-19.6,1996-1997
31.3,-19.5,1996-1997
28.25,-15.55,1996-1997
28.25,-15.55,1996-1997
27.6,-16,1996-1997
27.6,-16,1996-1997
31.5,-17.76,1996-1997
31.7,-18.75,1996-1997
30.8,-19.8,1996-1997
30.8,-19.8,1997-1998
35.3,0.583333,1997-2000
35.3,0.583333,1997-2000
35.3,0.583333,1997-2000
35.25,-15.5,1998-1999
35.25,-15.5,1999-2000
