long,lat,year,total_precipitation
37.283333,-0.583333,2003,1144.6
37.016667,-0.866667,2003,1144.6
37.016667,-0.866667,2003,1144.6
37.083333,-0.933333,2003,1144.6
34.719322,0.136191,1999-2000,784.65
34.654308,0.034935,1999-2000,784.65
34.762361,-0.725887,,-999
35.62,-0.17,,-999
37.862373,0.040625,,-999
34.723479,0.081656,,-999
36.362987,-0.073323,,-999
3.54,7.5,1989,1496.0
3.54,7.5,1990,1346.4
-2.499819,10.068924,2007-2009,1533.96666667
-2.499819,10.068924,2007-2010,1150.475
37.48,-2.08,2003,491.7
37.48,-2.08,2003,491.7
35.25,-15.5,1992-2002,635.454545455
35.25,-15.5,1998-1999,699.3
35.25,-15.5,1999-2000,554.15
38.029797,-1.503517,1985,449.6
37.983528,-1.371139,1986,1034.4
36.6,-1.26,1975,618.5
37.983528,-1.371139,1985,901.0
38.029797,-1.503517,1985,449.6
38.029797,-1.503517,1985,449.6
37.983528,-1.371139,1986,1034.4
7.633,11.183,1988,1086.0
37.5,-0.67,1990,986.3
37.5,-0.67,1990,986.3
37.5,-0.67,1990,986.3
37.5,-0.67,1990,986.3
3.54,7.5,1990,1346.4
34.853675,0.444556,1992,1705.1
37.62,-1.41,1993,767.2
37.62,-1.41,1993,767.2
37.62399,-1.414056,1993,767.2
37.62,-1.41,1994,1075.4
7.699871,10.400042,1996,1134.4
7.699871,10.400042,1996,1134.4
37.967633,-2.410782,1996,423.3
35.310739,1.363842,1996,997.1
35.310739,1.363842,1996,997.1
35.599968,-14.699995,1996,1010.5
35.599968,-14.699995,1996,1010.5
35.310739,1.363842,1997,1153.7
35.310739,1.363842,1997,1153.7
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
38.91,-5.13,1997,1154.4
35.310739,1.363842,1998,1221.2
37.016667,-0.866667,1998,1290.8
35.3,0.583333,1998,1374.9
35.310739,1.363842,1998,1221.2
35.310739,1.363842,1999,915.7
35.310739,1.363842,1999,915.7
35.310739,1.363842,2000,891.4
36.683333,-1.25,2000,492.0
35.3,0.583333,2000,931.4
-2.5,10.066667,2000,1090.4
36.683333,-1.25,2001,657.3
37.5,-0.76,2001,730.1
37.5,-0.76,2001,730.1
37.5,-0.76,2001,730.1
37.5,-0.76,2001,730.1
37.5,-0.76,2001,730.1
35.59,1.0,2001,1041.0
35.59,1.0,2001,1041.0
-2.5,10.066667,2001,1024.1
-2.5,10.066667,2001,1024.1
37.5,-0.76,2002,1103.1
35.59,1.0,2002,770.8
35.59,1.0,2002,770.8
34.286797,0.05319,2003,1224.8
34.286797,0.05319,2003,1224.8
35.59,1.0,2003,831.6
35.59,1.0,2003,831.6
37.48,-2.08,2003,491.7
37.48,-2.08,2003,491.7
37.48,-2.08,2003,491.7
37.48,-2.08,2003,491.7
2.58,7.44,2003,1474.3
1.73,7.6,2003,1181.1
-0.9,5.0,2003,-999
1.73,7.6,2004,1133.5
-0.9,5.0,2004,-999
7.63329,11.16673,2005,908.7
7.63329,11.16673,2005,908.7
37.23157,-1.637568,2006,850.3
7.63329,11.16673,2006,944.4
7.63329,11.16673,2006,944.4
37.23157,-1.637568,2007,667.4
7.250724,5.194345,2007,2486.3
0.05685,6.159298,2008,1200.2
0.05685,6.159298,2008,1200.2
-0.83672,6.082991,2008,1291.5
-2.0165,7.743493,2008,1210.1
38.17085,-4.96093,2010,0.0
38.65,-5.283,2010,0.0
38.65,-5.283,2010,0.0
35.026,-4.195,  1987-1988,992.55
35.5,-3.84, 1984-1985,1298.0
36.669316,-3.409967, 1985-1986 ,1124.1
33.54,-8.91,1982-1886,-999
33.54,-8.91,1982-1886,-999
33.4,-9.39,1982-1986,1200.8
34.684439,-10.10209,1982-1986,1200.8
32.32,-8.96,1982-1986,1200.8
38.91,-5.13,1982-1986,1200.8
