Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1977	34.6	21.6	29.7		313	
1/2/1977	34.6	21.7	29.8		314	
1/3/1977	34.6	21.7	29.7		317	
1/4/1977	34.5	21.6	29.7		320	
1/5/1977	34.5	21.6	29.7		323	
1/6/1977	34.5	21.7	29.7		319	
1/7/1977	34.6	21.7	29.6		314	
1/8/1977	34.6	21.7	29.6		310	
1/9/1977	34.6	21.8	29.6		304	
1/10/1977	35.0	31.0	33.0		301	
1/11/1977	34.6	21.8	29.5		301	
1/12/1977	34.6	21.9	29.5		296	
1/13/1977	34.7	21.9	29.5		297	
1/14/1977	34.7	21.9	29.4		296	
1/15/1977	34.7	21.9	29.4		296	
1/16/1977	34.7	21.9	29.5		296	
1/17/1977	34.8	21.9	29.6		295	
1/18/1977	34.7	21.9	29.6		301	
1/19/1977	34.8	21.8	29.5		299	
1/20/1977	34.9	21.9	29.5		310	
1/21/1977	34.9	21.9	29.6		317	
1/22/1977	35.1	22.1	29.7		321	
1/23/1977	35.1	22.2	29.7		328	
1/24/1977	35.2	22.1	29.8		332	
1/25/1977	35.3	22.1	29.8		338	
1/26/1977	34.0	24.0	28.5	0	511	
1/27/1977	34.0	24.0	28.5		356	
1/28/1977	34.0	24.0	28.5		364	
1/29/1977	34.0	24.0	28.5		360	
1/30/1977	34.0	24.0	28.5		358	
1/31/1977	34.0	24.0	28.5		355	
2/1/1977	35.0	21.0	26.8		353	
2/2/1977	35.4	22.6	30.0		355	
2/3/1977	35.4	22.7	30.1		355	
2/4/1977	35.4	22.8	30.1		353	
2/5/1977	35.4	22.8	30.0		341	
2/6/1977	35.6	22.7	30.1		335	
2/7/1977	35.6	22.6	30.1		328	
2/8/1977	35.7	22.6	30.2		322	
2/9/1977	35.8	22.5	30.2		323	
2/10/1977	35.8	22.4	30.3		320	
2/11/1977	35.9	22.4	30.4		319	
2/12/1977	35.9	22.4	30.4		319	
2/13/1977	35.9	22.3	30.4		317	
2/14/1977	36.0	22.4	30.4		314	
2/15/1977	36.0	23.0	32.0		200	
2/16/1977	33.0	24.0	27.0		289	
2/17/1977	33.0	24.0	27.0		289	
2/18/1977	33.0	24.0	27.0		289	
2/19/1977	33.0	24.0	27.0		289	
2/20/1977	34.0	18.0	29.3	0	124	
2/21/1977	36.3	22.9	31.1		302	
2/22/1977	36.4	23.1	31.1		300	
2/23/1977	36.4	23.2	31.2		302	
2/24/1977	36.4	23.3	31.2		298	
2/25/1977	36.4	23.3	31.2		297	
2/26/1977	36.4	23.5	31.2		296	
2/27/1977	36.4	23.6	31.1		297	
2/28/1977	36.4	23.7	31.1		301	
3/1/1977	36.4	23.6	31.1		299	
3/2/1977	36.4	23.7	31.2		302	
3/3/1977	36.4	23.7	31.1		301	
3/4/1977	36.4	23.7	31.1		302	
3/5/1977	36.5	23.6	31.1		301	
3/6/1977	36.5	23.8	31.2		301	
3/7/1977	36.6	23.9	31.3		299	
3/8/1977	35.0	19.0	29.3	0	307	
3/9/1977	35.0	19.0	29.3		307	
3/10/1977	35.0	19.0	29.3		307	
3/11/1977	35.0	19.0	29.3		307	
3/12/1977	36.0	16.0	27.3	0	378	
3/13/1977	36.0	16.0	27.3		378	
3/14/1977	37.0	29.0	34.3		378	
3/15/1977	36.0	29.0	32.5		213	
3/16/1977	37.0	24.0	30.0	0	556	
3/17/1977	37.0	24.0	30.0		556	
3/18/1977	37.0	24.0	30.0		556	
3/19/1977	37.0	24.0	30.0		556	
3/20/1977	37.0	24.0	30.0		556	
3/21/1977	36.0	23.0	31.4	0	267	
