Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
2/13/1957	27.8	15.0	23.6		267	
7/1/1957	22.8	15.0	18.3		244	
7/2/1957	22.8	15.0	18.3		244	
7/3/1957	22.8	15.0	18.3		244	
7/4/1957	25.0	15.0	18.1		133	
7/5/1957	25.0	15.0	18.1		133	
7/6/1957	22.8	13.9	18.3		147	
7/7/1957	22.2	13.9	18.1		111	
7/8/1957	22.2	13.9	18.1		111	
7/9/1957	22.2	13.9	18.1		111	
7/10/1957	22.2	13.9	18.1		111	
7/11/1957	22.2	13.9	18.1		111	
7/12/1957	22.8	12.2	19.7		267	
7/13/1957	23.9	13.9	18.3		222	
7/14/1957	23.9	13.9	18.3		222	
7/15/1957	23.9	15.0	18.8		169	
7/16/1957	23.9	15.0	18.8		169	
7/17/1957	23.9	15.0	18.8		169	
7/18/1957	23.9	15.0	18.8		169	
7/19/1957	23.9	12.8	20.0		133	
7/20/1957	22.8	13.9	17.8		53	
7/21/1957	25.0	12.8	19.8		164	
7/22/1957	22.8	15.0	19.8		120	
7/23/1957	22.8	12.8	19.0		124	
7/24/1957	22.8	12.8	19.0		124	
7/25/1957	22.8	12.8	19.0		124	
7/26/1957	22.8	12.8	19.0		124	
7/27/1957	23.9	12.8	15.2		400	
7/28/1957	22.2	12.2	18.8		98	
7/29/1957	22.2	12.2	18.8		98	
7/30/1957	22.2	12.2	18.8		98	
7/31/1957	22.2	12.2	18.8		98	
8/1/1957	22.2	12.2	18.8		98	
8/2/1957	20.0	13.9	15.6		111	
8/3/1957	20.0	13.9	15.6		111	
8/4/1957	20.0	13.9	15.6		111	
8/5/1957	20.0	13.9	15.6		111	
8/6/1957	20.0	13.9	15.6		111	
8/7/1957	20.0	13.9	15.6		111	
8/8/1957	20.0	15.0	17.5		53	
8/9/1957	20.0	15.0	17.5		53	
8/10/1957	21.1	13.9	16.5		67	
8/11/1957	21.1	13.9	16.5		67	
8/12/1957	23.9	12.8	18.6		147	
8/13/1957	22.2	12.8	17.5		200	
8/14/1957	22.2	12.8	17.5		200	
8/15/1957	22.8	12.8	19.7		213	
8/16/1957	22.8	12.8	19.7		213	
8/17/1957	22.8	13.9	18.2		133	
8/18/1957	22.8	13.9	18.2		133	
8/19/1957	22.8	13.9	18.2		133	
8/20/1957	22.8	13.9	18.2		133	
8/21/1957	22.8	12.8	19.0		178	
8/22/1957	22.8	12.8	19.0		178	
8/23/1957	22.8	12.8	19.0		178	
8/24/1957	22.2	12.8	18.2		258	
8/25/1957	22.2	12.8	18.2		258	
8/26/1957	22.2	13.9	19.3		200	
8/27/1957	23.9	12.8	18.6		116	
8/28/1957	23.9	12.8	18.6		116	
8/29/1957	23.9	12.8	18.6		116	
8/30/1957	22.8	12.8	17.6		178	
8/31/1957	25.0	12.8	19.3		147	
9/1/1957	23.9	12.8	17.2		76	
9/2/1957	23.9	12.8	17.2		76	
9/3/1957	26.1	12.2	19.2		240	
9/4/1957	26.1	12.2	19.2		240	
9/5/1957	23.9	12.2	18.5		133	
9/6/1957	20.0	12.2	16.3		231	
9/7/1957	20.0	12.2	16.3		231	
9/8/1957	23.9	12.8	20.4		213	
9/9/1957	23.9	12.8	20.4		213	
9/10/1957	25.0	12.2	21.0		213	
9/11/1957	25.0	12.2	21.0		213	
9/12/1957	25.0	12.2	21.0		213	
9/13/1957	25.0	12.2	21.0		213	
9/14/1957	25.0	12.2	21.0		213	
9/15/1957	26.1	12.8	20.1		178	
9/16/1957	25.0	13.9	19.3		111	
9/17/1957	25.0	13.9	21.1		311	
9/18/1957	27.2	13.9	20.0		209	
9/19/1957	27.2	12.8	22.5		262	
9/20/1957	27.2	11.1	19.3		133	
9/21/1957	26.1	12.8	21.3		200	
9/22/1957	27.2	12.8	20.6		156	
9/23/1957	27.2	12.8	20.6		156	
9/24/1957	27.2	11.1	22.2		187	
9/25/1957	27.8	11.1	23.8		267	
9/26/1957	27.8	12.8	23.9		471	
9/27/1957	27.8	12.8	20.6		400	
9/28/1957	28.9	15.0	22.0		427	
9/29/1957	27.8	11.1	23.6		320	
9/30/1957	27.8	11.1	23.6		320	
10/1/1957	27.8	11.1	23.6		320	
10/2/1957	27.8	11.1	22.8		342	
10/3/1957	28.9	15.0	23.9		320	
10/4/1957	28.9	12.2	21.3		285	
10/5/1957	27.8	13.9	21.8		267	
10/6/1957	27.2	13.9	20.6		227	
10/7/1957	27.8	13.9	23.1		382	
10/8/1957	27.8	13.9	23.1		382	
10/9/1957	28.9	16.1	22.4		378	
10/10/1957	27.8	15.0	20.8		378	
10/11/1957	27.8	15.0	20.8		378	
10/12/1957	26.1	12.8	18.2		356	
10/13/1957	26.1	12.8	18.2		356	
10/14/1957	27.2	13.9	20.0		231	
10/15/1957	26.1	13.9	19.6		222	
10/16/1957	26.1	13.9	19.6		222	
10/17/1957	27.8	15.0	22.1		347	
10/18/1957	27.2	13.9	17.3		164	
10/19/1957	27.2	11.1	21.7		342	
10/20/1957	27.8	12.2	19.7		280	
10/21/1957	27.8	12.2	19.7		280	
10/22/1957	27.2	12.2	19.4		236	
10/23/1957	27.2	12.8	21.1		311	
10/24/1957	27.8	12.8	20.3		258	
10/25/1957	27.8	10.0	23.0		258	
10/26/1957	27.8	10.0	23.0		258	
10/27/1957	27.2	12.8	19.3		213	
10/28/1957	27.2	12.8	21.1		213	
10/29/1957	27.8	13.9	20.8		329	
10/30/1957	27.2	12.8	19.3		244	
10/31/1957	27.8	13.9	20.7		231	
11/1/1957	27.2	11.1	21.1		258	
11/2/1957	27.2	11.1	21.1		258	
11/3/1957	27.8	13.9	20.7		293	
11/4/1957	27.8	13.9	20.7		293	
11/5/1957	27.8	13.9	20.7		293	
11/6/1957	27.2	15.0	19.6		191	
11/7/1957	27.2	15.0	19.6		191	
11/8/1957	27.2	15.0	19.6		191	
11/9/1957	27.2	11.1	22.5		409	
11/10/1957	27.2	12.2	17.9		169	
11/11/1957	26.1	11.1	18.1		253	
11/12/1957	27.2	10.0	19.3		311	
11/13/1957	27.8	10.0	20.8		267	
11/14/1957	28.9	12.2	21.6		204	
11/15/1957	28.9	12.2	21.6		204	
11/16/1957	27.8	12.2	23.9		178	
11/17/1957	27.2	12.8	21.7		222	
11/18/1957	28.9	13.9	24.4		258	
