Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/11/1957	18.9	12.8	16.0		280	
3/12/1957	25.9	14.8	21.6			
3/13/1957	25.9	15.0	21.6			
3/14/1957	25.9	15.1	21.5			
3/15/1957	25.9	15.1	21.5			
3/16/1957	25.9	15.1	21.4			
3/17/1957	25.9	15.1	21.3			
3/18/1957	25.9	15.2	21.2			
3/19/1957	25.9	15.2	21.3			
3/20/1957	25.8	15.3	21.3			
3/21/1957	25.7	15.3	21.2			
3/22/1957	25.7	15.3	21.2			
3/23/1957	25.7	15.2	21.2			
3/24/1957	25.7	15.2	21.2			
3/25/1957	25.6	15.2	21.1			
3/26/1957	25.4	15.2	21.0			
3/27/1957	25.3	15.1	20.9			
3/28/1957	25.3	14.9	20.8			
3/29/1957	25.3	14.8	20.7			
3/30/1957	25.3	14.8	20.7			
3/31/1957	25.3	14.8	20.7			
4/1/1957	25.3	14.9	20.7			
4/2/1957	25.2	14.9	20.6			
4/3/1957	25.2	15.0	20.5			
4/4/1957	25.3	15.1	20.6			
4/5/1957	25.3	15.3	20.6			
4/6/1957	25.2	15.4	20.7			
4/7/1957	25.2	15.5	20.8			
4/8/1957	25.2	15.6	20.8			
4/9/1957	25.3	15.6	20.8			
4/10/1957	25.2	15.6	20.8			
4/11/1957	25.3	15.7	20.9			
4/12/1957	25.3	15.6	20.9			
4/13/1957	25.3	15.6	20.9			
4/14/1957	25.3	15.6	20.8			
4/15/1957	25.3	15.6	20.7			
4/16/1957	25.1	15.4	20.6			
4/17/1957	24.9	15.4	20.4			
4/18/1957	24.8	15.2	20.3			
4/19/1957	24.8	15.1	20.3			
4/20/1957	24.8	14.9	20.2			
4/21/1957	24.8	14.9	20.2			
4/22/1957	24.7	14.8	20.1			
4/23/1957	24.7	14.7	20.2			
4/24/1957	24.7	14.7	20.2			
4/25/1957	24.8	14.7	20.3			
4/26/1957	25.0	14.7	20.3			
4/27/1957	25.0	14.8	20.3			
4/28/1957	25.1	14.8	20.4			
4/29/1957	24.9	14.9	20.3			
4/30/1957	24.9	14.9	20.3			
5/1/1957	23.9	18.9	21.4			
5/2/1957	24.6	14.9	20.1			
5/3/1957	24.4	14.8	19.9			
5/4/1957	24.2	14.7	19.8			
5/5/1957	23.8	14.5	19.7			
5/6/1957	23.6	14.4	19.4			
5/7/1957	23.2	14.3	19.3			
5/8/1957	23.0	14.3	19.1			
5/9/1957	22.8	14.2	18.9			
5/10/1957	22.6	14.2	18.8			
5/11/1957	22.5	14.1	18.7			
5/12/1957	22.4	14.2	18.7			
5/13/1957	22.4	14.3	18.7			
5/14/1957	22.5	14.4	18.7			
5/15/1957	22.5	14.4	18.7			
5/16/1957	22.4	14.5	18.6			
5/17/1957	22.6	14.6	18.7			
5/18/1957	22.7	14.4	18.6			
5/19/1957	22.7	14.3	18.6			
5/20/1957	22.7	14.2	18.6			
5/21/1957	22.7	14.0	18.6			
5/22/1957	22.6	13.8	18.4			
5/23/1957	22.4	13.6	18.2			
5/24/1957	22.4	13.4	18.2			
5/25/1957	22.4	13.2	18.1			
5/26/1957	22.3	13.0	17.9			
5/27/1957	22.1	12.9	17.8			
5/28/1957	21.9	12.9	17.8			
5/29/1957	21.8	13.0	17.7			
5/30/1957	21.7	13.0	17.6			
5/31/1957	21.6	13.0	17.6			
6/1/1957	21.5	13.1	17.6			
6/2/1957	21.4	13.2	17.6			
6/3/1957	21.4	13.3	17.6			
6/4/1957	21.4	13.4	17.7			
6/5/1957	21.4	13.5	17.8			
6/6/1957	21.5	13.6	17.8			
6/7/1957	21.6	13.6	17.9			
6/8/1957	21.6	13.6	17.9			
6/9/1957	21.7	13.6	18.0			
6/10/1957	21.8	13.6	18.1			
6/11/1957	21.8	13.6	18.0			
6/12/1957	21.8	13.5	18.0			
6/13/1957	21.8	13.4	18.0			
6/14/1957	21.8	13.3	18.0			
6/15/1957	21.9	13.3	18.0			
6/16/1957	21.8	13.2	17.9			
6/17/1957	21.7	13.1	17.8			
6/18/1957	21.5	13.1	17.7			
6/19/1957	21.3	13.1	17.5			
6/20/1957	21.2	13.1	17.4			
6/21/1957	21.1	13.1	17.3			
6/22/1957	20.9	13.1	17.2			
6/23/1957	20.9	13.1	17.1			
6/24/1957	20.7	13.1	17.0			
6/25/1957	20.7	13.1	17.0			
6/26/1957	20.7	13.2	16.9			
6/27/1957	20.6	13.1	16.9			
6/28/1957	20.6	13.1	16.9			
6/29/1957	20.5	13.1	16.9			
6/30/1957	20.4	13.0	16.8			
7/1/1957	20.4	12.9	16.8			
7/2/1957	20.2	12.9	16.8			
7/3/1957	20.1	12.8	16.7			
7/4/1957	19.9	12.8	16.7			
7/5/1957	19.9	12.8	16.7			
7/6/1957	20.1	12.8	16.8			
7/7/1957	20.2	12.8	16.8			
7/8/1957	20.2	12.8	16.8			
7/9/1957	20.3	12.9	16.9			
7/10/1957	20.3	12.9	16.8			
7/11/1957	20.2	13.0	16.8			
7/12/1957	20.3	13.0	16.8			
7/13/1957	20.2	13.1	16.8			
7/14/1957	20.1	13.0	16.7			
7/15/1957	19.8	13.0	16.6			
7/16/1957	19.7	13.0	16.5			
7/17/1957	19.6	12.9	16.4			
7/18/1957	19.6	12.9	16.3			
7/19/1957	19.7	12.9	16.4			
7/20/1957	19.6	12.9	16.3			
7/21/1957	19.6	12.9	16.3			
7/22/1957	19.6	13.0	16.3			
7/23/1957	19.6	13.1	16.4			
7/24/1957	19.7	13.1	16.5			
7/25/1957	19.7	13.2	16.6			
7/26/1957	19.8	13.2	16.6			
7/27/1957	19.7	13.3	16.7			
7/28/1957	19.7	13.3	16.7			
7/29/1957	19.7	13.4	16.7			
7/30/1957	19.7	13.4	16.8			
7/31/1957	19.7	13.5	16.8			
8/1/1957	19.7	13.5	16.8			
