Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/21/1963	28.9	10.0	20.6		58	
3/22/1963	28.9	10.0	20.6		187	
3/23/1963	28.9	8.9	20.6		111	
3/24/1963	28.9	8.9	20.6		111	
3/25/1963	28.9	8.9	20.6		111	
3/26/1963	30.0	11.1	21.5		58	
3/27/1963	30.0	11.1	21.5		89	
3/28/1963	27.2	13.9	19.4		88	
3/29/1963	28.9	13.9	21.7		85	
3/30/1963	28.9	12.8	23.9		84	
3/31/1963	27.2	13.9	22.2		82	
4/1/1963	28.2	13.3	20.9		82	
4/2/1963	28.2	13.2	20.8		84	
4/3/1963	28.2	13.2	20.8		83	
4/4/1963	28.2	13.1	20.7		82	
4/5/1963	28.2	13.2	20.7		82	
4/6/1963	28.3	13.2	20.7		82	
4/7/1963	28.3	13.2	20.7		82	
4/8/1963	28.2	13.1	20.6		82	
4/9/1963	28.2	13.2	20.5		80	
4/10/1963	28.2	13.2	20.6		79	
4/11/1963	28.2	13.2	20.5		80	
4/12/1963	28.2	13.3	20.6		86	
4/13/1963	28.2	13.3	20.5		92	
4/14/1963	28.1	13.2	20.4		95	
4/15/1963	27.9	13.2	20.4		96	
4/16/1963	27.8	13.1	20.3		95	
4/17/1963	27.7	13.2	20.3		93	
4/18/1963	27.6	13.2	20.3		94	
4/19/1963	27.6	13.1	20.3		95	
4/20/1963	27.5	13.2	20.3		93	
4/21/1963	27.6	13.1	20.4		88	
4/22/1963	27.6	13.0	20.4		83	
4/23/1963	27.6	13.0	20.5		81	
4/24/1963	27.7	13.1	20.6		81	
4/25/1963	27.7	13.1	20.6		82	
4/26/1963	27.8	13.1	20.7		83	
4/27/1963	27.2	15.0	19.2		178	
4/28/1963	23.9	13.9	18.8		124	
4/29/1963	27.8	13.2	20.7		81	
4/30/1963	27.7	13.3	20.6		82	
5/1/1963	27.6	13.4	20.6		82	
5/2/1963	27.6	13.5	20.4		80	
5/3/1963	27.4	13.6	20.3		80	
5/4/1963	27.3	13.8	20.2		79	
5/5/1963	27.2	13.9	20.2		78	
5/6/1963	27.2	14.0	20.2		77	
5/7/1963	27.1	14.1	20.2		76	
5/8/1963	26.9	14.1	20.3		74	
5/9/1963	26.9	14.1	20.3		75	
5/10/1963	26.8	14.0	20.3		75	
5/11/1963	26.8	13.9	20.3		74	
5/12/1963	26.8	13.8	20.4		74	
5/13/1963	26.9	13.7	20.6		75	
5/14/1963	26.9	13.7	20.5		77	
5/15/1963	26.9	13.6	20.5		79	
5/16/1963	26.8	13.6	20.4		82	
5/17/1963	26.8	13.6	20.4		87	
5/18/1963	26.8	13.7	20.3		90	
5/19/1963	26.8	13.8	20.3		91	
5/20/1963	27.8	12.2	19.6		58	
5/21/1963	27.2	17.8	23.5		387	
5/22/1963	25.0	17.2	20.6		178	
5/23/1963	25.0	17.2	20.6			
5/24/1963	25.0	17.2	20.6			
5/25/1963	25.0	17.2	20.6			
5/26/1963	25.0	17.2	20.6			
5/27/1963	25.0	17.2	20.6			
5/28/1963	25.0	17.2	20.6			
5/29/1963	25.0	17.2	20.6			
5/30/1963	25.0	17.2	20.6			
5/31/1963	25.0	17.2	20.6			
6/1/1963	25.0	17.2	20.6			
6/2/1963	23.9	15.0	20.2		80	
6/3/1963	23.9	15.0	20.2			
6/4/1963	32.8	13.9	21.9		79	
6/5/1963	26.0	13.0	19.4			
6/6/1963	26.0	13.1	19.4			
6/7/1963	26.0	13.2	19.4			
6/8/1963	25.9	13.2	19.3			
6/9/1963	25.9	13.2	19.3			
6/10/1963	25.8	13.3	19.2			
6/11/1963	25.8	13.4	19.2			
6/12/1963	25.7	13.4	19.2			
6/13/1963	25.6	13.4	19.2			
6/14/1963	25.6	13.4	19.1			
6/15/1963	25.5	13.5	19.1			
6/16/1963	25.4	13.5	18.9			
6/17/1963	25.2	13.5	18.9			
6/18/1963	25.1	13.5	18.8			
6/19/1963	23.9	12.2	17.3		69	
6/20/1963	23.9	12.2	17.3			
6/21/1963	23.9	12.2	17.3			
6/22/1963	23.9	12.2	17.3			
6/23/1963	23.9	12.2	17.3			
6/24/1963	23.9	12.2	17.3			
6/25/1963	23.9	12.2	17.3			
6/26/1963	23.9	12.2	17.3			
6/27/1963	25.0	12.2	19.4			
6/28/1963	26.1	17.2	22.2			
6/29/1963	26.1	17.2	22.2			
6/30/1963	22.8	13.9	18.6			
7/1/1963	22.8	13.9	18.6			
7/2/1963	22.8	13.9	18.6			
7/3/1963	22.8	13.9	18.6			
7/4/1963	22.8	13.9	18.6			
7/5/1963	22.8	13.9	18.6			
7/6/1963	22.8	13.9	18.6			
7/7/1963	22.8	13.9	18.6			
7/8/1963	22.8	13.9	18.6			
7/9/1963	23.9	17.2	19.3			
7/10/1963	23.9	17.2	19.3			
7/11/1963	23.9	17.2	19.3			
7/12/1963	23.9	17.2	19.3			
7/13/1963	23.9	17.2	19.3			
7/14/1963	23.9	17.2	19.3			
7/15/1963	23.9	17.2	19.3			
7/16/1963	23.9	17.2	19.3			
7/17/1963	23.9	12.2	17.5			
7/18/1963	23.9	12.2	17.5			
7/19/1963	23.9	12.2	17.5			
7/20/1963	23.9	12.2	17.5			
7/21/1963	23.9	12.2	17.5			
7/22/1963	23.9	12.2	17.5			
7/23/1963	23.9	12.2	17.5			
7/24/1963	23.9	13.9	19.2			
7/25/1963	23.9	13.9	19.2			
7/26/1963	23.9	13.9	19.2			
7/27/1963	22.2	15.0	18.2			
7/28/1963	22.8	12.2	18.6		66	
7/29/1963	23.9	12.8	19.4			
7/30/1963	26.1	12.8	17.6			
7/31/1963	26.1	12.8	17.6			
8/1/1963	25.0	12.2	17.9			
8/2/1963	25.0	12.2	17.9			
8/3/1963	25.0	12.2	17.9			
8/4/1963	22.8	13.9	18.5			
8/5/1963	22.8	13.9	18.5			
8/6/1963	22.8	13.9	18.5			
8/7/1963	22.8	13.9	18.5			
8/8/1963	25.0	11.1	18.4			
8/9/1963	25.0	11.1	18.4			
8/10/1963	25.0	11.1	18.4			
8/11/1963	25.0	11.1	18.4			
8/12/1963	25.0	11.1	18.4			
8/13/1963	25.0	11.1	18.4			
8/14/1963	25.0	11.1	18.4			
8/15/1963	25.0	11.1	18.4			
8/16/1963	25.0	11.1	18.4			
8/17/1963	25.0	11.1	18.4			
8/18/1963	25.0	11.1	18.4			
8/19/1963	21.1	12.2	17.2			
8/20/1963	21.1	12.2	17.2			
