Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1983	30.8	14.0	22.6		218	
1/2/1983	30.2	12.6	26.8		476	
1/3/1983	31.5	12.7	24.6		218	
1/4/1983	30.8	14.8	24.3		280	
1/5/1983	30.8	14.8	24.3		280	
1/6/1983	30.8	14.8	24.3		280	
1/7/1983	30.8	14.8	24.3		280	
1/8/1983	30.8	14.8	24.3		280	
1/9/1983	30.8	14.8	24.3		280	
1/10/1983	29.0	13.0	23.3		431	
1/11/1983	28.6	11.6	24.7		431	
1/12/1983	28.2	22.0	25.4		258	
1/13/1983	29.0	21.4	25.7		369	
1/14/1983	31.0	12.4	24.3		151	
1/15/1983	31.0	12.4	24.3		151	
1/16/1983	29.8	13.7	22.1		173	
1/17/1983						
1/18/1983						
1/19/1983						
1/20/1983						
1/21/1983						
1/22/1983						
1/23/1983						
1/24/1983						
1/25/1983						
1/26/1983						
1/27/1983						
1/28/1983						
1/29/1983						
1/30/1983						
1/31/1983						
2/1/1983						
2/2/1983						
2/3/1983						
2/4/1983						
2/5/1983						
2/6/1983						
2/7/1983						
2/8/1983						
2/9/1983						
2/10/1983						
2/11/1983						
2/12/1983						
2/13/1983						
2/14/1983						
2/15/1983						
2/16/1983						
2/17/1983						
2/18/1983						
2/19/1983						
2/20/1983						
2/21/1983						
2/22/1983						
2/23/1983						
2/24/1983						
2/25/1983						
2/26/1983						
2/27/1983						
2/28/1983						
3/1/1983						
3/2/1983						
3/3/1983						
3/4/1983						
3/5/1983						
3/6/1983						
3/7/1983						
3/8/1983						
3/9/1983						
3/10/1983	33.8	20.6	28.9		138	
3/11/1983	33.8	20.6	28.9		138	
3/12/1983	33.8	20.6	28.9		138	
3/13/1983	32.6	20.4	26.7		156	
3/14/1983	33.0	21.0	27.4		409	
3/15/1983	33.2	18.2	27.4	3.3020	329	
3/16/1983	31.0	20.6	27.4	0	196	
3/17/1983	31.7	21.6	26.9		347	
3/18/1983	33.0	23.0	28.4		462	
3/19/1983	33.0	23.0	28.4		462	
3/20/1983	33.0	23.0	28.4		462	
3/21/1983	36.5	19.0	31.7		120	
3/22/1983	35.6	21.0	30.2		387	
3/23/1983	34.5	20.7	28.9		231	
3/24/1983	34.5	20.7	28.9		231	
3/25/1983	34.5	20.7	28.9		231	
3/26/1983	34.5	20.7	28.9		231	
3/27/1983	30.0	21.0	26.2		302	
3/28/1983	34.0	19.8	28.2		231	
3/29/1983	36.2	20.0	29.6		276	
3/30/1983	38.6	19.8	31.6		276	
3/31/1983	35.0	20.0	29.1		484	
4/1/1983	38.2	21.4	32.2		311	
4/2/1983	38.2	21.4	32.2		311	
4/3/1983	38.2	21.4	32.2		311	
4/4/1983	37.0	23.0	29.9		409	
4/5/1983	37.0	23.0	29.9		409	
4/6/1983	37.0	23.0	29.9		409	
4/7/1983	35.6	19.3	26.9	0.3048	360	
4/8/1983	35.2	18.6	28.3	0	347	
4/9/1983	35.2	18.6	28.3		347	
4/10/1983	35.0	18.4	29.5		173	
4/11/1983	35.0	18.4	29.5		173	
4/12/1983	33.6	20.6	22.7		53	
4/13/1983	33.0	19.0	26.6		431	
4/14/1983	34.2	19.6	28.1		102	
4/15/1983	37.0	21.5	31.5		276	
4/16/1983	37.0	21.5	31.5		276	
4/17/1983	36.7	21.6	30.3	0.2032	387	
4/18/1983	32.6	23.2	27.2	0	498	
4/19/1983	34.6	19.7	29.7		311	
4/20/1983	34.0	23.0	26.4		240	
4/21/1983	33.1	22.0	25.9	0.2032	209	
4/22/1983	27.3	18.6	23.2	1.3970	302	
4/23/1983	27.3	18.6	23.2		302	
4/24/1983	36.0	19.0	28.4	0	240	
4/25/1983	36.0	19.0	28.4		240	
4/26/1983	36.0	19.0	28.4		240	
4/27/1983	36.0	19.0	28.4		240	
4/28/1983	33.8	21.6	29.7		409	
4/29/1983	34.6	18.8	28.4		365	
4/30/1983	34.6	18.8	28.4		365	
5/1/1983	36.6	20.6	30.8		431	
5/2/1983	37.2	22.8	32.7		431	
5/3/1983	36.8	25.6	32.7		280	
5/4/1983	35.6	20.7	27.1	0.3048	347	
