Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/10/1977	23.0	16.0	20.3		67	
1/11/1977	23.0	16.0	20.3		67	
1/12/1977	23.0	16.0	20.3		67	
1/13/1977	23.0	16.0	20.3		67	
1/14/1977	23.0	16.0	20.3		67	
1/15/1977	23.0	16.0	20.3		67	
1/16/1977	23.0	16.0	20.3		67	
1/17/1977	19.0	13.0	17.3	0.1016	67	
1/18/1977	26.4	10.3	19.6		224	
1/19/1977	26.5	10.3	19.7		225	
1/20/1977	26.6	10.2	19.6		225	
1/21/1977	26.6	10.1	19.6		225	
1/22/1977	26.7	10.2	19.7		231	
1/23/1977	26.6	10.3	19.7		241	
1/24/1977	26.7	10.2	19.6		240	
1/25/1977	26.6	10.3	19.7		243	
1/26/1977	26.5	10.3	19.7		248	
1/27/1977	26.3	10.4	19.6		257	
1/28/1977	26.3	10.6	19.7		258	
1/29/1977	26.3	10.7	19.7		256	
1/30/1977	23.0	13.0	18.3	0	445	
1/31/1977	23.0	13.0	18.3		445	
2/1/1977	23.0	13.0	18.3		445	
2/2/1977	23.0	15.0	18.5		453	
2/3/1977	23.0	15.0	18.5		453	
2/4/1977	23.0	15.0	18.5		453	
2/5/1977	23.0	15.0	18.5		453	
2/6/1977	23.0	15.0	18.5		453	
2/7/1977	23.0	15.0	18.5		453	
2/8/1977	23.0	15.0	18.5		453	
2/9/1977	23.0	15.0	18.5		453	
2/10/1977	23.0	15.0	18.5		453	
2/11/1977	23.0	15.0	18.5		453	
2/12/1977	24.0	11.0	19.4	0.1016	302	
2/13/1977	24.0	11.0	19.4		302	
2/14/1977	24.0	11.0	19.4		302	
2/15/1977	24.0	11.0	19.4		302	
2/16/1977	26.0	8.0	18.2	0	209	
2/17/1977	26.0	10.0	18.8	0	320	
2/18/1977	25.0	10.0	17.5		302	
2/19/1977	25.0	10.0	17.5		302	
2/20/1977	28.0	11.0	23.8	0	311	
2/21/1977	27.3	12.4	20.6		246	
2/22/1977	27.2	12.4	20.6		246	
2/23/1977	27.1	12.4	20.6		240	
2/24/1977	27.1	12.5	20.5		240	
2/25/1977	26.9	12.5	20.4		244	
2/26/1977	26.9	12.6	20.4		245	
2/27/1977	26.9	12.7	20.5		249	
2/28/1977	26.9	12.7	20.6		252	
3/1/1977	26.9	12.7	20.6		257	
3/2/1977	27.0	12.7	20.6		261	
3/3/1977	27.1	12.7	20.6		266	
3/4/1977	27.2	12.6	20.7		273	
3/5/1977	27.3	12.6	20.7		274	
3/6/1977	27.3	12.5	20.7		269	
3/7/1977	23.0	13.0	17.0		333	
3/8/1977	23.0	13.0	17.0		333	
3/9/1977	23.0	13.0	17.0		333	
3/10/1977	23.0	13.0	17.0		333	
3/11/1977	23.0	13.0	17.0		333	
3/12/1977	27.0	11.0	19.8	0	547	
3/13/1977	27.0	11.0	20.0	0	658	
3/14/1977	27.0	14.0	22.0	0	600	
3/15/1977	25.0	12.0	21.0	0	578	
3/16/1977	31.0	12.0	25.2	0	578	
3/17/1977	29.0	12.0	22.5	0	578	
3/18/1977	29.0	12.0	22.5		578	
3/19/1977	29.0	12.0	22.5		578	
3/20/1977	29.0	12.0	22.5		578	
3/21/1977	26.0	14.0	23.0	0	578	
3/22/1977	26.0	14.0	23.0		578	
3/23/1977	26.0	14.0	23.0		578	
3/24/1977	26.0	14.0	23.0		578	
3/25/1977	26.0	14.0	23.0		578	
3/26/1977	26.0	13.0	22.3	0	387	
3/27/1977	26.0	13.0	22.3		387	
3/28/1977	26.0	13.0	22.3		387	
3/29/1977	26.0	13.0	22.3		387	
3/30/1977	26.0	13.0	22.3		387	
3/31/1977	27.0	15.0	20.7		178	
4/1/1977	27.0	15.0	20.7		178	
4/2/1977	27.0	15.0	20.7		178	
4/3/1977	27.0	15.0	20.7		178	
4/4/1977	27.0	15.0	20.7		178	
