Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1977	27.7	10.4	20.9		125	
1/2/1977	27.8	10.6	21.1		126	
1/3/1977	27.9	10.5	21.1		127	
1/4/1977	27.9	10.5	21.1		128	
1/5/1977	28.0	10.4	21.1		127	
1/6/1977	28.2	10.4	21.2		128	
1/7/1977	28.2	10.5	21.3		130	
1/8/1977	28.3	10.6	21.3		131	
1/9/1977	28.4	10.7	21.3		128	
1/10/1977	28.4	10.8	21.3		129	
1/11/1977	28.4	10.8	21.3		129	
1/12/1977	28.5	10.9	21.2		128	
1/13/1977	28.5	10.9	21.3		128	
1/14/1977	28.5	11.1	21.3		128	
1/15/1977	28.6	11.4	21.4		129	
1/16/1977	28.6	11.4	21.4		130	
1/17/1977	28.6	11.3	21.4		132	
1/18/1977	28.6	11.5	21.4		138	
1/19/1977	28.6	11.5	21.4		136	
1/20/1977	28.6	11.4	21.4		135	
1/21/1977	28.7	11.6	21.6		136	
1/22/1977	28.7	11.8	21.7		137	
1/23/1977	28.7	12.1	21.8		139	
1/24/1977	28.7	12.1	21.8		141	
1/25/1977	28.8	12.2	22.0		140	
1/26/1977	26.0	12.0	17.8	0.7112	107	
1/27/1977	26.0	12.0	17.8		107	
1/28/1977	26.0	12.0	17.8		107	
1/29/1977	26.0	12.0	17.8		107	
1/30/1977	24.0	19.0	21.5		356	
1/31/1977	24.0	18.0	22.0		311	
2/1/1977	26.0	14.0	18.5	0	222	
2/2/1977	24.0	17.0	20.3	0	141	
2/3/1977	29.6	11.9	22.6		139	
2/4/1977	29.7	12.0	22.8		139	
2/5/1977	29.7	11.9	22.8		138	
2/6/1977	29.7	11.9	22.8		137	
2/7/1977	29.6	11.9	22.8		137	
2/8/1977	29.6	12.0	22.7		134	
2/9/1977	29.5	12.1	22.7		136	
2/10/1977	29.4	12.3	22.6		137	
2/11/1977	29.4	12.4	22.6		138	
2/12/1977	29.2	12.5	22.5		140	
2/13/1977	29.1	12.6	22.4		141	
2/14/1977	25.0	14.0	20.7	0	164	
2/15/1977	25.0	14.0	20.7		164	
2/16/1977	26.0	19.0	21.8		164	
2/17/1977	26.0	10.0	19.2	0	160	
2/18/1977	27.0	11.0	18.2	0	71	
2/19/1977	29.0	12.7	22.2		154	
2/20/1977	29.1	12.7	22.2		155	
2/21/1977	29.1	12.7	22.2		154	
2/22/1977	29.2	12.7	22.2		154	
2/23/1977	29.2	12.8	22.2		152	
2/24/1977	29.0	13.0	22.2		151	
2/25/1977	29.0	13.2	22.2		149	
2/26/1977	28.9	13.2	22.2		146	
2/27/1977	28.9	13.2	22.2		142	
2/28/1977	28.9	13.4	22.2		140	
3/1/1977	28.9	13.4	22.2		137	
3/2/1977	28.8	13.4	22.2		137	
3/3/1977	28.8	13.3	22.2		135	
3/4/1977	28.8	13.2	22.1		136	
3/5/1977	28.9	13.1	22.2		137	
3/6/1977	29.0	12.9	22.2		136	
3/7/1977	29.1	12.9	22.2		136	
3/8/1977	29.2	12.8	22.2		135	
3/9/1977	28.0	10.0	22.7		200	
3/10/1977	28.0	10.0	22.7		200	
3/11/1977	28.0	10.0	22.7		200	
3/12/1977	26.0	14.0	20.2	0	244	
3/13/1977	26.0	14.0	20.2		244	
3/14/1977	28.0	10.0	21.3	0	333	
3/15/1977	30.0	20.0	26.2	0	356	
3/16/1977	30.0	20.0	26.2		356	
3/17/1977	30.0	20.0	26.2		356	
3/18/1977	30.0	20.0	26.2		356	
3/19/1977	30.0	20.0	26.2		356	
3/20/1977	30.0	20.0	26.2		356	
3/21/1977	30.0	13.0	25.5	0.3048	356	
3/22/1977	28.0	14.0	21.6	0.1016	253	
3/23/1977	28.0	14.0	21.6		253	
3/24/1977	28.0	14.0	21.6		253	
3/25/1977	28.0	14.0	21.6		253	
3/26/1977	28.0	14.0	21.6		253	
3/27/1977	28.0	14.0	21.6		253	
3/28/1977	24.0	16.0	19.8	0.7874	67	
3/29/1977	24.0	16.0	19.8		67	
3/30/1977	24.0	16.0	19.8		67	
3/31/1977	24.0	16.0	19.8		67	
4/1/1977	24.0	16.0	19.8		67	
4/2/1977	24.0	16.0	19.8		67	
4/3/1977	24.0	16.0	19.8		67	
4/4/1977	24.0	16.0	19.8		67	
4/5/1977	22.0	16.0	20.0	0.8890	204	
4/6/1977	25.0	16.0	21.0	0	204	
4/7/1977	25.0	16.0	21.0		204	
4/8/1977	25.0	16.0	21.0		204	
4/9/1977	25.0	16.0	21.0		204	
4/10/1977	25.0	16.0	21.0		204	
4/11/1977	25.0	16.0	21.0		204	
4/12/1977	25.0	16.0	21.0		204	
4/13/1977	26.0	14.0	22.0	0	222	
4/14/1977	26.0	14.0	22.0		222	
4/15/1977	26.0	14.0	22.0		222	
4/16/1977	26.0	14.0	22.0		222	
4/17/1977	26.0	14.0	22.0		222	
4/18/1977	26.0	14.0	22.0		222	
4/19/1977	27.0	8.0	21.5	0	156	
4/20/1977	27.0	8.0	21.5		156	
4/21/1977	30.0	10.0	24.3	0	156	
4/22/1977	30.0	10.0	24.3		156	
4/23/1977	29.0	14.0	25.5	0	156	
4/24/1977	29.0	14.0	25.5		156	
4/25/1977	29.0	14.0	25.5		156	
4/26/1977	29.0	14.0	25.5		156	
4/27/1977	29.0	14.0	25.5		156	
4/28/1977	24.0	17.0	20.8	0	156	
4/29/1977	23.0	16.0	21.3	0.2032	200	
4/30/1977	23.0	16.0	21.3		200	
5/1/1977	23.0	16.0	21.3		200	
5/2/1977	23.0	16.0	21.3		200	
5/3/1977	23.0	16.0	21.3		200	
5/4/1977	23.0	16.0	21.3		200	
5/5/1977	28.0	16.0	23.5	0	133	
5/6/1977	26.9	14.3	21.4		125	
5/7/1977	26.8	14.2	21.3		129	
5/8/1977	26.7	14.2	21.3		131	
5/9/1977	26.7	14.2	21.2		134	
5/10/1977	26.5	14.1	21.1		136	
5/11/1977	26.4	14.1	20.9		136	
5/12/1977	26.3	14.1	20.9		136	
5/13/1977	26.2	14.2	20.9		137	
5/14/1977	26.2	14.2	20.9		138	
5/15/1977	26.2	14.2	20.9		137	
5/16/1977	26.2	14.2	20.9		136	
5/17/1977	25.0	15.0	21.0	0	178	
5/18/1977	26.1	14.2	21.0		137	
5/19/1977	26.2	14.3	21.1		139	
5/20/1977	26.3	14.3	21.2		141	
5/21/1977	26.3	14.3	21.2		145	
5/22/1977	26.2	14.2	21.2		149	
5/23/1977	26.1	14.1	21.1		152	
5/24/1977	26.1	14.1	21.2		156	
5/25/1977	26.1	14.1	21.1		158	
5/26/1977	25.9	14.1	21.1		161	
5/27/1977	25.9	14.0	20.9		161	
5/28/1977	25.9	13.9	20.9		161	
5/29/1977	25.8	13.8	20.8		164	
5/30/1977	25.8	13.8	20.8		164	
5/31/1977	25.8	13.8	20.7		163	
6/1/1977	25.9	13.7	20.7		160	
6/2/1977	25.8	13.8	20.7		159	
6/3/1977	24.0	14.0	20.3	0	333	
6/4/1977	25.8	13.8	20.7		154	
6/5/1977	25.8	13.8	20.8		155	
6/6/1977	25.7	13.8	20.8		153	
6/7/1977	25.7	13.9	20.8		151	
6/8/1977	25.6	13.9	20.7		150	
6/9/1977	25.4	14.0	20.7		149	
6/10/1977	25.4	14.1	20.7		149	
6/11/1977	25.3	14.1	20.6		147	
6/12/1977	25.2	14.1	20.5		147	
6/13/1977	25.1	14.1	20.4		147	
6/14/1977	24.9	14.2	20.3		150	
6/15/1977	24.0	16.0	21.0	0	213	
6/16/1977	24.0	16.0	21.0		213	
6/17/1977	24.0	16.0	21.0		213	
6/18/1977	24.0	16.0	21.0		213	
6/19/1977	23.0	14.0	19.0		53	
6/20/1977	23.0	14.0	19.0		53	
6/21/1977	23.0	14.0	19.0		53	
6/22/1977	20.0	16.0	18.0	0	196	
6/23/1977	24.7	16.0	18.0		196	
6/24/1977	24.6	16.0	18.0		196	
6/25/1977	24.5	16.0	18.0		196	
6/26/1977	24.4	16.0	18.0		196	
6/27/1977	24.3	16.0	18.0		196	
6/28/1977	24.2	16.0	18.0		196	
6/29/1977	24.1	16.0	18.0		196	
6/30/1977	23.8	15.0	22.0	0.1016	213	
7/1/1977	23.8	15.0	22.0		213	
