Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1977	24.9	11.9	19.8		142	
1/2/1977	24.9	11.9	19.8		143	
1/3/1977	24.9	11.9	19.8		142	
1/4/1977	25.0	12.0	19.8		141	
1/5/1977	25.1	12.1	19.8		139	
1/6/1977	25.1	12.1	19.7		139	
1/7/1977	25.1	12.1	19.7		140	
1/8/1977	25.1	12.1	19.6		138	
1/9/1977	25.1	12.2	19.6		145	
1/10/1977	25.1	12.2	19.4		145	
1/11/1977	25.0	12.2	19.3		148	
1/12/1977	24.9	12.2	19.3		149	
1/13/1977	24.9	12.2	19.2		151	
1/14/1977	24.8	12.2	19.2		156	
1/15/1977	24.8	12.3	19.2		157	
1/16/1977	24.7	12.3	19.2		160	
1/17/1977	24.7	12.4	19.4		165	
1/18/1977	24.8	12.6	19.6		166	
1/19/1977	24.8	12.6	19.7		168	
1/20/1977	24.9	12.6	19.9		170	
1/21/1977	24.9	12.7	20.1		173	
1/22/1977	25.2	12.8	20.2		176	
1/23/1977	25.3	12.8	20.3		179	
1/24/1977	25.3	12.7	20.3		180	
1/25/1977	25.5	12.8	20.4		182	
1/26/1977	25.6	12.7	20.5		182	
1/27/1977	25.7	12.6	20.6		183	
1/28/1977	25.7	12.6	20.6		183	
1/29/1977	25.8	12.7	20.6		181	
1/30/1977	25.9	12.8	20.7		182	
1/31/1977	26.0	12.9	20.8		181	
2/1/1977	26.1	13.1	20.9		181	
2/2/1977	24.0	13.0	19.8	0	311	
2/3/1977	26.3	13.3	21.2		183	
2/4/1977	26.3	13.4	21.2		185	
2/5/1977	26.3	13.5	21.2		185	
2/6/1977	26.3	13.7	21.2		183	
2/7/1977	26.3	13.7	21.3		185	
2/8/1977	26.3	13.6	21.2		183	
2/9/1977	26.3	13.5	21.2		185	
2/10/1977	26.4	13.4	21.2		185	
2/11/1977	26.4	13.3	21.1		183	
2/12/1977	26.4	13.2	21.0		182	
2/13/1977	26.6	13.2	21.0		180	
2/14/1977	24.0	13.0	21.3	1.4986	58	
2/15/1977	24.0	13.0	21.3		180	
2/16/1977	24.0	13.0	21.3		179	
2/17/1977	24.0	13.0	21.3		180	
2/18/1977	24.0	13.0	21.3		183	
2/19/1977	24.0	13.0	21.3		184	
2/20/1977	24.0	13.0	21.3		187	
2/21/1977	24.0	13.0	21.3		184	
2/22/1977	27.0	14.0	24.3	0	180	
2/23/1977	26.0	13.0	20.5	0	179	
2/24/1977	26.0	13.0	20.5		174	
2/25/1977	26.0	13.0	20.5		168	
2/26/1977	26.0	13.0	20.5		163	
2/27/1977	26.0	13.0	20.5		154	
2/28/1977	26.0	13.0	20.5		147	
3/1/1977	26.0	13.0	20.5		148	
3/2/1977	26.0	13.0	20.5		152	
3/3/1977	26.0	13.0	20.5		153	
3/4/1977	24.0	14.0	20.0		58	
3/5/1977	24.0	14.0	20.0		58	
3/6/1977	24.0	14.0	20.0		58	
3/7/1977	24.0	14.0	20.0		58	
3/8/1977	24.0	14.0	20.0		58	
3/9/1977	24.0	14.0	20.0		58	
3/10/1977	24.0	14.0	20.0		58	
3/11/1977	24.0	14.0	20.0		58	
3/12/1977	24.0	14.0	20.0		58	
3/13/1977	24.0	14.0	20.0		58	
3/14/1977	27.0	15.0	24.3	0	111	
3/15/1977	27.1	14.2	21.8		162	
3/16/1977	27.1	14.2	21.7		162	
3/17/1977	26.9	14.1	21.6		159	
3/18/1977	26.7	14.1	21.4		154	
3/19/1977	26.6	14.1	21.3		149	
3/20/1977	26.6	14.1	21.3		149	
3/21/1977	26.6	14.1	21.3		149	
3/22/1977	26.5	14.1	21.3		149	
3/23/1977	26.4	14.1	21.4		150	
3/24/1977	26.3	14.1	21.3		150	
3/25/1977	26.3	14.1	21.4		151	
3/26/1977	26.3	14.1	21.4		150	
3/27/1977	26.3	13.9	21.3		150	
3/28/1977	26.3	13.9	21.3		152	
