Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/31/1963	25.0	7.8	19.2		67	
2/1/1963	25.2	10.2	19.1		178	
2/2/1963	25.3	10.3	19.2		180	
2/3/1963	25.3	10.4	19.2		183	
2/4/1963	25.4	10.6	19.3		185	
2/5/1963	25.4	10.7	19.3		187	
2/6/1963	25.4	10.8	19.4		191	
2/7/1963	25.4	10.9	19.4		192	
2/8/1963	25.3	10.9	19.3		186	
2/9/1963	25.2	11.0	19.3		188	
2/10/1963	25.1	11.2	19.2		188	
2/11/1963	25.1	11.3	19.2		188	
2/12/1963	25.1	11.4	19.2		185	
2/13/1963	25.1	11.5	19.2		180	
2/14/1963	25.1	11.6	19.2		178	
2/15/1963	25.2	11.6	19.3		177	
2/16/1963	25.2	11.7	19.4		176	
2/17/1963	25.3	11.8	19.6		180	
2/18/1963	25.4	12.0	19.7		181	
2/19/1963	25.6	12.1	19.9		182	
2/20/1963	25.6	12.1	19.9		184	
2/21/1963	25.7	12.2	20.0		187	
2/22/1963	25.7	12.3	20.1		190	
2/23/1963	25.7	12.4	20.0		192	
2/24/1963	25.6	12.5	20.0		192	
2/25/1963	25.7	12.5	19.9		189	
2/26/1963	25.7	12.6	19.9		187	
2/27/1963	25.6	12.5	19.8		184	
2/28/1963	25.6	12.4	19.8		181	
3/1/1963	25.6	12.4	19.8		180	
3/2/1963	25.6	12.4	19.8		178	
3/3/1963	25.7	12.3	19.8		179	
3/4/1963	25.7	12.3	19.9		179	
3/5/1963	25.8	12.2	20.0		181	
3/6/1963	25.9	12.2	20.1		184	
3/7/1963	26.0	12.2	20.1		183	
3/8/1963	26.2	12.2	20.2		182	
3/9/1963	26.2	12.2	20.2		182	
3/10/1963	26.3	12.3	20.2		179	
3/11/1963	26.2	12.3	20.3		178	
3/12/1963	26.2	12.6	20.3		174	
3/13/1963	26.3	12.7	20.4		171	
3/14/1963	26.3	12.9	20.5		169	
3/15/1963	26.3	13.0	20.6		166	
3/16/1963	26.4	13.0	20.6		165	
3/17/1963	26.4	13.1	20.7		165	
3/18/1963	26.4	13.2	20.7		162	
3/19/1963	26.5	13.2	20.8		163	
3/20/1963	26.6	13.3	20.9		170	
3/21/1963	26.6	13.3	20.9		175	
3/22/1963	26.6	13.3	21.1		178	
3/23/1963	26.6	13.4	21.2		179	
3/24/1963	26.6	13.5	21.2		180	
3/25/1963	26.5	13.6	21.3		183	
3/26/1963	28.9	10.0	23.3		164	
3/27/1963	28.9	10.0	23.3		164	
3/28/1963	28.9	12.8	25.3		164	
3/29/1963	28.9	15.0	23.7		44	
3/30/1963	28.9	13.9	26.2		44	
3/31/1963	31.1	15.0	24.3		151	
4/1/1963	26.2	13.7	21.2		159	
4/2/1963	26.2	13.6	21.2		157	
4/3/1963	26.3	13.6	21.1		156	
4/4/1963	26.3	13.5	21.1		153	
4/5/1963	26.4	13.4	21.1		153	
4/6/1963	26.5	13.4	21.1		155	
4/7/1963	26.6	13.3	21.2		158	
4/8/1963	26.6	13.3	21.2		161	
4/9/1963	26.6	13.2	21.2		161	
4/10/1963	26.6	13.3	21.1		163	
4/11/1963	26.6	13.3	21.1		161	
4/12/1963	26.6	13.2	21.2		161	
4/13/1963	26.6	13.2	21.2		159	
4/14/1963	26.5	13.2	21.2		161	
4/15/1963	26.5	13.3	21.2		161	
4/16/1963	26.5	13.3	21.2		160	
4/17/1963	26.6	13.3	21.3		159	
4/18/1963	26.6	13.4	21.3		159	
4/19/1963	26.6	13.3	21.4		162	
4/20/1963	26.7	13.4	21.4		166	
4/21/1963	26.7	13.5	21.5		167	
4/22/1963	26.8	13.5	21.6		171	
4/23/1963	26.9	13.5	21.7		172	
4/24/1963	27.0	13.6	21.8		172	
4/25/1963	27.1	13.7	21.9		174	
4/26/1963	27.2	13.7	21.9		178	
4/27/1963	27.3	13.8	22.1		182	
4/28/1963	27.3	13.8	22.1		183	
4/29/1963	27.3	13.8	22.1		184	
4/30/1963	27.4	13.7	22.2		182	
5/1/1963	27.4	13.8	22.2		181	
5/2/1963	27.4	13.9	22.2		179	
5/3/1963	27.4	13.9	22.1		178	
5/4/1963	27.3	13.9	22.1		173	
5/5/1963	27.3	14.1	22.0		169	
5/6/1963	27.2	14.1	21.9		169	
5/7/1963	27.3	14.1	22.1		169	
5/8/1963	27.4	14.1	22.2		167	
5/9/1963	27.4	14.1	22.3		169	
5/10/1963	27.6	13.9	22.4		171	
5/11/1963	27.6	13.9	22.6		172	
5/12/1963	27.7	14.0	22.7		173	
5/13/1963	27.8	13.9	22.8		181	
5/14/1963	27.9	13.8	22.9		184	
5/15/1963	28.1	13.8	23.1		187	
5/16/1963	28.2	13.8	23.1		191	
5/17/1963	28.2	13.8	23.1		195	
5/18/1963	28.3	13.8	23.2		199	
5/19/1963	28.3	13.9	23.3		204	
5/20/1963	28.4	13.9	23.3		207	
5/21/1963	27.2	13.9	23.2		111	
5/22/1963	25.0	15.0	20.6		53	
5/23/1963	25.0	15.0	20.6		53	
5/24/1963	25.0	15.0	20.6		53	
5/25/1963	25.0	15.0	20.6		53	
5/26/1963	28.9	12.8	25.0		178	
5/27/1963	28.9	14.7	23.6		202	
5/28/1963	29.1	14.7	23.6		197	
5/29/1963	29.2	14.7	23.6		193	
5/30/1963	29.3	14.8	23.6		193	
5/31/1963	29.3	14.8	23.6		192	
6/1/1963	29.4	14.8	23.6		190	
6/2/1963	29.4	14.9	23.7		188	
6/3/1963	29.6	14.9	23.7		189	
6/4/1963	29.7	15.0	23.8		190	
6/5/1963	29.8	15.0	23.8		187	
6/6/1963	29.8	15.0	23.8		191	
6/7/1963	29.8	15.0	23.9		193	
6/8/1963	29.9	15.0	23.9		190	
6/9/1963	29.9	14.9	23.9		190	
6/10/1963	30.0	14.9	23.9		191	
6/11/1963	30.1	14.9	24.0		198	
6/12/1963	30.0	14.9	24.1		202	
6/13/1963	30.0	14.9	24.1		203	
6/14/1963	29.9	14.9	24.2		205	
6/15/1963	30.0	15.1	24.2		206	
6/16/1963	29.9	15.1	24.1		208	
6/17/1963	29.8	15.1	24.1		211	
6/18/1963	29.8	15.2	24.1		213	
6/19/1963	30.0	15.0	24.9		151	
6/20/1963	29.6	15.2	24.0		211	
6/21/1963	29.5	15.2	23.8		207	
6/22/1963	29.4	15.2	23.8		206	
6/23/1963	29.4	15.2	23.7		206	
6/24/1963	29.4	15.2	23.6		205	
6/25/1963	29.4	15.2	23.6		201	
6/26/1963	29.4	15.1	23.4		194	
6/27/1963	29.3	15.1	23.3		191	
6/28/1963	29.2	15.0	23.1		189	
6/29/1963	29.0	15.0	23.0		187	
6/30/1963	28.8	14.9	22.9		186	
7/1/1963	28.6	14.9	22.7		187	
7/2/1963	28.4	14.9	22.6		186	
7/3/1963	28.1	14.9	22.5		186	
7/4/1963	27.9	14.8	22.4		188	
7/5/1963	27.7	14.8	22.3		195	
7/6/1963	27.6	14.8	22.3		198	
7/7/1963	27.5	14.8	22.3		202	
7/8/1963	27.4	14.7	22.3		205	
7/9/1963	27.5	14.7	22.3		206	
7/10/1963	27.4	14.6	22.3		207	
7/11/1963	27.4	14.5	22.3		208	
7/12/1963	27.3	14.5	22.3		209	
7/13/1963	27.4	14.6	22.2		212	
7/14/1963	27.4	14.6	22.3		210	
7/15/1963	27.4	14.6	22.2		209	
7/16/1963	27.3	14.6	22.1		208	
7/17/1963	28.9	12.2	21.5		164	
7/18/1963	28.9	12.2	21.5		164	
7/19/1963	28.9	12.2	21.5		164	
7/20/1963	28.9	12.2	21.5		164	
7/21/1963	28.9	12.2	21.5		164	
7/22/1963	28.9	12.2	21.5		164	
7/23/1963	28.9	12.2	21.5		164	
7/24/1963	27.8	15.0	20.4		400	
7/25/1963	27.8	15.0	20.4		400	
7/26/1963	27.8	15.0	20.4		400	
7/27/1963	27.8	15.0	20.4		400	
7/28/1963	27.8	15.0	20.4		400	
7/29/1963	27.8	15.0	20.4		400	
7/30/1963	27.2	13.9	22.6		307	
7/31/1963	27.2	13.9	22.6		307	
8/1/1963	28.9	15.0	21.1		31	
8/2/1963	28.9	15.0	21.1		31	
8/3/1963	28.9	15.0	21.1		31	
8/4/1963	28.9	15.0	21.1		31	
8/5/1963	28.9	15.0	21.1		31	
8/6/1963	28.9	15.0	21.1		31	
8/7/1963	28.9	15.0	21.1		31	
8/8/1963	28.9	15.0	21.1		31	
8/9/1963	28.9	15.0	21.1		31	
8/10/1963	28.9	15.0	21.1		31	
8/11/1963	28.9	15.0	21.1		31	
8/12/1963	26.1	13.9	21.7		67	
8/13/1963	26.1	13.9	21.7		67	
8/14/1963	26.1	13.9	21.7		67	
8/15/1963	26.1	13.9	21.7		67	
8/16/1963	26.1	13.9	21.7		67	
8/17/1963	26.1	13.9	21.7		67	
8/18/1963	26.1	13.9	21.7		67	
8/19/1963	27.2	13.9	23.1		89	
8/20/1963	27.2	13.9	23.1		89	
8/21/1963	27.2	13.9	23.1		89	
8/22/1963	27.2	13.9	23.1		89	
8/23/1963	27.8	13.9	19.9		22	
8/24/1963	27.8	15.0	21.8		80	
8/25/1963	27.8	15.0	21.8		80	
8/26/1963	27.8	15.0	21.8		80	
8/27/1963	27.8	15.0	21.8		80	
8/28/1963	27.8	15.0	21.8		80	
8/29/1963	27.8	12.8	22.5		84	
8/30/1963	27.8	16.1	22.5		156	
8/31/1963	26.1	13.9	21.8		200	
9/1/1963	23.9	13.9	17.5		200	
9/2/1963	23.9	13.9	17.5		200	
9/3/1963	23.9	13.9	17.5		200	
9/4/1963	23.9	13.9	17.5		200	
9/5/1963	23.9	13.9	17.5		200	
9/6/1963	23.9	13.9	17.5		200	
9/7/1963	23.9	13.9	17.5		200	
9/8/1963	23.9	13.9	17.5		200	
9/9/1963	23.9	13.9	17.5		200	
9/10/1963	23.9	13.9	17.5		200	
9/11/1963	27.8	16.1	24.0		169	
9/12/1963	27.2	13.9	20.4		67	
9/13/1963	27.8	13.9	21.9		116	
9/14/1963	27.8	13.9	21.9		116	
9/15/1963	27.8	13.9	21.9		116	
9/16/1963	27.8	13.9	21.9		116	
9/17/1963	27.8	13.9	21.9		116	
9/18/1963	23.9	13.9	20.8		76	
9/19/1963	23.9	13.9	20.8		76	
9/20/1963	23.9	13.9	20.8		76	
9/21/1963	23.9	13.9	20.8		76	
9/22/1963	23.9	13.9	20.8		76	
9/23/1963	23.9	13.9	20.8		76	
9/24/1963	23.9	13.9	20.8		76	
9/25/1963	22.8	13.9	19.2		151	
9/26/1963	22.8	13.9	19.2		151	
9/27/1963	22.8	13.9	19.2		151	
9/28/1963	26.1	12.2	20.6		44	
9/29/1963	26.1	12.2	20.6		44	
9/30/1963	26.1	12.2	20.6		44	
10/1/1963	26.1	12.2	20.6		44	
10/2/1963	26.1	12.2	20.6		44	
10/3/1963	26.1	12.2	20.6		44	
10/4/1963	26.1	12.2	20.6		44	
10/5/1963	26.1	12.2	20.6		44	
10/6/1963	26.1	12.2	20.6		44	
10/7/1963	26.1	12.2	20.6		44	
10/8/1963	26.1	12.2	20.6		44	
10/9/1963	25.0	12.2	20.8		178	
7/12/1974	23.0	13.0	18.4	1.8034	107	
7/13/1974	27.4	14.6	22.2		212	
7/14/1974	27.4	14.6	22.3		210	
7/15/1974	27.4	14.6	22.2		209	
7/16/1974	27.3	14.6	22.1		208	
