Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	31.7	23.3	27.1		187	
1/2/1957	31.7	23.3	26.8		169	
1/3/1957	31.7	23.3	27.2		156	
1/4/1957	31.7	23.3	27.1		218	
1/5/1957	31.7	23.3	26.7		227	
1/6/1957	31.1	23.3	25.6		129	
1/7/1957	30.6	23.3	25.4		173	
1/8/1957	30.6	23.3	26.4		236	
1/9/1957	31.7	23.3	27.2		244	
1/10/1957	33.3	23.9	27.7		267	
1/11/1957	33.3	24.4	27.3		227	
1/12/1957	31.7	23.9	26.9		276	
1/13/1957	31.7	23.9	26.9		391	
1/14/1957	31.7	23.3	26.9		489	
1/15/1957	31.1	23.3	26.2		302	
1/16/1957	32.2	23.3	26.7		289	
1/17/1957	32.2	23.3	26.6		200	
1/18/1957	31.7	23.3	26.6		196	
1/19/1957	30.6	23.3	26.7		262	
1/20/1957	32.2	23.3	27.3		244	
1/21/1957	32.2	23.9	27.2		271	
1/22/1957	32.2	23.3	27.4		253	
1/23/1957	32.2	23.3	27.5		244	
1/24/1957	32.2	23.9	26.9		213	
1/25/1957	31.7	25.0	27.7		258	
1/26/1957	32.2	25.0	27.4		289	
1/27/1957	32.2	25.0	27.7		378	
1/28/1957	31.1	25.0	27.3		298	
1/29/1957	30.6	22.2	24.1		89	
1/30/1957	30.6	22.2	26.7		271	
1/31/1957	31.7	23.9	27.4		213	
2/1/1957	31.7	24.4	27.6		249	
2/2/1957	31.7	23.9	26.9		178	
2/3/1957	31.1	23.3	27.1		262	
2/4/1957	31.1	23.3	27.0		218	
2/5/1957	31.1	24.4	26.5		178	
2/6/1957	31.1	23.9	26.4		307	
2/7/1957	30.6	23.9	26.7		347	
2/8/1957	31.1	23.9	26.9		440	
2/9/1957	31.1	23.3	26.7		347	
2/10/1957	30.0	22.8	25.5		169	
2/11/1957	30.6	22.8	26.4		311	
2/12/1957	31.1	23.3	26.4		316	
2/13/1957	31.1	22.8	25.5		293	
2/14/1957	31.7	22.2	26.1		253	
2/15/1957	31.7	22.2	26.0		262	
2/16/1957	31.7	22.2	25.9		271	
2/17/1957	31.1	22.2	26.2		267	
2/18/1957	31.1	22.2	25.6		249	
2/19/1957	30.0	22.2	25.9		302	
2/20/1957	30.0	22.8	25.9		271	
2/21/1957	30.6	22.2	25.9		218	
2/22/1957	31.1	21.1	25.9		218	
2/23/1957	31.7	21.1	26.3		187	
2/24/1957	31.7	21.7	26.8		200	
2/25/1957	31.7	22.2	27.1		218	
