Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	28.9	20.0	25.1		169	
1/2/1957	28.9	21.1	25.7		116	
1/3/1957	28.9	21.7	25.1		169	
1/4/1957	28.9	21.1	25.3		142	
1/5/1957	28.9	19.4	25.6		169	
1/6/1957	28.3	21.1	24.3		267	
1/7/1957	28.3	20.6	24.3		124	
1/8/1957	29.4	21.1	25.8		196	
1/9/1957	29.4	21.1	26.1		285	
1/10/1957	31.1	21.7	27.3		240	
1/11/1957	30.6	20.0	26.1		213	
1/12/1957	30.0	19.4	25.8		240	
1/13/1957	29.4	20.6	25.8		240	
1/14/1957	29.4	21.1	26.1		373	
1/15/1957	28.9	21.1	25.6		285	
1/16/1957	30.0	20.0	26.3		169	
1/17/1957	31.7	20.0	27.8		253	
1/18/1957	32.8	19.4	27.8		213	
1/19/1957	33.9	18.9	28.1		396	
1/20/1957	34.4	21.1	28.7		356	
1/21/1957	32.2	21.7	28.0		213	
1/22/1957	35.0	22.2	29.3		240	
1/23/1957	33.9	21.1	28.6		142	
1/24/1957	31.7	21.7	27.1		196	
1/25/1957	30.6	21.1	26.0		196	
1/26/1957	30.6	21.7	26.7		196	
1/27/1957	31.1	20.6	26.3		267	
1/28/1957	29.4	21.7	26.2		302	
1/29/1957	26.1	20.6	23.6		142	
1/30/1957	29.4	21.7	25.8		187	
1/31/1957	31.7	21.7	27.3		142	
2/1/1957	32.8	21.7	27.1		262	
2/2/1957	31.7	22.2	27.8		196	
2/3/1957	31.1	21.1	26.4		169	
2/4/1957	31.1	21.1	26.1		213	
2/5/1957	28.3	21.7	25.2		84	
2/6/1957	28.3	21.1	24.8		285	
2/7/1957	30.6	20.6	26.4		285	
2/8/1957	30.0	21.7	26.0		222	
2/9/1957	30.0	21.7	26.1		240	
2/10/1957	30.6	20.6	26.1		240	
2/11/1957	33.3	20.6	27.9		298	
2/12/1957	30.0	22.2	26.8		342	
2/13/1957	30.6	21.1	26.4		213	
2/14/1957	32.2	20.6	27.4		356	
2/15/1957	32.8	20.6	27.2		342	
2/16/1957	33.3	20.6	28.2		324	
2/17/1957	32.8	21.1	28.0		196	
2/18/1957	31.7	21.1	27.3		285	
2/19/1957	30.0	20.0	25.2		142	
2/20/1957	31.7	20.6	26.3		253	
2/21/1957	31.7	17.8	26.7		213	
2/22/1957	32.2	16.1	26.2		169	
2/23/1957	31.7	16.7	26.2		302	
2/24/1957	31.7	17.8	26.9		240	
2/25/1957	32.8	18.3	27.2		240	
2/26/1957	32.2	19.4	26.9		244	
2/27/1957	31.7	21.7	26.6		480	
2/28/1957	32.8	20.6	27.2		213	
3/1/1957	30.0	20.0	25.4		240	
3/2/1957	31.1	21.1	26.2		142	
3/3/1957	28.3	22.2	24.8		116	
3/4/1957	30.0	21.1	25.4		124	
3/5/1957	30.0	21.7	26.4		116	
3/6/1957	32.8	19.4	27.6		213	
3/7/1957	32.8	19.4	28.1		240	
3/8/1957	33.3	19.4	27.8		196	
3/9/1957	29.4	18.9	25.2		240	
3/10/1957	30.0	21.1	25.4		196	
3/11/1957	31.1	21.7	26.9		142	
3/12/1957	31.7	21.1	27.6		187	
3/13/1957	32.2	21.7	27.8		285	
3/14/1957	31.1	22.2	27.2		187	
3/15/1957	32.2	23.3	28.6		213	
3/16/1957	31.1	22.8	27.9		240	
3/17/1957	31.7	21.7	27.1		196	
3/18/1957	31.7	22.2	27.7		213	
3/19/1957	30.0	21.7	27.0		187	
3/20/1957	30.6	20.0	25.3		196	
3/21/1957	31.1	20.6	26.6		142	
3/22/1957	31.7	19.4	26.8		187	
3/23/1957	31.1	19.4	26.8		142	
3/24/1957	32.2	22.2	27.1		187	
3/25/1957	33.3	20.6	27.9		356	
3/26/1957	33.9	22.2	28.6		187	
3/27/1957	33.9	23.3	29.1		267	
3/28/1957	32.8	22.8	28.3		213	
3/29/1957	33.9	22.2	28.0		187	
3/30/1957	34.4	22.2	28.7		187	
3/31/1957	33.3	21.7	28.3		342	
4/1/1957	34.4	20.6	29.0		142	
4/2/1957	35.0	21.1	29.6		169	
4/3/1957	35.0	22.2	29.3		285	
4/4/1957	34.4	22.2	28.2		369	
4/5/1957	34.4	22.2	28.6		213	
4/6/1957	32.2	22.2	26.7		324	
4/7/1957	33.9	21.1	27.4		196	
4/8/1957	33.3	22.2	28.1		240	
4/9/1957	32.8	22.8	28.8		196	
4/10/1957	32.8	22.8	28.6		187	
4/11/1957	33.3	22.8	28.2		285	
4/12/1957	33.3	22.8	28.1		231	
4/13/1957	28.9	22.8	25.7		142	
4/14/1957	30.6	21.1	25.8		156	
4/15/1957	30.0	21.1	25.9		213	
4/16/1957	29.4	20.6	25.0		213	
4/17/1957	29.4	21.1	26.1		169	
4/18/1957	30.6	20.6	26.1		400	
4/19/1957	28.3	20.0	25.1		302	
4/20/1957	27.8	20.6	24.2		400	
4/21/1957	27.8	21.1	25.4		213	
4/22/1957	30.0	22.2	25.9		400	
4/23/1957	28.9	21.7	26.3		356	
4/24/1957	28.3	21.7	25.7		196	
4/25/1957	28.3	21.7	25.7		169	
4/26/1957	29.4	21.7	26.0		240	
4/27/1957	27.8	21.7	25.8		240	
4/28/1957	28.3	20.6	25.7		333	
4/29/1957	29.4	21.1	26.1		396	
4/30/1957	26.1	21.1	23.6		142	
5/1/1957	26.7	20.6	24.3		240	
