Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1980	24.0	12.0	20.3		147	
1/2/1980	29.0	12.0	22.0	0	453	
1/3/1980	24.0	9.0	21.5	0	453	
1/4/1980	25.0	11.0	21.0	0	285	
1/5/1980	26.0	13.0	21.6	0	258	
1/6/1980	24.0	11.0	21.0	0	178	
1/7/1980	24.0	11.0	21.0		178	
1/8/1980	25.0	12.0	23.5	0	356	
1/9/1980	24.0	12.0	20.2	0	213	
1/10/1980	25.0	11.0	22.7	2.2098	320	
1/11/1980	27.0	11.0	22.6	0	240	
1/12/1980	25.0	13.0	19.0	0	200	
1/13/1980	25.0	12.0	20.0	0	213	
1/14/1980	24.0	11.0	18.2		178	
1/15/1980	26.0	13.0	20.2		222	
1/16/1980	31.0	14.0	23.3	0	151	
1/17/1980	25.0	12.0	19.8	0	227	
1/18/1980	26.0	12.0	19.8	0	240	
1/19/1980	25.0	12.0	20.8	0	178	
1/20/1980	25.0	12.0	20.8		178	
1/21/1980	27.0	12.0	20.7	0	240	
1/22/1980	26.0	12.0	20.3	0	262	
1/23/1980	28.0	14.0	22.8	0	187	
1/24/1980	28.0	13.0	21.3	0	142	
1/25/1980	26.0	14.0	19.8	0	84	
1/26/1980	24.0	17.0	19.8	0.1016	133	
1/27/1980	24.0	14.0	18.2	0	111	
1/28/1980	25.0	15.0	19.6	0	169	
1/29/1980	24.0	14.0	22.0	0	231	
1/30/1980	25.0	14.0	18.4	0	133	
1/31/1980	25.0	16.0	19.6	0	84	
2/1/1980	25.0	16.0	19.6		84	
2/2/1980	25.0	16.0	19.6		84	
2/3/1980	23.0	14.0	21.8	0	213	
2/4/1980	25.0	13.0	17.8	0	169	
2/5/1980	25.0	13.0	17.3		151	
2/6/1980	25.0	12.0	21.0	0	187	
2/7/1980	26.0	13.0	19.6	0	182	
2/8/1980	27.0	12.0	19.8	0	222	
2/9/1980	25.0	14.0	19.4	0	253	
2/10/1980	29.0	12.0	18.7	0	120	
2/11/1980	28.0	13.0	19.0	0	178	
2/12/1980	27.0	13.0	22.6	0	151	
2/13/1980	26.0	14.0	20.6	0	124	
2/14/1980	26.0	14.0	20.2	0	147	
2/15/1980	26.0	13.0	18.5	0	120	
2/16/1980	26.0	12.0	18.4	0	138	
2/17/1980	28.0	10.0	18.4	0	151	
2/18/1980	28.0	12.0	21.3	0	200	
2/19/1980	30.0	15.0	21.8	0	169	
2/20/1980	28.0	15.0	22.2	0	178	
2/21/1980	29.0	16.0	23.0	0	276	
2/22/1980	27.0	15.0	19.6	0	249	
2/23/1980	27.0	14.0	20.3		356	
2/24/1980	29.0	12.0	20.5	0	222	
2/25/1980	29.0	13.0	21.3	0	218	
2/26/1980	29.0	13.0	19.4	0	218	
2/27/1980	29.0	15.0	22.0		289	
2/28/1980	28.0	13.0	21.5	0	191	
2/29/1980	30.0	11.0	20.8	0	120	
3/1/1980	31.0	15.0	22.2	0	209	
3/2/1980	29.0	17.0	20.3	0	133	
3/3/1980	25.0	14.0	20.0	1.1938	107	
3/4/1980	28.0	14.0	21.0	0	169	
3/5/1980	28.0	13.0	21.2	0	191	
3/6/1980	28.0	14.0	18.8		204	
3/7/1980	29.0	14.0	22.6		249	
3/8/1980	26.0	16.0	21.2	0	164	
3/9/1980	27.0	14.0	21.8	0	191	
3/10/1980	31.0	13.0	23.6	0	191	
3/11/1980	29.0	14.0	21.2	0	173	
3/12/1980	28.0	14.0	17.8	0	187	
3/13/1980	28.0	14.0	23.2	0	356	
