Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
2/6/1976	26.0	17.0	21.5		533	
6/23/1976	22.0	13.0	19.5		289	
6/24/1976	23.4	14.6	19.1		832	
6/25/1976	23.4	14.6	19.1		832	
6/26/1976	23.3	14.5	19.1		836	
6/27/1976	23.3	14.4	19.1		842	
6/28/1976	23.2	14.4	19.0		847	
6/29/1976	23.2	14.4	19.0		848	
6/30/1976	23.2	14.3	19.0		850	
7/1/1976	23.2	14.3	19.0		856	
7/2/1976	23.2	14.3	19.0		867	
7/3/1976	23.2	14.2	18.9		863	
7/4/1976	23.2	14.2	18.9		862	
7/5/1976	23.1	14.2	18.9		863	
7/6/1976	23.1	14.1	18.9		856	
7/7/1976	23.1	14.1	18.9		853	
7/8/1976	23.1	14.1	18.8		854	
7/9/1976	23.1	14.1	18.8		856	
7/10/1976	23.1	14.1	18.8		850	
7/11/1976	23.1	14.2	18.8		841	
7/12/1976	23.1	14.1	18.8		841	
7/13/1976	23.2	14.2	18.8		845	
7/14/1976	23.2	14.2	18.8		850	
7/15/1976	23.3	14.2	18.8		860	
7/16/1976	23.3	14.2	18.9		860	
7/17/1976	23.3	14.2	18.9		858	
7/18/1976	23.3	14.2	19.0		859	
7/19/1976	23.3	14.2	18.9		867	
7/20/1976	23.3	14.2	19.0		867	
7/21/1976	22.0	13.0	17.5		631	
7/22/1976	23.2	14.1	18.9		867	
7/23/1976	23.1	14.2	18.9		868	
7/24/1976	23.1	14.1	18.9		866	
7/25/1976	23.1	14.1	18.8		870	
7/26/1976	23.2	14.0	18.8		867	
7/27/1976	23.2	13.9	18.8		866	
7/28/1976	23.2	13.9	18.8		861	
7/29/1976	23.2	14.0	18.8		862	
7/30/1976	23.3	14.0	18.8		868	
7/31/1976	23.3	14.1	18.8		877	
8/1/1976	23.5	14.0	18.9		867	
8/2/1976	23.6	14.1	18.9		869	
8/3/1976	23.6	14.2	19.0		870	
8/4/1976	23.6	14.2	19.0		877	
8/5/1976	23.6	14.2	19.1		879	
8/6/1976	23.6	14.2	19.1		881	
8/7/1976	23.7	14.2	19.1		882	
8/8/1976	23.7	14.2	19.1		874	
8/9/1976	23.8	14.2	19.1		871	
8/10/1976	23.8	14.2	19.1		876	
8/11/1976	23.8	14.1	19.2		880	
8/12/1976	23.9	14.1	19.2		877	
8/13/1976	23.8	14.1	19.2		872	
8/14/1976	23.9	14.0	19.2		871	
8/15/1976	23.9	14.0	19.2		881	
8/16/1976	23.9	14.0	19.2		888	
8/17/1976	23.9	13.9	19.2		889	
8/18/1976	24.0	13.9	19.3		892	
8/19/1976	24.0	13.9	19.3		897	
8/20/1976	24.1	14.0	19.3		894	
8/21/1976	24.2	14.1	19.4		895	
8/22/1976	24.2	14.1	19.4		898	
8/23/1976	24.2	14.1	19.4		905	
8/24/1976	24.2	14.2	19.4		906	
8/25/1976	24.3	14.2	19.5		907	
8/26/1976	24.4	14.3	19.6		912	
8/27/1976	24.4	14.3	19.6		910	
8/28/1976	24.6	14.3	19.7		900	
8/29/1976	24.6	14.3	19.8		898	
8/30/1976	24.6	14.3	19.8		904	
8/31/1976	24.6	14.3	19.8		909	
9/1/1976	24.7	14.3	19.9		900	
9/2/1976	24.7	14.3	19.9		896	
9/3/1976	24.8	14.4	19.9		885	
9/4/1976	24.8	14.4	19.9		880	
9/5/1976	24.8	14.4	20.0		884	
9/6/1976	24.8	14.4	20.0		893	
9/7/1976	24.8	14.4	19.9		895	
9/8/1976	24.8	14.5	19.9		896	
9/9/1976	24.9	14.5	20.0		895	
9/10/1976	24.9	14.6	20.1		902	
9/11/1976	24.9	14.6	20.1		908	
9/12/1976	24.9	14.6	20.1		921	
9/13/1976	24.9	14.7	20.1		921	
9/14/1976	24.9	14.7	20.1		917	
9/15/1976	24.9	14.8	20.1		920	
9/16/1976	25.1	14.8	20.2		923	
9/17/1976	24.0	14.8	19.2		622	
9/18/1976	25.1	14.8	20.2		912	
9/19/1976	25.2	14.8	20.3		902	
9/20/1976	25.3	14.9	20.3		894	
9/21/1976	25.4	15.0	20.4		885	
9/22/1976	25.4	14.9	20.4		883	
9/23/1976	25.4	14.9	20.4		881	
9/24/1976	25.4	15.0	20.5		877	
