Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	34.4	25.0	30.7		213	
1/2/1957	35.0	26.7	30.7		187	
1/3/1957	33.3	23.9	29.6		196	
1/4/1957	33.3	23.3	29.0		213	
1/5/1957	34.4	22.2	29.9		285	
1/6/1957	34.4	25.0	30.6		156	
1/7/1957	33.9	23.9	29.9		222	
1/8/1957	33.9	23.9	29.1		151	
1/9/1957	35.0	21.7	29.8		133	
1/10/1957	34.4	20.0	29.0		196	
1/11/1957	35.6	20.6	29.8		329	
1/12/1957	35.0	20.6	29.2		356	
1/13/1957	34.4	21.7	29.6		240	
1/14/1957	33.9	20.0	29.0		445	
1/15/1957	34.4	22.2	30.0		324	
1/16/1957	34.4	23.3	29.9		98	
1/17/1957	33.9	23.3	29.7		178	
1/18/1957	33.3	23.3	29.4		98	
1/19/1957	33.9	24.4	29.9		169	
1/20/1957	35.6	22.8	30.8		98	
1/21/1957	35.6	23.9	30.7		151	
1/22/1957	34.4	25.0	30.4		142	
1/23/1957	35.0	24.4	30.7		178	
1/24/1957	34.4	26.1	30.9		267	
1/25/1957	33.9	26.1	31.0		351	
1/26/1957	34.4	23.3	30.3		369	
1/27/1957	33.9	26.1	30.8		440	
1/28/1957	34.4	24.4	30.4		311	
1/29/1957	33.3	25.0	29.7		400	
1/30/1957	32.8	22.2	28.0		311	
1/31/1957	33.9	19.4	28.6		169	
2/1/1957	33.9	20.0	28.6		98	
2/2/1957	35.6	22.2	30.7		240	
2/3/1957	35.0	24.4	30.4		169	
2/4/1957	35.0	21.7	30.1		400	
2/5/1957	34.4	21.1	29.7		356	
2/6/1957	34.4	23.9	30.8		533	
2/7/1957	36.7	23.9	31.6		324	
2/8/1957	34.4	25.0	30.7		396	
2/9/1957	33.3	24.4	29.3		373	
2/10/1957	32.8	21.1	28.2		356	
2/11/1957	34.4	20.6	29.1		196	
2/12/1957	34.4	24.4	30.2		440	
2/13/1957	34.4	22.2	29.1		285	
2/14/1957	33.9	20.0	28.8		413	
2/15/1957	34.4	22.2	29.0		311	
2/16/1957	35.0	20.6	29.3		240	
2/17/1957	34.4	20.6	29.1		196	
2/18/1957	35.0	21.1	30.0		285	
2/19/1957	35.0	22.2	29.7		196	
2/20/1957	34.4	24.4	30.0		311	
2/21/1957	34.4	24.4	30.7		267	
2/22/1957	35.0	24.4	30.8		213	
2/23/1957	32.8	23.9	28.8		267	
2/24/1957	33.3	24.4	30.1		240	
2/25/1957	35.0	24.4	30.9		196	
2/26/1957	33.9	24.4	30.2		222	
2/27/1957	36.1	25.6	31.1		267	
2/28/1957	36.1	21.1	24.2		178	
3/1/1957	32.8	22.8	28.9		169	
3/2/1957	34.4	24.4	30.1		196	
3/3/1957	35.0	25.0	30.4		356	
3/4/1957	34.4	24.4	30.2		178	
3/5/1957	35.0	25.0	30.4		227	
3/6/1957	35.0	25.0	31.2		311	
3/7/1957	35.0	26.7	31.0		267	
3/8/1957	36.1	26.1	31.7		267	
3/9/1957	36.1	22.2	31.7		311	
3/10/1957	31.1	23.3	27.8		227	
3/11/1957	31.7	23.3	28.6		267	
3/12/1957	32.8	24.4	29.7		178	
3/13/1957	33.9	24.4	30.2		227	
3/14/1957	35.0	25.6	30.9		311	
3/15/1957	35.6	23.9	30.7		240	
3/16/1957	36.1	23.9	30.9		222	
3/17/1957	33.9	24.4	29.9		267	
3/18/1957	33.9	25.0	29.1		400	
3/19/1957	33.9	24.4	30.2		222	
3/20/1957	33.9	25.0	30.2		196	
3/21/1957	33.3	24.4	29.7		227	
