Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/19/1976	33.0	24.0	27.5		453	
3/20/1976	36.1	25.0	30.3		266	
3/21/1976	36.1	24.9	30.3		263	
3/22/1976	36.0	25.1	30.3		263	
3/23/1976	35.9	25.1	30.3		258	
3/24/1976	35.9	25.1	30.3		254	
3/25/1976	35.8	25.1	30.3		252	
3/26/1976	35.8	25.1	30.3		252	
3/27/1976	35.8	25.0	30.3		251	
3/28/1976	35.7	25.0	30.3		250	
3/29/1976	35.6	25.0	30.2		245	
3/30/1976	35.6	25.0	30.1		243	
3/31/1976	35.4	24.9	30.0		239	
4/1/1976	35.4	25.0	29.9		238	
4/2/1976	35.3	25.0	29.8		237	
4/3/1976	35.3	25.0	29.8		238	
4/4/1976	35.1	24.9	29.6		239	
4/5/1976	34.9	24.9	29.5		237	
4/6/1976	34.9	24.9	29.4		235	
4/7/1976	34.8	24.9	29.4		236	
4/8/1976	34.8	24.9	29.4		238	
4/9/1976	34.6	24.8	29.2		237	
4/10/1976	34.6	24.7	29.2		238	
4/11/1976	34.4	24.7	29.2		238	
4/12/1976	34.3	24.7	29.2		236	
4/13/1976	34.3	24.6	29.2		232	
4/14/1976	34.2	24.6	29.1		234	
4/15/1976	34.1	24.6	29.1		232	
4/16/1976	33.9	24.6	29.1		231	
4/17/1976	33.9	24.5	29.1		230	
4/18/1976	33.8	24.6	29.1		232	
4/19/1976	33.8	24.5	29.0		231	
4/20/1976	33.8	24.5	29.0		232	
4/21/1976	33.7	24.6	29.0		233	
4/22/1976	33.7	24.4	28.9		232	
4/23/1976	33.7	24.4	28.8		231	
4/24/1976	33.6	24.3	28.8		234	
4/25/1976	33.7	24.4	28.8		234	
4/26/1976	33.6	24.4	28.9		237	
4/27/1976	33.7	24.4	28.9		238	
4/28/1976	33.0	23.0	27.3		311	
4/29/1976	33.8	24.3	28.9		240	
4/30/1976	33.8	24.3	28.9		239	
5/1/1976	33.9	24.3	28.9		244	
5/2/1976	33.9	24.3	28.9		244	
5/3/1976	33.9	24.4	29.0		242	
5/4/1976	33.9	24.4	29.1		247	
5/5/1976	33.9	24.3	29.1		249	
5/6/1976	33.9	24.3	29.1		256	
5/7/1976	33.9	24.2	29.1		260	
5/8/1976	33.9	24.2	29.1		266	
5/9/1976	33.9	24.2	29.2		270	
5/10/1976	33.9	24.1	29.2		272	
5/11/1976	33.9	24.1	29.2		277	
5/12/1976	33.8	24.0	29.2		282	
5/13/1976	33.8	23.9	29.1		282	
5/14/1976	33.8	23.9	29.1		283	
5/15/1976	33.7	23.9	29.0		279	
5/16/1976	33.7	23.8	29.0		282	
5/17/1976	33.7	23.8	28.9		283	
5/18/1976	33.7	23.6	28.8		284	
5/19/1976	33.6	23.6	28.8		285	
5/20/1976	33.5	23.5	28.7		283	
5/21/1976	33.5	23.4	28.6		283	
5/22/1976	33.5	23.4	28.6		281	
5/23/1976	33.4	23.3	28.5		277	
5/24/1976	33.3	23.2	28.4		278	
5/25/1976	33.2	23.2	28.4		272	
