Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	27.2	17.2	22.3		142	
1/2/1957	29.4	17.2	23.1		271	
1/3/1957	29.4	17.2	24.1		102	
1/4/1957	31.1	17.8	24.9		262	
1/5/1957	31.1	17.8	22.2		276	
1/6/1957	27.8	16.7	21.1		187	
1/7/1957	28.3	15.6	22.2		178	
1/8/1957	28.3	15.6	22.4		298	
1/9/1957	27.8	16.7	22.2		333	
1/10/1957	27.8	16.7	22.0		249	
1/11/1957	28.9	16.1	22.6		218	
1/12/1957	28.9	16.1	22.7		227	
1/13/1957	29.4	17.2	23.3		200	
1/14/1957	30.6	17.2	24.7		302	
1/15/1957	30.6	18.3	24.6		173	
1/16/1957	30.0	17.8	24.4		262	
1/17/1957	30.0	17.8	24.2		196	
1/18/1957	32.2	17.8	24.8		240	
1/19/1957	32.2	18.9	23.0		182	
1/20/1957	29.4	16.7	22.4		253	
1/21/1957	30.0	16.7	23.7		218	
1/22/1957	30.0	16.7	23.4		360	
1/23/1957	28.9	18.9	21.5		271	
1/24/1957	27.8	16.1	22.6		200	
1/25/1957	27.8	16.1	23.0		293	
1/26/1957	29.4	17.8	23.6		156	
1/27/1957	29.4	17.8	23.2		156	
1/28/1957	28.9	17.8	21.7		351	
1/29/1957	27.2	17.8	21.4		285	
1/30/1957	28.9	17.2	21.9		213	
1/31/1957	28.9	17.2	20.3		116	
2/1/1957	23.9	17.8	20.7		222	
2/2/1957	25.6	17.8	21.4		196	
2/3/1957	26.7	15.6	21.3		316	
2/4/1957	26.7	15.6	20.4		182	
2/5/1957	26.1	15.0	20.3		156	
2/6/1957	27.2	15.0	21.4		196	
2/7/1957	29.4	16.1	22.6		218	
2/8/1957	29.4	16.1	23.0		271	
2/9/1957	28.3	16.7	21.9		302	
2/10/1957	28.3	16.7	20.6		236	
2/11/1957	27.8	16.7	22.7		191	
2/12/1957	28.3	17.2	23.2		231	
2/13/1957	28.9	17.8	23.9		160	
2/14/1957	30.6	17.2	23.7		285	
2/15/1957	31.1	15.6	24.1		231	
2/16/1957	32.2	15.6	24.6		267	
2/17/1957	32.8	17.2	26.2		289	
2/18/1957	32.8	20.6	25.3		360	
2/19/1957	31.1	19.4	24.7		338	
2/20/1957	30.6	19.4	24.2		316	
2/21/1957	30.6	18.3	22.4		236	
2/22/1957	29.4	18.3	23.8		236	
2/23/1957	29.4	20.6	23.9		271	
2/24/1957	29.4	18.9	23.6		160	
2/25/1957	28.9	18.3	23.9		213	
2/26/1957	30.6	18.3	23.9		244	
2/27/1957	30.6	18.3	23.1		204	
2/28/1957	28.9	18.3	22.8		191	
3/1/1957	27.8	18.3	22.4		289	
3/2/1957	28.9	17.8	23.8		204	
3/3/1957	28.9	17.8	23.3		111	
3/4/1957	28.9	20.0	23.4		213	
3/5/1957	28.3	18.9	23.1		347	
3/6/1957	28.3	17.2	21.9		218	
3/7/1957	26.7	17.2	23.1		200	
3/8/1957	27.8	19.4	23.4		333	
3/9/1957	29.4	19.4	24.0		213	
3/10/1957	29.4	18.3	22.0		302	
3/11/1957	28.9	17.8	18.7		231	
3/12/1957	26.1	17.2	21.7		107	
3/13/1957	28.9	17.2	23.0		267	
3/14/1957	30.6	18.3	23.5		133	
