Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	24.4	12.2	19.3		622	
1/2/1957	25.0	12.2	19.9		622	
1/3/1957	18.9	10.6	16.3		462	
1/4/1957	22.2	12.8	18.4		711	
1/5/1957	24.4	12.8	19.1		484	
1/6/1957	22.8	10.0	18.1		529	
1/7/1957	24.4	10.6	17.8		409	
1/8/1957	22.8	10.0	18.4		529	
1/9/1957	24.4	11.1	19.4		711	
1/10/1957	23.9	10.0	19.8		311	
1/11/1957	25.0	7.2	19.1		262	
1/12/1957	22.8	7.8	18.2		227	
1/13/1957	22.8	9.4	17.8		387	
1/14/1957	21.7	12.8	18.6		387	
1/15/1957	23.9	13.3	19.4		387	
1/16/1957	22.8	9.4	18.6		573	
1/17/1957	25.0	9.4	19.8		418	
1/18/1957	26.7	11.1	21.6		302	
1/19/1957	22.2	8.9	17.9		142	
1/20/1957	23.9	8.3	18.1		187	
1/21/1957	25.0	8.9	19.2		373	
1/22/1957	23.3	8.9	17.4		356	
1/23/1957	19.4	11.7	15.9		138	
1/24/1957	21.7	11.7	18.2		209	
1/25/1957	23.3	8.9	17.9		342	
1/26/1957	22.2	10.6	17.6		413	
1/27/1957	25.0	11.7	18.9		267	
1/28/1957	20.0	10.0	16.2		258	
1/29/1957	20.0	9.4	15.7		142	
1/30/1957	20.6	10.6	17.0		222	
1/31/1957	17.8	12.8	15.3		133	
2/1/1957	17.8	11.1	15.7		204	
2/2/1957	21.7	8.3	17.3		213	
2/3/1957	25.0	7.8	18.6		338	
2/4/1957	23.9	7.2	18.2		387	
2/5/1957	22.8	6.7	17.2		187	
2/6/1957	21.7	8.9	17.2		324	
2/7/1957	24.4	8.9	18.9		458	
2/8/1957	24.4	10.6	19.6		573	
2/9/1957	25.0	12.8	19.6		711	
2/10/1957	24.4	7.8	18.2		356	
2/11/1957	24.4	10.6	18.7		253	
2/12/1957	25.6	7.2	19.1		458	
2/13/1957	25.0	14.4	20.6		667	
2/14/1957	23.3	12.2	19.7		529	
2/15/1957	26.1	11.7	20.8		667	
2/16/1957	23.9	8.3	19.4		440	
2/17/1957	25.0	11.1	20.8		267	
2/18/1957	25.0	13.3	20.6		285	
2/19/1957	26.7	13.3	21.4		484	
2/20/1957	22.8	12.8	19.6		756	
2/21/1957	22.8	14.4	19.2		418	
2/22/1957	24.4	13.3	19.2		533	
2/23/1957	24.4	13.3	20.0		618	
2/24/1957	23.9	13.3	19.7		756	
2/25/1957	24.4	12.2	19.7		756	
2/26/1957	21.1	11.7	18.4		689	
2/27/1957	25.6	10.0	20.1		529	
2/28/1957	24.4	10.0	18.9		373	
3/1/1957	21.1	13.3	16.8		240	
3/2/1957	22.2	12.2	18.7		489	
3/3/1957	23.3	14.4	19.2		711	
3/4/1957	21.7	14.4	18.8		800	
3/5/1957	24.4	11.7	19.0		667	
3/6/1957	25.6	8.3	19.0		311	
3/7/1957	26.1	10.0	20.0		413	
3/8/1957	25.6	9.4	20.2		324	
3/9/1957	25.0	11.7	20.3		369	
3/10/1957	22.8	12.2	17.2		413	
3/11/1957	22.8	12.2	13.8		98	
3/12/1957	19.4	11.7	15.2		267	
3/13/1957	25.0	11.7	19.6		489	
3/14/1957	26.1	12.2	20.7		551	
3/15/1957	26.1	13.3	21.7		667	
3/16/1957	25.6	12.2	21.2		667	
3/17/1957	24.4	10.6	20.3		502	
3/18/1957	23.3	12.8	19.3		711	
3/19/1957	22.2	7.8	17.4		533	
3/20/1957	24.4	9.4	18.9		533	
3/21/1957	25.6	12.8	20.4		573	
3/22/1957	24.4	11.7	20.1		573	
3/23/1957	26.1	11.7	21.0		373	
3/24/1957	24.4	10.0	19.0		302	
3/25/1957	25.6	10.6	20.7		396	
3/26/1957	24.4	10.0	19.6		445	
3/27/1957	25.0	11.7	18.0		240	
3/28/1957	22.2	12.2	17.3		298	
3/29/1957	21.7	10.0	17.7		413	
3/30/1957	23.3	12.2	19.8		484	
3/31/1957	25.0	10.0	19.7		360	
4/1/1957	23.9	11.1	18.7		324	
4/2/1957	24.4	12.2	19.2		253	
4/3/1957	25.0	11.1	19.0		342	
4/4/1957	25.6	12.2	19.8		413	
4/5/1957	23.3	12.8	18.3		413	
4/6/1957	22.8	12.2	19.3		400	
4/7/1957	23.3	11.1	19.4		458	
4/8/1957	25.0	10.6	19.6		387	
4/9/1957	23.9	13.9	19.3		618	
4/10/1957	23.3	10.6	19.2		533	
4/11/1957	25.0	9.4	19.7		458	
4/12/1957	22.8	13.3	18.2		285	
4/13/1957	19.4	13.3	16.7		507	
4/14/1957	22.2	13.3	17.3		302	
4/15/1957	23.3	12.8	18.4		489	
4/16/1957	24.4	14.4	19.6		578	
4/17/1957	23.9	13.9	19.7		533	
4/18/1957	23.3	11.7	19.1		533	
4/19/1957	25.0	10.0	19.4		413	
4/20/1957	22.2	13.3	17.8		178	
4/21/1957	18.3	12.8	15.6		285	
4/22/1957	22.2	11.7	17.0		285	
4/23/1957	23.3	12.8	19.1		302	
4/24/1957	22.8	12.8	19.2		409	
4/25/1957	22.8	12.8	19.0		529	
4/26/1957	21.1	12.2	17.3		529	
4/27/1957	22.2	13.3	18.9		578	
4/28/1957	23.3	11.7	19.0		285	
4/29/1957	23.9	10.6	18.1		356	
4/30/1957	22.8	11.7	18.8		573	
5/1/1957	22.2	11.1	16.7		147	
5/2/1957	21.1	12.2	17.2		253	
5/3/1957	20.0	13.9	16.6		98	
5/4/1957	21.7	12.2	16.7		138	
5/5/1957	22.8	13.9	18.1		200	
5/6/1957	22.2	13.3	16.9		324	
5/7/1957	21.7	10.0	17.6		329	
5/8/1957	23.3	13.9	20.0		311	
5/9/1957	23.3	12.8	18.9		311	
5/10/1957	23.9	11.1	18.6		311	
5/11/1957	22.8	12.8	18.6		311	
5/12/1957	23.9	11.1	19.1		311	
5/13/1957	23.9	10.6	18.2		311	
5/14/1957	23.3	13.9	19.1		418	
5/15/1957	22.2	11.1	18.4		458	
5/16/1957	22.2	12.8	18.0		413	
5/17/1957	22.8	10.6	17.8		458	
5/18/1957	23.9	9.4	18.8		413	
5/19/1957	22.8	8.9	18.1		387	
5/20/1957	23.3	10.0	17.6		240	
5/21/1957	22.2	13.9	17.8		267	
5/22/1957	23.3	12.2	18.7		373	
5/23/1957	22.8	10.0	18.4		347	
5/24/1957	22.8	10.0	18.3		396	
5/25/1957	23.3	8.9	17.9		324	
5/26/1957	21.7	12.2	17.4		200	
5/27/1957	22.8	12.8	17.7		271	
5/28/1957	21.7	10.6	16.9		267	
5/29/1957	17.8	13.3	16.0		240	
5/30/1957	18.9	13.3	16.2		196	
5/31/1957	20.6	10.0	15.7		178	
6/1/1957	18.3	11.1	14.9		196	
6/2/1957	21.1	11.1	17.0		324	
6/3/1957	23.9	12.2	18.9		240	
6/4/1957	20.6	13.3	17.3		209	
6/5/1957	22.8	12.8	18.3		365	
6/6/1957	23.3	13.9	17.3		222	
6/7/1957	21.1	10.0	17.0		276	
6/8/1957	23.3	11.1	18.7		356	
