Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	34.4	25.0	30.6		373	
1/2/1957	33.3	24.4	30.7		204	
1/3/1957	33.3	25.0	30.0		418	
1/4/1957	31.7	25.0	29.7		347	
1/5/1957	35.0	21.1	29.6		267	
1/6/1957	34.4	25.0	29.8		253	
1/7/1957	33.3	25.6	29.4		218	
1/8/1957	32.8	23.3	28.9		258	
1/9/1957	35.0	21.7	28.8		200	
1/10/1957	35.6	22.8	29.6		227	
1/11/1957	36.1	21.7	29.4		222	
1/12/1957	34.4	26.1	30.3		400	
1/13/1957	33.3	26.1	29.6		369	
1/14/1957	33.3	21.1	28.6		276	
1/15/1957	35.0	23.3	29.9		320	
1/16/1957	35.0	23.9	29.7		218	
1/17/1957	34.4	23.9	29.4		196	
1/18/1957	35.0	25.0	29.7		236	
1/19/1957	35.6	23.9	30.1		249	
1/20/1957	33.9	24.4	29.4		342	
1/21/1957	33.9	24.4	29.1		276	
1/22/1957	36.1	26.7	32.0		293	
1/23/1957	27.8	23.9	26.1		178	
1/24/1957	33.9	21.7	28.7		187	
1/25/1957	30.6	24.4	28.4		338	
1/26/1957	32.2	23.3	28.1		169	
1/27/1957	34.4	22.8	29.4		213	
1/28/1957	35.0	23.9	30.2		196	
1/29/1957	31.7	26.1	29.1		187	
1/30/1957	34.4	23.9	29.0		231	
1/31/1957	34.4	23.9	29.2		236	
2/1/1957	35.0	25.6	30.6		360	
2/2/1957	36.1	24.4	29.5		351	
2/3/1957	35.0	24.4	29.4		285	
2/4/1957	35.0	25.6	29.8		262	
2/5/1957	33.9	21.1	28.8		338	
2/6/1957	32.8	25.0	28.8		360	
2/7/1957	35.6	23.9	29.9		164	
2/8/1957	36.1	22.8	30.1		200	
2/9/1957	35.6	25.6	30.3		285	
2/10/1957	35.0	23.3	29.7		204	
2/11/1957	35.0	25.6	30.1		200	
2/12/1957	35.6	21.7	30.1		253	
2/13/1957	35.0	24.4	30.6		285	
2/14/1957	35.6	25.0	30.1		209	
2/15/1957	36.1	21.1	29.7		231	
2/16/1957	36.7	23.3	30.0		191	
2/17/1957	36.7	23.9	30.2		320	
2/18/1957	36.1	22.2	29.9		267	
2/19/1957	34.4	23.9	29.9		249	
2/20/1957	33.9	25.6	29.6		342	
2/21/1957	35.0	25.0	29.9		258	
2/22/1957	35.0	25.6	30.4		276	
2/23/1957	33.9	25.6	29.7		387	
2/24/1957	33.3	25.0	29.4		302	
2/25/1957	34.4	24.4	29.7		302	
2/26/1957	35.0	23.9	29.7		204	
2/27/1957	36.1	25.0	31.0		227	
2/28/1957	34.4	26.7	30.5		302	
3/1/1957	36.1	25.6	30.4		289	
3/2/1957	35.0	26.1	30.8		249	
3/3/1957	34.4	27.8	31.4		373	
3/4/1957	35.0	27.2	31.4		342	
3/5/1957	34.4	26.7	30.8		289	
3/6/1957	35.6	25.0	30.6		222	
3/7/1957	37.2	27.8	33.4		262	
3/8/1957	36.7	28.9	32.8		311	
3/9/1957	36.7	27.2	31.2		431	
3/10/1957	34.4	24.4	29.6		333	
3/11/1957	34.4	21.7	29.6		93	
3/12/1957	32.2	22.8	27.2		71	
3/13/1957	35.0	23.3	29.8		120	
3/14/1957	36.1	27.8	32.3		382	
3/15/1957	37.2	25.6	32.3		244	
3/16/1957	37.2	26.1	32.0		209	
3/17/1957	35.0	26.7	30.8		369	
3/18/1957	32.8	26.1	29.9		436	
3/19/1957	34.4	25.6	30.6		365	
3/20/1957	35.6	25.0	30.7		338	
3/21/1957	35.6	25.6	30.8		347	
3/22/1957	35.6	23.9	30.3		276	
3/23/1957	35.6	24.4	30.8		236	
3/24/1957	35.6	26.1	31.4		258	
3/25/1957	37.2	25.6	31.9		222	
3/26/1957	36.7	25.0	31.8		258	
3/27/1957	33.9	27.8	30.7		378	
3/28/1957	27.8	19.4	24.9		173	
3/29/1957	31.7	22.2	27.3		231	
3/30/1957	34.4	22.8	29.2		285	
3/31/1957	35.0	24.4	29.9		262	
4/1/1957	33.9	25.0	29.0		356	
4/2/1957	34.4	24.4	30.8		231	
4/3/1957	36.1	27.2	32.7		329	
4/4/1957	35.6	28.3	32.7		396	
4/5/1957	35.6	27.8	32.0		440	
4/6/1957	35.0	25.0	30.7		271	
4/7/1957	36.1	26.7	32.1		365	
