Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
2/12/1973	32.0	20.0	25.8		200	
2/13/1973	33.2	19.2	26.2		348	
2/14/1973	33.2	19.1	26.3		348	
2/15/1973	33.3	19.1	26.3		351	
2/16/1973	33.3	19.2	26.4		356	
2/17/1973	33.3	19.1	26.4		359	
2/18/1973	33.3	19.0	26.4		357	
2/19/1973	33.4	19.0	26.4		356	
2/20/1973	33.3	19.0	26.3		354	
2/21/1973	33.3	18.9	26.3		352	
2/22/1973	33.2	18.8	26.2		344	
2/23/1973	33.3	18.8	26.2		334	
2/24/1973	33.3	18.7	26.2		328	
2/25/1973	33.3	18.7	26.2		322	
2/26/1973	33.2	18.8	26.1		309	
2/27/1973	33.1	19.0	26.1		312	
2/28/1973	33.1	19.1	26.2		311	
3/1/1973	33.1	19.1	26.2		308	
3/2/1973	33.1	19.1	26.2		312	
3/3/1973	33.0	19.2	26.2		311	
3/4/1973	32.9	19.3	26.2		314	
3/5/1973	32.9	19.3	26.2		313	
3/6/1973	32.8	19.3	26.1		309	
3/7/1973	32.8	19.3	26.1		308	
3/8/1973	32.8	19.3	26.1		302	
3/9/1973	32.8	19.4	26.1		302	
3/10/1973	32.8	19.5	26.1		302	
3/11/1973	32.8	19.6	26.1		297	
3/12/1973	32.7	19.6	26.1		295	
3/13/1973	32.6	19.6	26.1		293	
3/14/1973	32.4	19.7	26.0		290	
3/15/1973	32.3	19.8	25.9		286	
3/16/1973	32.2	19.9	25.8		282	
3/17/1973	32.0	19.9	25.7		277	
3/18/1973	31.9	19.9	25.6		269	
3/19/1973	31.8	19.9	25.5		263	
3/20/1973	31.6	19.9	25.4		254	
3/21/1973	34.0	20.0	25.7		164	
3/22/1973	33.0	22.0	29.0		360	
3/23/1973	33.0	22.0	29.0		241	
3/24/1973	33.0	22.0	29.0		240	
3/25/1973	33.0	22.0	29.0		238	
3/26/1973	33.0	22.0	29.0		238	
3/27/1973	33.0	22.0	29.0		234	
3/28/1973	33.0	20.0	25.7		229	
3/29/1973	30.6	20.1	24.9		224	
3/30/1973	30.5	20.1	24.9		218	
3/31/1973	30.4	20.0	24.9		212	
4/1/1973	30.3	19.9	24.8		207	
4/2/1973	30.2	19.9	24.8		204	
4/3/1973	30.1	19.9	24.7		200	
4/4/1973	30.0	19.9	24.5		195	
4/5/1973	29.9	19.9	24.4		193	
4/6/1973	29.8	19.8	24.4		192	
4/7/1973	29.7	19.8	24.4		191	
4/8/1973	29.6	19.8	24.4		188	
4/9/1973	29.4	19.9	24.3		187	
4/10/1973	29.3	19.9	24.3		185	
4/11/1973	29.2	19.9	24.3		182	
4/12/1973	29.2	19.9	24.2		181	
4/13/1973	29.1	19.9	24.2		179	
4/14/1973	29.1	19.9	24.2		179	
4/15/1973	28.9	19.9	24.2		178	
4/16/1973	28.8	19.9	24.1		176	
4/17/1973	28.7	19.8	24.0		178	
4/18/1973	28.7	19.8	24.0		177	
4/19/1973	28.7	19.7	23.9		175	
4/20/1973	28.6	19.6	23.9		172	
4/21/1973	28.5	19.6	23.8		169	
4/22/1973	28.4	19.6	23.8		168	
4/23/1973	28.2	19.5	23.7		166	
4/24/1973	28.1	19.5	23.6		164	
4/25/1973	28.1	19.5	23.5		160	
4/26/1973	28.0	19.4	23.4		159	
4/27/1973	27.9	19.5	23.3		156	
4/28/1973	25.0	19.0	21.3		164	
4/29/1973	25.0	19.0	21.3		164	
4/30/1973	25.0	19.0	21.3		164	
5/1/1973	25.0	19.0	21.3		164	
5/2/1973	27.0	20.0	23.0		222	
5/3/1973	28.0	17.0	22.5		111	
5/4/1973	28.0	17.0	22.5		111	
5/5/1973	28.0	17.0	22.5		111	
5/6/1973	29.0	21.0	24.2		227	
5/7/1973	29.0	21.0	24.2		227	
5/8/1973	29.0	21.0	24.2		227	
5/9/1973	29.0	21.0	24.2		227	
5/10/1973	29.0	21.0	24.2		227	
5/11/1973	23.0	19.0	20.7		227	
5/12/1973	23.0	19.0	20.7		227	
5/13/1973	23.0	19.0	20.7		227	
5/14/1973	23.0	19.0	20.7		227	
5/15/1973	28.0	19.0	24.0		200	
5/16/1973	28.0	19.0	24.0		200	
5/17/1973	28.0	19.0	24.0		200	
5/18/1973	28.0	19.0	24.0		200	
5/19/1973	28.0	19.0	24.0		200	
5/20/1973	28.0	19.0	24.0		200	
5/21/1973	28.0	19.0	24.0		200	
5/22/1973	25.0	18.0	21.3		53	
5/23/1973	25.0	18.0	21.3		53	
5/24/1973	25.0	18.0	21.3		53	
5/25/1973	25.0	18.0	21.3		53	
5/26/1973	23.0	16.0	19.8		53	
5/27/1973	23.0	16.0	19.8		53	
5/28/1973	23.0	16.0	19.8		53	
5/29/1973	23.0	16.0	19.8		53	
5/30/1973	23.0	16.0	19.8		53	
5/31/1973	27.0	16.0	21.4		169	
6/1/1973	23.0	14.0	21.3	0.2032	111	
6/2/1973	23.0	14.0	21.3		111	
6/3/1973	23.0	14.0	21.3		111	
6/4/1973	23.0	14.0	21.3		111	
6/5/1973	23.0	14.0	21.3		111	
6/6/1973	26.0	16.0	21.2	0	160	
6/7/1973	26.0	16.0	21.2		160	
6/8/1973	26.0	16.0	21.2		160	
6/9/1973	26.0	16.0	21.2		160	
6/10/1973	26.0	16.0	21.2		160	
6/11/1973	26.0	16.0	21.2		160	
6/12/1973	26.0	16.0	21.2		160	
6/13/1973	26.0	16.0	21.2		160	
6/14/1973	26.0	16.0	21.2		160	
6/15/1973	26.0	16.0	21.2		160	
6/16/1973	26.0	16.0	21.2		160	
6/17/1973	27.0	17.0	21.3	0	191	
6/18/1973	27.0	17.0	21.3		191	
6/19/1973	27.0	17.0	21.3		191	
6/20/1973	27.0	17.0	21.3		191	
6/21/1973	25.0	14.0	22.0	0	178	
6/22/1973	25.0	14.0	22.0		178	
6/23/1973	25.0	14.0	22.0		178	
6/24/1973	25.0	14.0	22.0		178	
6/25/1973	25.0	14.0	22.0		178	
6/26/1973	25.0	14.0	22.0		178	
6/27/1973	25.0	14.0	18.3	0	169	
6/28/1973	24.0	14.0	20.0	0	169	
6/29/1973	24.0	14.0	20.0		169	
6/30/1973	26.0	15.0	20.3	0	120	
7/1/1973	26.0	15.0	20.3		120	
7/2/1973	28.0	13.0	17.0	0	58	
7/3/1973	27.0	10.0	19.3		98	
7/4/1973	27.0	10.0	19.3		98	
7/5/1973	27.0	10.0	19.3		98	
7/6/1973	27.0	10.0	19.3		98	
7/7/1973	26.0	17.0	19.3		98	
7/8/1973	26.0	17.0	19.3		98	
7/9/1973	26.0	9.0	16.5		89	
7/10/1973	26.0	9.0	16.5		89	
7/11/1973	26.0	9.0	16.5		89	
7/12/1973	26.0	9.0	16.5		89	
7/13/1973	26.0	9.0	16.5		89	
7/14/1973	24.0	13.0	17.3	0	378	
7/15/1973	25.0	11.0	18.2	0	116	
7/16/1973	26.0	11.0	18.2		116	
7/17/1973	26.0	11.0	18.2		116	
7/18/1973	24.0	12.0	20.3	0	222	
7/19/1973	24.0	12.0	20.3		222	
7/20/1973	24.0	12.0	20.3		222	
7/21/1973	24.0	12.0	20.3		222	
7/22/1973	24.0	19.0	20.0		178	
7/23/1973	24.0	19.0	20.0		178	
7/24/1973	25.0	16.0	21.8	0	222	
7/25/1973	25.0	17.0	20.2	0	196	
7/26/1973	25.9	14.8	20.6		176	
7/27/1973	26.0	14.9	20.6		174	
7/28/1973	25.9	14.9	20.6		173	
7/29/1973	25.9	15.1	20.6		177	
7/30/1973	25.9	15.2	20.7		178	
7/31/1973	25.9	15.2	20.7		180	
8/1/1973	25.9	15.2	20.7		183	
8/2/1973	25.9	15.2	20.8		186	
8/3/1973	26.1	15.2	20.8		192	
8/4/1973	26.2	15.1	20.8		193	
8/5/1973	26.2	15.1	20.8		194	
8/6/1973	25.0	17.0	20.5	0	267	
8/7/1973	25.0	17.0	20.5		267	
8/8/1973	28.0	10.0	19.2	0	196	
8/9/1973	28.0	10.0	19.2		196	
8/10/1973	28.0	10.0	19.2		196	
8/11/1973	28.0	10.0	19.2		196	
8/12/1973	28.0	10.0	19.2		196	
8/13/1973	28.0	10.0	19.2		196	
8/14/1973	27.0	17.0	20.7		320	
8/15/1973	27.0	17.0	20.7		320	
8/16/1973	25.0	17.0	21.0	0	320	
8/17/1973	25.0	17.0	21.0		320	
8/18/1973	25.0	17.0	21.0		320	
8/19/1973	25.0	17.0	21.0		320	
8/20/1973	29.0	17.0	21.5	0	133	
8/21/1973	29.0	17.0	21.5		133	
8/22/1973	29.0	17.0	21.5		133	
8/23/1973	26.0	17.0	21.0	0	178	
8/24/1973	24.0	16.0	18.5		164	
8/25/1973	24.0	16.0	18.5		164	
8/26/1973	27.0	16.0	20.5	0	191	
8/27/1973	25.0	14.0	19.3	0	226	
8/28/1973	25.0	14.0	19.3		226	
8/29/1973	25.0	14.0	19.3		232	
8/30/1973	25.0	14.0	19.3		239	
8/31/1973	25.0	14.0	19.3		242	
9/1/1973	25.0	14.0	19.3		248	
9/2/1973	25.0	14.0	19.3		253	
9/3/1973	25.0	14.0	19.3		251	
9/4/1973	25.0	14.0	19.3		254	
9/5/1973	25.0	18.0	20.3	0	260	
9/6/1973	25.0	18.0	20.3		264	
9/7/1973	31.0	15.0	24.6	0	373	
9/8/1973	30.0	11.0	22.0	0	373	
9/9/1973	30.0	11.0	22.0		373	
9/10/1973	30.0	11.0	22.0		373	
9/11/1973	30.0	11.0	22.0		373	
9/12/1973	29.0	18.0	21.5		222	
9/13/1973	29.0	12.0	21.3	0	178	
9/14/1973	29.0	12.0	21.3		178	
9/15/1973	29.0	12.0	21.3		178	
9/16/1973	29.0	12.0	21.3		178	
9/17/1973	29.0	12.0	21.3		178	
9/18/1973	29.0	12.0	21.3		178	
9/19/1973	27.0	12.0	20.4	0	311	
9/20/1973	27.0	12.0	20.4		311	
9/21/1973	27.0	12.0	20.4		311	
9/22/1973	27.0	12.0	20.4		311	
9/23/1973	27.0	12.0	20.4		311	
9/24/1973	27.0	12.0	20.4		311	
9/25/1973	27.0	12.0	20.4		311	
9/26/1973	27.0	12.0	20.4		311	
9/27/1973	27.0	12.0	20.4		311	
9/28/1973	27.0	16.0	21.3		267	
9/29/1973	27.0	16.0	21.3		267	
9/30/1973	27.0	16.0	21.3		267	
10/1/1973	27.0	16.0	21.3		267	
10/2/1973	27.0	16.0	21.3		267	
10/3/1973	31.0	17.0	23.5	0	365	
10/4/1973	31.0	17.0	23.5		365	
10/5/1973	31.0	17.0	23.5		365	
10/6/1973	33.0	12.0	23.2	0	387	
10/7/1973	33.0	12.0	23.2		387	
10/8/1973	33.0	12.0	23.2		387	
10/9/1973	33.0	12.0	23.2		387	
10/10/1973	33.0	12.0	23.2		387	
10/11/1973	33.0	12.0	23.2		387	
10/12/1973	33.0	12.0	23.2		387	
10/13/1973	28.0	16.0	21.3	0.4064	409	
10/14/1973	30.0	15.0	23.0	0	356	
10/15/1973	30.9	17.6	24.3		304	
10/16/1973	31.0	17.6	24.3		307	
10/17/1973	31.1	17.7	24.3		310	
10/18/1973	31.1	17.7	24.4		314	
10/19/1973	31.2	17.6	24.4		318	
10/20/1973	31.2	17.6	24.4		320	
10/21/1973	31.3	17.7	24.3		319	
10/22/1973	31.3	17.7	24.4		323	
10/23/1973	31.4	17.8	24.6		327	
10/24/1973	31.4	17.9	24.6		327	
10/25/1973	31.4	18.0	24.7		326	
10/26/1973	31.3	17.9	24.7		323	
10/27/1973	31.3	18.1	24.7		320	
10/28/1973	31.4	18.1	24.7		321	
10/29/1973	31.4	18.2	24.7		325	
10/30/1973	31.4	18.3	24.8		327	
10/31/1973	31.4	18.3	24.8		322	
11/1/1973	31.4	18.3	24.8		318	
11/2/1973	31.4	18.3	24.8		318	
11/3/1973	31.4	18.4	24.8		320	
11/4/1973	31.4	18.6	24.9		322	
11/5/1973	31.4	18.6	24.9		321	
11/6/1973	31.4	18.8	24.9		321	
11/7/1973	31.4	18.9	24.9		321	
11/8/1973	31.4	18.9	25.0		324	
11/9/1973	31.4	18.9	25.1		333	
11/10/1973	31.4	19.0	25.1		338	
11/11/1973	31.3	19.1	25.1		338	
11/12/1973	31.3	19.1	25.0		334	
11/13/1973	31.2	19.1	24.9		328	
11/14/1973	31.1	19.1	24.9		327	
11/15/1973	31.0	19.0	24.9		327	
11/16/1973	31.1	19.0	25.0		323	
11/17/1973	31.0	19.1	24.9		321	
11/18/1973	31.0	19.1	24.9		319	
11/19/1973	31.0	19.1	25.0		320	
11/20/1973	31.0	19.1	25.0		323	
11/21/1973	31.1	19.2	25.1		329	
11/22/1973	31.1	19.2	25.1		333	
11/23/1973	31.2	19.2	25.1		336	
11/24/1973	31.1	19.2	25.1		336	
11/25/1973	31.2	19.2	25.1		338	
11/26/1973	31.2	19.2	25.1		339	
11/27/1973	31.2	19.2	25.0		340	
11/28/1973	31.2	19.2	24.9		336	
11/29/1973	31.2	19.2	24.9		332	
11/30/1973	32.0	16.0	23.3	0.7112	333	
12/1/1973	29.0	12.0	24.0	0	333	
12/2/1973	29.0	12.0	24.0		333	
12/3/1973	33.0	13.0	25.3	0	529	
12/4/1973	31.3	19.2	24.9		328	
12/5/1973	31.3	19.2	24.9		329	
12/6/1973	31.3	19.3	24.9		327	
12/7/1973	31.4	19.3	25.0		334	
12/8/1973	31.5	19.3	25.1		337	
12/9/1973	31.6	19.3	25.2		338	
12/10/1973	31.7	19.3	25.3		340	
12/11/1973	31.7	19.4	25.2		342	
12/12/1973	31.7	19.3	25.2		341	
12/13/1973	31.7	19.2	25.2		341	
12/14/1973	31.6	19.1	25.2		337	
12/15/1973	31.6	19.1	25.2		335	
12/16/1973	31.6	18.9	25.1		328	
12/17/1973	31.5	18.9	25.1		325	
12/18/1973	31.5	18.9	25.1		326	
12/19/1973	31.4	18.8	25.1		323	
12/20/1973	31.4	18.7	25.1		318	
12/21/1973	31.4	18.8	25.1		322	
12/22/1973	31.4	18.8	25.1		320	
12/23/1973	31.4	18.7	25.1		322	
12/24/1973	31.7	18.6	25.2		329	
12/25/1973	31.9	18.6	25.3		338	
12/26/1973	31.9	18.6	25.2		340	
12/27/1973	32.1	18.4	25.2		340	
12/28/1973	32.2	18.4	25.2		343	
12/29/1973	32.3	18.4	25.3		345	
12/30/1973	32.4	18.3	25.2		343	
12/31/1973	32.3	18.3	25.2		341	
1/1/1974	32.2	18.1	25.1		331	
1/2/1974	32.0	18.1	25.0		319	
1/3/1974	32.0	18.1	25.0		319	
1/4/1974	32.0	18.1	25.0		319	
1/5/1974	31.9	18.1	25.0		320	
1/6/1974	31.9	18.1	24.9		318	
1/7/1974	31.9	18.0	24.8		318	
1/8/1974	31.9	18.0	24.8		314	
1/9/1974	32.0	18.1	24.8		317	
1/10/1974	31.9	18.2	24.9		318	
1/11/1974	32.0	18.3	25.0		325	
1/12/1974	31.9	18.3	25.1		324	
1/13/1974	32.0	18.3	25.1		321	
1/14/1974	32.1	18.4	25.2		320	
1/15/1974	32.2	18.4	25.3		324	
1/16/1974	32.3	18.4	25.3		322	
1/17/1974	32.4	18.4	25.5		323	
1/18/1974	35.0	14.0	26.8	0	302	
1/19/1974	32.6	18.3	25.6		326	
1/20/1974	32.7	18.3	25.6		324	
