Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	27.8	17.8	23.6		53	
1/2/1957	28.3	18.3	23.9		387	
1/3/1957	28.9	18.3	23.7		258	
1/4/1957	28.9	17.8	24.0		276	
1/5/1957	28.3	17.8	23.4		142	
1/6/1957	23.3	18.3	20.8		89	
1/7/1957	25.6	17.8	20.4		89	
1/8/1957	27.8	16.7	23.4		89	
1/9/1957	25.6	19.4	21.7		133	
1/10/1957	23.9	18.9	21.1		98	
1/11/1957	24.4	17.8	21.4		98	
1/12/1957	24.4	18.3	21.1		98	
1/13/1957	25.0	17.2	22.0		71	
1/14/1957	28.9	18.3	24.0		178	
1/15/1957	27.8	17.8	23.7		178	
1/16/1957	29.4	18.3	24.2		267	
1/17/1957	30.0	17.2	24.8		231	
1/18/1957	29.4	17.8	24.7		133	
1/19/1957	28.9	17.8	22.9		133	
1/20/1957	29.4	17.2	23.6		98	
1/21/1957	23.9	18.9	22.1		124	
1/22/1957	29.4	16.7	23.9		89	
1/23/1957	28.3	18.9	23.0		116	
1/24/1957	23.9	18.3	21.6		53	
1/25/1957	27.2	18.9	23.6		89	
1/26/1957	27.8	16.1	21.8		89	
1/27/1957	26.1	18.3	23.1		53	
1/28/1957	24.4	18.3	21.2		160	
1/29/1957	22.8	18.3	20.7		160	
1/30/1957	24.4	17.8	21.7		213	
1/31/1957	26.1	18.3	22.9		44	
2/1/1957	26.7	18.9	23.3		320	
2/2/1957	23.3	17.2	19.6		107	
2/3/1957	25.0	16.7	21.3		142	
2/4/1957	26.7	18.3	21.4		116	
2/5/1957	25.0	18.3	21.0		71	
2/6/1957	26.1	18.3	21.7		133	
2/7/1957	25.6	18.3	21.1		133	
2/8/1957	25.0	18.3	22.1		44	
2/9/1957	23.9	17.2	21.6		44	
2/10/1957	25.0	16.7	21.0		89	
2/11/1957	27.8	17.2	23.3		44	
2/12/1957	26.1	18.3	22.1		133	
2/13/1957	27.8	18.9	24.3		44	
2/14/1957	28.3	17.2	23.8		89	
2/15/1957	28.9	17.2	24.2		187	
2/16/1957	29.4	17.2	24.8		62	
2/17/1957	28.9	18.3	24.6		160	
2/18/1957	27.2	18.3	22.8		285	
2/19/1957	25.6	18.3	22.4		320	
2/20/1957	27.2	17.8	22.8		209	
2/21/1957	26.7	17.2	22.9		124	
2/22/1957	27.2	15.6	22.9		276	
2/23/1957	27.8	15.6	23.0		453	
2/24/1957	28.3	18.3	23.8		276	
2/25/1957	28.3	15.6	23.1		293	
2/26/1957	28.3	16.1	23.7		347	
2/27/1957	28.9	16.1	24.0		267	
2/28/1957	29.4	17.2	24.3		240	
3/1/1957	28.9	18.3	24.1		387	
3/2/1957	28.3	17.8	23.9		89	
3/3/1957	27.2	18.9	23.2		293	
3/4/1957	28.9	18.3	23.9		347	
3/5/1957	27.8	18.3	23.3		178	
3/6/1957	28.9	17.2	24.3		311	
3/7/1957	30.6	17.2	25.2		204	
3/8/1957	30.6	16.7	25.2		142	
3/9/1957	29.4	16.7	24.4		347	
3/10/1957	30.0	18.3	23.2		213	
3/11/1957	26.7	18.9	22.7		116	
3/12/1957	28.3	17.8	23.4		124	
3/13/1957	30.0	18.3	25.0		89	
3/14/1957	28.9	18.3	24.0		169	
3/15/1957	30.0	18.9	24.6		196	
3/16/1957	26.7	19.4	22.7		133	
3/17/1957	28.3	18.9	23.6		164	
3/18/1957	27.8	18.9	23.9		356	
3/19/1957	27.8	17.2	22.9		187	
3/20/1957	27.8	17.8	23.4		320	
3/21/1957	28.3	18.3	23.4		316	
3/22/1957	28.9	17.8	24.4		445	
3/23/1957	28.9	17.8	24.0		276	
3/24/1957	28.9	17.2	23.8		142	
3/25/1957	29.4	18.9	24.9		302	
3/26/1957	30.0	18.9	25.1		293	
3/27/1957	28.9	18.3	24.2		89	
3/28/1957	25.0	18.3	22.0		133	
3/29/1957	28.9	17.8	24.4		222	
3/30/1957	30.0	18.9	25.8		178	
3/31/1957	30.0	17.8	23.3		240	
4/1/1957	29.4	17.8	24.6		124	
4/2/1957	26.1	20.0	23.3		116	
4/3/1957	29.4	18.3	24.6		204	
4/4/1957	30.0	18.9	24.7		178	
4/5/1957	30.0	17.2	24.8		133	
4/6/1957	28.3	17.8	24.7		311	
4/7/1957	28.3	17.8	24.0		311	
4/8/1957	29.4	17.2	24.6		213	
4/9/1957	29.4	18.3	24.4		240	
4/10/1957	30.6	18.9	25.7		178	
4/11/1957	29.4	19.4	24.9		276	
4/12/1957	30.0	19.4	24.3		187	
4/13/1957	26.7	18.3	21.9		44	
4/14/1957	25.6	18.9	21.7		89	
4/15/1957	31.7	18.3	24.2		80	
4/16/1957	25.0	17.8	20.9		80	
4/17/1957	25.0	18.9	22.0		89	
4/18/1957	27.2	18.3	23.4		231	
4/19/1957	27.2	17.8	23.0		311	
4/20/1957	26.1	18.3	22.2		240	
4/21/1957	24.4	17.8	21.0		169	
4/22/1957	24.4	17.2	21.8		249	
4/23/1957	25.6	18.3	22.3		440	
4/24/1957	26.1	16.1	22.2		293	
4/25/1957	25.0	18.3	21.9		378	
4/26/1957	26.1	17.2	22.0		222	
4/27/1957	27.2	17.8	23.0		391	
4/28/1957	27.8	17.2	23.6		391	
4/29/1957	26.1	17.8	23.2		391	
4/30/1957	25.0	16.7	21.1		329	
5/1/1957	26.7	16.7	22.9		311	
5/2/1957	27.8	16.7	23.1		329	
5/3/1957	27.8	16.7	22.2		89	
5/4/1957	25.6	17.8	22.1		80	
5/5/1957	21.7	17.2	19.8		231	
5/6/1957	25.6	17.8	21.8		133	
5/7/1957	25.0	17.8	21.9		333	
5/8/1957	23.9	17.8	21.3		387	
5/9/1957	25.0	15.0	21.4		311	
5/10/1957	25.0	17.2	21.9		133	
5/11/1957	24.4	17.2	21.6		213	
5/12/1957	27.2	17.8	23.2		320	
5/13/1957	26.7	17.2	22.3		196	
5/14/1957	26.1	16.7	22.2		222	
5/15/1957	26.1	17.2	22.3		391	
5/16/1957	26.7	17.2	22.6		387	
5/17/1957	24.4	17.2	20.7		311	
5/18/1957	24.4	17.8	21.0		302	
5/19/1957	25.6	16.7	22.1		276	
5/20/1957	27.2	15.0	22.9		187	
5/21/1957	27.8	16.7	23.2		249	
5/22/1957	26.1	16.1	22.6		391	
5/23/1957	26.7	15.6	21.9		249	
5/24/1957	26.1	15.0	22.3		151	
5/25/1957	27.8	15.0	23.3		80	
5/26/1957	28.9	18.3	24.2		204	
5/27/1957	26.1	18.3	22.7		133	
5/28/1957	26.1	17.2	22.7		160	
5/29/1957	25.0	16.1	21.7		258	
5/30/1957	26.7	13.9	21.9		169	
5/31/1957	27.8	15.6	22.6		133	
6/1/1957	28.3	15.0	23.1		80	
6/2/1957	28.3	15.6	23.6		196	
6/3/1957	29.4	16.1	24.0		276	
6/4/1957	29.4	17.2	24.0		240	
6/5/1957	25.0	17.2	21.6		276	
6/6/1957	26.7	13.3	22.0		116	
6/7/1957	27.8	12.8	22.3		178	
6/8/1957	27.2	13.9	22.3		213	
6/9/1957	27.2	13.3	21.9		151	
6/10/1957	27.2	14.4	22.1		231	
6/11/1957	26.1	13.3	21.4		253	
6/12/1957	26.7	12.8	21.6		187	
6/13/1957	25.6	14.4	21.9		267	
6/14/1957	26.1	13.9	21.7		133	
6/15/1957	25.6	13.3	20.8		311	
6/16/1957	26.1	14.4	21.2		347	
6/17/1957	26.1	12.8	21.8		178	
6/18/1957	26.7	12.2	21.1		213	
6/19/1957	30.0	14.4	22.9		116	
6/20/1957	28.3	15.6	22.7		285	
6/21/1957	26.1	15.6	22.0		231	
6/22/1957	25.6	15.0	20.8		302	
6/23/1957	25.6	12.2	20.4		222	
6/24/1957	26.7	11.7	21.2		89	
6/25/1957	25.6	11.1	20.3		178	
6/26/1957	25.0	10.6	19.6		169	
6/27/1957	26.1	11.1	20.8		276	
6/28/1957	25.6	11.7	20.2		329	
6/29/1957	26.1	12.2	20.8		365	
6/30/1957	27.2	12.2	21.2		258	
7/1/1957	27.2	16.1	22.8		427	
7/2/1957	27.2	14.4	22.2		213	
7/3/1957	26.1	13.9	20.8		231	
7/4/1957	24.4	10.6	19.4		231	
7/5/1957	24.4	11.7	19.9		213	
7/6/1957	22.8	12.2	18.6		311	
7/7/1957	25.0	11.1	20.0		213	
7/8/1957	26.7	12.8	21.2		231	
7/9/1957	25.0	12.2	20.3		204	
7/10/1957	25.6	12.2	20.8		80	
7/11/1957	25.0	11.1	20.0		187	
7/12/1957	23.9	12.8	19.6		489	
7/13/1957	26.1	12.8	20.7		133	
7/14/1957	25.6	13.9	20.8		231	
7/15/1957	26.1	12.8	20.8		285	
7/16/1957	26.7	12.8	21.2		196	
7/17/1957	25.6	13.9	20.7		293	
7/18/1957	24.4	11.7	19.6		418	
7/19/1957	25.6	16.7	21.2		311	
7/20/1957	26.1	13.3	21.0		311	
7/21/1957	24.4	10.6	19.3		267	
7/22/1957	25.6	11.1	20.8		124	
7/23/1957	26.1	12.8	20.7		267	
7/24/1957	26.1	14.4	21.1		409	
7/25/1957	25.6	14.4	21.2		320	
7/26/1957	26.7	14.4	21.1		347	
7/27/1957	27.2	15.6	22.0		276	
7/28/1957	26.7	12.8	21.2		204	
7/29/1957	25.6	13.9	20.8		267	
7/30/1957	26.7	14.4	21.3		347	
7/31/1957	26.1	15.0	21.1		436	
8/1/1957	26.7	14.4	22.0		231	
8/2/1957	26.7	14.4	22.1		178	
8/3/1957	28.3	14.4	22.8		187	
8/4/1957	27.8	14.4	22.0		338	
8/5/1957	27.2	13.9	21.7		276	
8/6/1957	25.6	12.8	20.8		351	
8/7/1957	25.0	13.3	20.4		329	
8/8/1957	26.1	12.8	20.9		302	
8/9/1957	27.2	14.4	21.7		502	
8/10/1957	28.3	13.9	22.4		480	
8/11/1957	29.4	14.4	23.3		258	
8/12/1957	30.0	15.0	23.9		365	
8/13/1957	28.9	15.0	22.9		409	
8/14/1957	28.3	14.4	22.1		498	
8/15/1957	26.1	14.4	21.4		338	
8/16/1957	26.7	13.9	21.6		382	
8/17/1957	25.6	14.4	21.4		471	
8/18/1957	25.0	13.9	20.7		427	
8/19/1957	26.1	12.2	21.2		365	
8/20/1957	24.4	13.3	20.7		302	
8/21/1957	26.7	12.8	21.8		187	
8/22/1957	27.8	14.4	22.7		222	
8/23/1957	27.8	15.6	22.7		551	
8/24/1957	28.3	14.4	22.1		533	
8/25/1957	26.1	13.3	21.3		365	
8/26/1957	26.7	13.9	21.8		373	
8/27/1957	27.8	13.9	22.6		276	
8/28/1957	28.3	14.4	22.4		436	
8/29/1957	27.8	12.8	22.0		338	
8/30/1957	26.7	14.4	21.3		498	
8/31/1957	27.2	15.0	22.0		356	
9/1/1957	27.8	13.9	22.0		391	
9/2/1957	28.3	15.0	22.6		409	
9/3/1957	27.8	15.0	22.6		458	
