Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	26.1	19.4	23.3		267	
1/2/1957	27.2	18.9	24.1		365	
1/3/1957	25.0	18.3	22.2		240	
1/4/1957	23.9	18.3	21.7		320	
1/5/1957	23.3	20.0	21.3		124	
1/6/1957	24.4	18.3	22.4		204	
1/7/1957	26.1	18.9	23.1		187	
1/8/1957	23.9	19.4	21.8		338	
1/9/1957	26.1	20.0	23.1		196	
1/10/1957	25.6	19.4	23.4		187	
1/11/1957	25.6	18.3	22.6		222	
1/12/1957	23.9	18.9	21.3		187	
1/13/1957	26.1	19.4	23.8		169	
1/14/1957	25.0	20.6	23.6		164	
1/15/1957	25.6	20.0	23.7		276	
1/16/1957	26.7	20.0	24.3		169	
1/17/1957	23.3	21.1	22.3		302	
1/18/1957	22.2	20.0	21.6		258	
1/19/1957	25.6	18.3	22.7		133	
1/20/1957	26.1	20.6	24.3		231	
1/21/1957	26.1	19.4	23.3		302	
1/22/1957	27.2	19.4	24.0		187	
1/23/1957	26.1	18.9	22.4		169	
1/24/1957	26.7	20.0	23.4		187	
1/25/1957	23.3	20.6	21.7		285	
1/26/1957	26.1	18.9	23.8		249	
1/27/1957	24.4	18.9	22.3		124	
1/28/1957	25.0	18.9	22.1		267	
1/29/1957	26.1	20.0	23.3		169	
1/30/1957	22.8	18.9	21.1		80	
1/31/1957	25.0	20.0	22.8		169	
2/1/1957	23.3	18.9	21.6		27	
2/2/1957	25.6	19.4	23.0		204	
2/3/1957	25.6	19.4	22.8		240	
2/4/1957	23.9	18.9	21.4		213	
2/5/1957	25.6	18.9	22.6		196	
2/6/1957	25.0	21.7	23.2		124	
2/7/1957	25.6	20.0	22.4		27	
2/8/1957	23.9	22.8	23.5		27	
2/9/1957	23.9	20.6	21.8		116	
2/10/1957	25.0	18.9	22.8		133	
2/11/1957	26.1	20.6	23.7		249	
2/12/1957	25.6	20.6	23.5		62	
2/13/1957	25.6	20.6	23.6		231	
2/14/1957	26.1	21.7	24.7		124	
2/15/1957	27.2	20.6	25.0		267	
2/16/1957	26.7	22.2	24.6		240	
2/17/1957	27.2	21.1	24.8		124	
2/18/1957	26.1	21.1	24.6		204	
2/19/1957	26.7	20.0	24.2		311	
2/20/1957	27.2	20.6	24.1		302	
2/21/1957	25.6	20.0	22.9		142	
2/22/1957	26.1	20.0	23.8		240	
2/23/1957	26.7	21.7	24.1		445	
2/24/1957	25.0	20.0	22.5		289	
2/25/1957	25.6	20.0	22.9		356	
2/26/1957	26.7	20.6	24.6		222	
2/27/1957	27.8	21.1	25.0		204	
2/28/1957	24.4	19.4	21.7		258	
3/1/1957	22.8	18.9	20.2		204	
3/2/1957	26.7	18.9	23.3		178	
3/3/1957	26.1	21.1	23.6		156	
3/4/1957	22.2	18.9	20.2		178	
3/5/1957	23.9	18.9	21.8		107	
3/6/1957	25.6	20.6	23.3		107	
3/7/1957	26.7	20.0	23.9		178	
3/8/1957	26.7	21.1	24.6		116	
3/9/1957	27.8	20.0	24.2		298	
3/10/1957	27.2	21.7	24.3		124	
3/11/1957	25.0	18.9	21.8		373	
3/12/1957	26.1	19.4	23.2		316	
3/13/1957	26.7	20.0	24.2		267	
3/14/1957	27.8	21.1	25.0		231	
3/15/1957	26.7	20.0	24.0		267	
3/16/1957	27.2	18.9	23.1		347	
3/17/1957	27.2	19.4	24.6		280	
3/18/1957	26.7	20.0	23.6		338	
3/19/1957	30.0	20.0	25.9		293	
3/20/1957	27.8	19.4	24.8		356	
3/21/1957	25.0	20.6	22.3		227	
3/22/1957	25.0	19.4	22.3		240	
3/23/1957	23.9	20.0	21.8		187	
3/24/1957	25.6	20.6	23.2		133	
3/25/1957	26.7	18.9	23.4		151	
3/26/1957	22.2	18.9	20.1		116	
3/27/1957	24.4	18.9	21.6		71	
3/28/1957	26.1	19.4	23.2		62	
3/29/1957	25.6	18.9	22.9		44	
3/30/1957	27.2	18.9	24.0		267	
3/31/1957	25.6	19.4	23.2		196	
4/1/1957	25.0	18.9	22.6		160	
4/2/1957	25.6	18.9	23.8		267	
4/3/1957	26.7	19.4	24.4		231	
4/4/1957	27.2	20.6	24.3		133	
4/5/1957	25.0	19.4	22.8		240	
4/6/1957	26.1	18.9	23.4		178	
4/7/1957	26.7	18.9	23.6		240	
4/8/1957	27.2	20.6	25.3		373	
4/9/1957	26.7	21.1	23.4		196	
4/10/1957	26.7	18.9	23.4		187	
4/11/1957	23.3	20.6	21.8		178	
4/12/1957	25.0	19.4	22.9		169	
4/13/1957	25.6	20.0	23.3		160	
4/14/1957	26.1	19.4	23.7		267	
4/15/1957	27.8	19.4	24.6		276	
4/16/1957	25.6	21.1	23.8		160	
4/17/1957	26.1	20.0	23.3		196	
4/18/1957	27.2	20.0	24.6		249	
4/19/1957	26.1	20.0	23.4		213	
4/20/1957	25.6	19.4	22.3		107	
4/21/1957	24.4	20.0	22.7		276	
4/22/1957	25.0	20.6	22.2		160	
4/23/1957	23.9	18.3	21.1		169	
4/24/1957	26.7	18.9	23.9		178	
4/25/1957	26.1	20.0	23.9		213	
4/26/1957	26.1	20.0	23.1		178	
4/27/1957	27.2	20.0	24.3		204	
4/28/1957	26.7	20.6	23.8		160	
4/29/1957	28.9	20.0	25.3		293	
4/30/1957	26.7	20.0	24.6		285	
5/1/1957	25.0	21.1	23.7		222	
5/2/1957	26.7	19.4	24.4		169	
5/3/1957	26.7	20.0	24.4		391	
5/4/1957	26.7	19.4	24.0		222	
5/5/1957	28.3	20.0	24.3		409	
5/6/1957	25.6	18.9	23.3		196	
5/7/1957	23.3	19.4	21.2		365	
5/8/1957	23.9	19.4	21.7		365	
5/9/1957	23.9	19.4	21.6		164	
5/10/1957	27.8	19.4	23.8		329	
5/11/1957	26.1	19.4	24.2		276	
5/12/1957	27.8	20.0	24.6		178	
5/13/1957	26.7	21.1	24.2		249	
5/14/1957	27.2	19.4	24.4		222	
5/15/1957	27.2	20.0	24.2		276	
5/16/1957	27.8	20.0	25.1		347	
