Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	26.7	20.0	22.9		302	
1/2/1957	27.2	19.4	24.3		338	
1/3/1957	25.6	20.0	23.6		249	
1/4/1957	28.3	20.0	24.4		285	
1/5/1957	28.3	20.0	23.4		382	
1/6/1957	26.7	19.4	23.7		293	
1/7/1957	27.8	20.0	23.8		320	
1/8/1957	30.0	20.0	25.1		329	
1/9/1957	31.7	20.6	27.0		285	
1/10/1957	32.8	20.6	27.7		213	
1/11/1957	31.7	20.0	26.9		285	
1/12/1957	32.2	20.0	27.1		356	
1/13/1957	30.0	20.6	25.9		462	
1/14/1957	30.0	19.4	25.0		1067	
1/15/1957	29.4	20.0	25.3		489	
1/16/1957	30.6	19.4	25.0		356	
1/17/1957	31.7	20.6	26.8		387	
1/18/1957	32.2	19.4	27.0		329	
1/19/1957	32.8	20.6	27.0		382	
1/20/1957	35.0	20.0	28.0		400	
1/21/1957	32.8	20.0	27.2		231	
1/22/1957	33.3	20.6	27.4		62	
1/23/1957	31.7	18.9	27.2		116	
1/24/1957	28.9	19.4	24.0		133	
1/25/1957	26.7	20.0	23.4		169	
1/26/1957	27.8	19.4	23.2		151	
1/27/1957	28.3	20.6	24.9		471	
1/28/1957	30.6	19.4	25.2		356	
1/29/1957	24.4	18.3	21.2		62	
1/30/1957	27.2	18.9	22.3		44	
1/31/1957	27.8	17.2	22.1		89	
2/1/1957	28.9	20.6	24.7		169	
2/2/1957	26.1	18.3	22.4		138	
2/3/1957	28.3	19.4	24.8		124	
2/4/1957	27.8	20.6	23.8		187	
2/5/1957	24.4	17.2	20.0		53	
2/6/1957	26.7	20.0	23.0		329	
2/7/1957	28.3	19.4	24.4		702	
2/8/1957	28.9	19.4	24.7		516	
2/9/1957	26.7	19.4	23.7		258	
2/10/1957	27.8	20.0	24.3		311	
2/11/1957	30.0	18.9	26.3		124	
2/12/1957	31.1	20.0	26.2		480	
2/13/1957	31.1	19.4	25.4		489	
2/14/1957	30.6	18.9	25.6		445	
2/15/1957	30.6	17.8	24.9		480	
2/16/1957	32.2	20.6	27.1		333	
2/17/1957	30.6	18.9	25.4		498	
2/18/1957	30.6	18.9	25.2		293	
2/19/1957	29.4	18.9	24.6		560	
2/20/1957	27.2	18.9	23.6		356	
2/21/1957	29.4	17.2	23.9		338	
2/22/1957	29.4	17.8	24.4		267	
2/23/1957	29.4	17.8	24.2		396	
2/24/1957	28.3	18.9	24.7		316	
2/25/1957	29.4	18.3	24.8		267	
2/26/1957	30.0	18.9	25.1		169	
2/27/1957	28.9	18.9	22.8		93	
2/28/1957	28.3	19.4	24.4		213	
3/1/1957	28.9	18.9	24.1		187	
3/2/1957	25.6	19.4	22.9		231	
3/3/1957	26.7	19.4	22.9		471	
3/4/1957	26.7	19.4	22.8		427	
3/5/1957	25.6	19.4	22.6		213	
3/6/1957	28.9	20.0	25.0		258	
3/7/1957	30.0	17.8	25.1		271	
3/8/1957	30.0	17.2	24.4		222	
3/9/1957	29.4	18.3	24.1		169	
3/10/1957	26.7	20.6	22.9		116	
3/11/1957	28.9	18.9	24.3		116	
3/12/1957	29.4	19.4	25.4		147	
3/13/1957	31.7	20.0	26.3		418	
3/14/1957	31.7	21.1	27.1		462	
3/15/1957	29.4	20.6	26.3		316	
3/16/1957	30.6	21.1	26.6		365	
3/17/1957	30.6	20.6	26.2		498	
