Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	23.3	13.3	18.2		418	
1/2/1957	24.4	13.3	19.8		222	
1/3/1957	24.4	15.6	19.4		347	
1/4/1957	23.9	14.4	19.0		178	
1/5/1957	22.2	13.9	18.6		71	
1/6/1957	25.0	13.9	19.8		178	
1/7/1957	22.2	13.9	17.8		133	
1/8/1957	21.7	14.4	18.4		107	
1/9/1957	21.7	15.0	17.4		142	
1/10/1957	22.2	14.4	17.9		285	
1/11/1957	21.7	13.9	17.9		80	
1/12/1957	21.1	15.6	18.4		240	
1/13/1957	23.3	14.4	19.0		249	
1/14/1957	21.7	16.1	19.2		498	
1/15/1957	21.7	15.6	17.9		142	
1/16/1957	22.8	15.6	20.2		151	
1/17/1957	22.8	15.0	20.1		311	
1/18/1957	21.7	13.9	19.8		71	
1/19/1957	23.3	15.0	18.4		89	
1/20/1957	18.9	14.4	17.3		18	
1/21/1957	21.1	14.4	18.6		107	
1/22/1957	20.6	15.0	18.4		76	
1/23/1957	19.4	15.0	17.1		80	
1/24/1957	22.2	15.0	19.3		187	
1/25/1957	20.0	13.9	17.1		151	
1/26/1957	23.3	14.4	19.0		249	
1/27/1957	20.6	15.0	17.9		71	
1/28/1957	21.7	13.9	17.1		80	
1/29/1957	20.0	15.0	17.6		142	
1/30/1957	16.1	14.4	15.4		98	
1/31/1957	20.6	14.4	17.3		62	
2/1/1957	16.7	15.0	15.7		178	
2/2/1957	20.6	14.4	17.0		133	
2/3/1957	18.9	14.4	16.6		258	
2/4/1957	17.2	14.4	15.9		62	
2/5/1957	17.8	14.4	16.0		222	
2/6/1957	21.1	15.0	18.2		89	
2/7/1957	18.9	14.4	16.8		142	
2/8/1957	18.9	15.0	16.3		62	
2/9/1957	20.6	14.4	17.9		44	
2/10/1957	20.6	13.9	17.6		151	
2/11/1957	20.6	13.9	17.2		116	
2/12/1957	20.6	15.6	17.3		160	
2/13/1957	21.7	14.4	18.1		222	
2/14/1957	21.1	15.6	18.2		53	
2/15/1957	23.9	19.4	21.3		311	
2/16/1957	22.8	14.4	19.1		18	
2/17/1957	22.2	14.4	19.1		36	
2/18/1957	23.9	15.6	19.6		222	
2/19/1957	21.7	15.0	18.6		53	
2/20/1957	20.0	15.6	17.4		373	
2/21/1957	17.8	15.6	16.9		89	
2/22/1957	19.4	15.0	17.3		249	
2/23/1957	21.1	14.4	18.1		258	
2/24/1957	22.2	12.8	18.6		285	
2/25/1957	21.7	17.8	20.1		276	
2/26/1957	22.8	17.2	18.8		169	
2/27/1957	23.3	12.8	18.7		133	
2/28/1957	22.2	12.2	18.7		293	
3/1/1957	21.1	13.3	17.1		36	
3/2/1957	21.7	14.4	17.7		267	
3/3/1957	22.2	14.4	18.0		80	
3/4/1957	20.0	14.4	18.0		311	
3/5/1957	21.7	15.6	17.2		169	
3/6/1957	22.2	12.8	19.2		213	
3/7/1957	22.8	12.8	19.0		231	
3/8/1957	23.9	12.2	20.3		151	
3/9/1957	24.4	11.7	20.0		222	
3/10/1957	24.4	11.7	19.8		222	
3/11/1957	22.8	15.0	19.6		142	
3/12/1957	22.8	15.0	18.1		196	
3/13/1957	23.9	14.4	20.3		18	
3/14/1957	21.1	14.4	19.1		240	
3/15/1957	23.9	15.0	19.4		187	
3/16/1957	22.8	14.4	19.6		62	
