Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	31.7	22.2	27.6		169	
1/2/1957	31.7	20.6	27.3		116	
1/3/1957	30.6	21.1	26.1		133	
1/4/1957	31.7	21.1	26.7		204	
1/5/1957	28.9	20.0	25.1		89	
1/6/1957	28.9	21.7	25.2		31	
1/7/1957	30.6	21.1	27.1		44	
1/8/1957	32.2	22.2	27.8		151	
1/9/1957	31.1	23.3	27.8		151	
1/10/1957	28.9	22.2	26.2		124	
1/11/1957	27.8	22.8	25.4		71	
1/12/1957	28.3	22.2	25.6		98	
1/13/1957	28.3	21.7	25.4		44	
1/14/1957	30.6	22.8	27.1		373	
1/15/1957	30.0	22.8	27.0		276	
1/16/1957	31.7	22.8	27.3		356	
1/17/1957	32.2	21.7	27.7		267	
1/18/1957	32.2	22.2	27.7		116	
1/19/1957	31.1	22.2	26.5		116	
1/20/1957	33.3	22.8	28.1		31	
1/21/1957	31.1	22.8	26.6		31	
1/22/1957	31.7	22.8	25.3		44	
1/23/1957	31.1	21.1	26.1		76	
1/24/1957	26.7	21.7	23.9		76	
1/25/1957	29.4	20.6	25.3		76	
1/26/1957	29.4	20.6	25.3		76	
1/27/1957	30.0	23.3	26.7		124	
1/28/1957	26.7	22.2	24.7		27	
1/29/1957	27.2	21.1	24.2		44	
1/30/1957	28.9	21.7	25.8		196	
1/31/1957	27.2	22.2	24.8		196	
2/1/1957	30.0	20.0	25.2		196	
2/2/1957	25.6	20.6	22.1		89	
2/3/1957	30.6	22.8	27.0		320	
2/4/1957	29.4	22.8	25.7		71	
2/5/1957	27.2	22.2	24.8		27	
2/6/1957	28.3	22.2	24.8		27	
2/7/1957	29.4	21.7	25.0		27	
2/8/1957	29.4	22.8	26.6		107	
2/9/1957	28.9	22.2	25.7		89	
2/10/1957	30.6	21.7	25.8		76	
2/11/1957	30.6	21.1	25.4		116	
2/12/1957	30.6	21.7	26.6		196	
2/13/1957	29.4	22.2	26.3		160	
2/14/1957	29.4	21.1	26.1		133	
2/15/1957	30.0	21.1	25.8		133	
2/16/1957	31.7	21.7	26.8		89	
2/17/1957	28.9	22.2	25.3		142	
2/18/1957	28.9	22.2	25.1		98	
