Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	26.1	17.8	22.8		302	
1/2/1957	27.8	20.0	24.6		445	
1/3/1957	25.6	20.0	23.1		249	
1/4/1957	27.2	20.0	24.3		542	
1/5/1957	23.9	20.0	21.8		565	
1/6/1957	25.6	19.4	22.7		565	
1/7/1957	25.6	20.0	23.1		276	
1/8/1957	25.6	18.3	22.7		293	
1/9/1957	23.3	18.3	21.6		213	
1/10/1957	24.4	19.4	22.6		231	
1/11/1957	25.0	17.8	21.3		187	
1/12/1957	22.2	17.2	20.3		178	
1/13/1957	25.0	18.3	22.3		222	
1/14/1957	27.2	19.4	24.1		542	
1/15/1957	26.7	18.9	23.9		462	
1/16/1957	28.3	19.4	25.1		351	
1/17/1957	27.8	20.0	24.4		293	
1/18/1957	28.3	22.8	25.3		365	
1/19/1957	27.8	19.4	23.9		462	
1/20/1957	25.0	18.9	22.4		271	
1/21/1957	26.1	21.1	23.7		480	
1/22/1957	23.9	17.2	20.9		516	
1/23/1957	26.1	17.8	22.6		427	
1/24/1957	25.0	19.4	22.4		213	
1/25/1957	25.6	17.8	22.3		347	
1/26/1957	25.6	18.3	22.6		436	
1/27/1957	27.2	19.4	22.8		249	
1/28/1957	23.3	18.9	21.1		222	
1/29/1957	21.7	17.8	19.7		262	
1/30/1957	26.7	18.3	23.1		484	
1/31/1957	22.8	18.9	20.9		520	
2/1/1957	23.9	20.6	22.3		462	
2/2/1957	21.7	16.1	18.0		285	
2/3/1957	23.9	16.1	21.3		196	
2/4/1957	24.4	18.3	21.6		436	
2/5/1957	24.4	18.9	21.8		298	
2/6/1957	25.0	17.8	22.3		516	
2/7/1957	25.0	19.4	22.6		213	
2/8/1957	27.2	18.3	23.3		382	
2/9/1957	20.0	17.8	19.0		400	
2/10/1957	22.2	18.3	20.6		267	
2/11/1957	25.6	17.2	22.7		240	
2/12/1957	27.8	19.4	24.0		542	
2/13/1957	25.6	20.0	23.4		387	
2/14/1957	27.2	18.3	23.9		436	
2/15/1957	28.9	18.9	24.7		516	
2/16/1957	27.2	19.4	24.9		320	
2/17/1957	26.7	20.6	24.7		436	
2/18/1957	27.2	19.4	23.1		249	
2/19/1957	30.0	19.4	24.8		373	
2/20/1957	25.6	21.1	23.6		516	
2/21/1957	25.0	19.4	22.9		356	
2/22/1957	26.1	20.0	24.3		320	
2/23/1957	27.2	20.0	24.3		391	
2/24/1957	28.3	19.4	24.3		640	
2/25/1957	29.4	17.8	24.4		622	
2/26/1957	30.6	18.3	25.0		587	
2/27/1957	27.8	20.0	25.0		569	
2/28/1957	24.4	20.6	22.8		302	
3/1/1957	22.8	18.3	20.8		418	
3/2/1957	27.2	17.2	23.2		400	
3/3/1957	26.7	18.9	23.2		489	
3/4/1957	23.9	17.8	21.1		453	
3/5/1957	20.6	18.9	19.7		276	
3/6/1957	26.1	18.9	22.3		289	
3/7/1957	26.1	18.3	23.0		373	
3/8/1957	26.7	18.9	24.2		293	
3/9/1957	25.6	20.0	22.9		240	
3/10/1957	27.2	19.4	23.8		293	
3/11/1957	20.6	17.8	18.6		231	
3/12/1957	24.4	18.3	22.3		391	
3/13/1957	25.6	17.8	23.2		276	
3/14/1957	27.2	20.0	24.1		373	
3/15/1957	27.8	18.3	23.6		342	
3/16/1957	26.1	18.9	24.0		311	
3/17/1957	27.8	19.4	24.8		365	
3/18/1957	28.9	19.4	25.0		365	
3/19/1957	28.9	19.4	24.6		365	
3/20/1957	29.4	20.0	25.2		462	
3/21/1957	27.8	20.0	24.9		427	
3/22/1957	26.7	20.6	24.1		533	
3/23/1957	25.6	19.4	21.9		387	
3/24/1957	23.9	20.0	21.9		418	
3/25/1957	26.7	18.3	23.4		320	
3/26/1957	22.8	20.0	21.7		507	
3/27/1957	23.3	18.9	21.2		347	
3/28/1957	23.9	17.8	22.1		178	
3/29/1957	23.3	21.1	22.2		151	
3/30/1957	27.2	18.3	23.1		231	
3/31/1957	24.4	19.4	22.2		524	
4/1/1957	22.2	19.4	21.1		338	
4/2/1957	23.3	18.3	20.8		218	
4/3/1957	25.6	18.3	22.6		196	
4/4/1957	26.1	19.4	23.2		169	
4/5/1957	23.9	20.6	21.8		285	
4/6/1957	25.6	19.4	23.7		258	
4/7/1957	26.7	19.4	23.0		445	
4/8/1957	27.2	20.6	24.6		262	
4/9/1957	24.4	20.6	22.9		160	
4/10/1957	25.0	20.6	23.3		276	
4/11/1957	27.8	21.1	24.2		493	
4/12/1957	25.0	17.8	21.3		302	
4/13/1957	25.0	18.9	21.4		293	
4/14/1957	25.6	17.2	21.6		400	
4/15/1957	26.1	22.8	25.0		320	
4/16/1957	25.6	18.9	22.6		116	
4/17/1957	25.6	19.4	22.4		427	
4/18/1957	26.1	18.9	23.1		418	
4/19/1957	26.1	18.9	23.8		351	
4/20/1957	22.2	19.4	20.6		244	
4/21/1957	23.9	18.9	21.6		338	
4/22/1957	23.9	18.3	21.2		213	
4/23/1957	26.1	19.4	23.0		365	
4/24/1957	25.6	18.3	23.0		289	
4/25/1957	24.4	18.9	22.8		227	
4/26/1957	25.6	19.4	23.3		351	
4/27/1957	26.7	18.9	23.4		240	
4/28/1957	26.1	20.0	24.0		276	
4/29/1957	26.1	17.8	23.4		471	
4/30/1957	26.7	21.7	25.0		453	
5/1/1957	26.1	19.4	22.4		409	
