Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1991	21.0	12.7	18.2		178	
1/2/1991	21.0	12.7	18.2		178	
1/3/1991	22.5	12.0	17.1	0.8890	89	
1/4/1991	22.5	12.0	17.1		89	
1/5/1991	22.5	12.0	17.1		89	
1/6/1991	22.5	12.0	17.1		89	
1/7/1991	22.5	12.0	17.1		89	
1/8/1991	22.5	12.0	17.1		89	
1/9/1991	22.7	15.1	17.2		89	
1/10/1991	22.7	15.1	17.2		89	
1/11/1991	23.2	14.2	18.9	0.2032	31	
1/12/1991	22.5	16.3	19.3	0	324	
1/13/1991	22.5	16.3	19.3		324	
1/14/1991	22.5	16.3	19.3		324	
1/15/1991	22.5	16.3	19.3		324	
1/16/1991	22.5	16.3	19.3		324	
1/17/1991	22.5	16.3	19.3		324	
1/18/1991	22.5	16.3	19.3		324	
1/19/1991	19.0	14.0	18.0		164	
1/20/1991	19.0	14.0	18.0		164	
1/21/1991	19.0	14.0	18.0		164	
1/22/1991	19.0	14.0	18.0		164	
1/23/1991	19.0	14.0	18.0		164	
1/24/1991	21.8	18.5	20.0	0.2032	58	
1/25/1991	22.2	15.9	17.8	0	58	
1/26/1991	22.2	15.9	17.8		58	
1/27/1991	22.2	15.9	17.8		58	
1/28/1991	22.2	15.9	17.8		58	
1/29/1991	21.0	14.6	19.0	0.7874	76	
1/30/1991	21.0	14.6	19.0		76	
1/31/1991	21.0	14.6	19.0		76	
2/1/1991	21.0	14.6	19.0		76	
2/2/1991	21.0	14.6	19.0		76	
2/3/1991	21.0	14.6	19.0		76	
2/4/1991	23.5	13.0	19.4	4.4958	187	
2/5/1991	22.5	13.9	18.7	0	142	
2/6/1991	22.5	13.9	18.7		142	
2/7/1991	22.5	13.9	18.7		142	
2/8/1991	21.3	13.5	17.4	1.0922	44	
2/9/1991	21.3	13.5	17.4		44	
2/10/1991	21.3	13.5	17.4		44	
2/11/1991	21.3	13.5	17.4		44	
2/12/1991	23.2	13.0	20.2	0	111	
2/13/1991	23.2	13.0	20.2		111	
2/14/1991	23.2	13.0	20.2		111	
2/15/1991	23.2	13.0	20.2		111	
2/16/1991	23.2	13.0	20.2		111	
2/17/1991	21.3	14.4	17.0	1.1938	111	
2/18/1991	21.3	14.4	17.0		111	
2/19/1991	24.8	13.2	20.2		111	
2/20/1991	22.6	15.0	19.5		111	
2/21/1991	22.6	15.0	19.5		111	
2/22/1991	22.6	15.0	19.5		111	
2/23/1991	22.6	15.0	19.5		111	
2/24/1991	22.6	15.0	19.5		111	
2/25/1991	22.6	15.0	19.5		111	
2/26/1991	24.0	13.8	20.6		98	
2/27/1991	23.9	13.8	19.7		173	
2/28/1991	23.8	13.8	19.7		187	
3/1/1991	23.9	13.8	19.8		197	
3/2/1991	24.0	13.8	19.9		205	
3/3/1991	24.0	13.9	20.1		211	
3/4/1991	24.0	14.0	20.2		212	
3/5/1991	24.1	14.1	20.2		222	
3/6/1991	24.1	14.2	20.2		228	
3/7/1991	23.9	14.2	20.2		233	
3/8/1991	24.1	14.2	20.3		240	
3/9/1991	24.1	14.2	20.3		230	
3/10/1991	24.2	14.3	20.2		219	
3/11/1991	24.1	14.3	20.1		205	
3/12/1991	24.0	14.2	20.0		201	
3/13/1991	24.0	14.2	19.9		199	
3/14/1991	24.0	14.1	19.9		199	
3/15/1991	23.5	13.0	19.9		267	
3/16/1991	23.5	13.0	19.9		267	
3/17/1991	23.5	13.0	19.9		267	
3/18/1991	23.5	13.0	19.9		267	
3/19/1991	23.5	13.0	19.9		267	
3/20/1991	24.0	12.5	19.8	0	333	
3/21/1991	24.0	12.5	19.8		333	
3/22/1991	24.0	12.5	19.8		333	
3/23/1991	24.0	12.5	19.8		333	
3/24/1991	24.0	12.5	19.8		333	
3/25/1991	24.0	12.5	19.8		333	
3/26/1991	24.0	12.5	19.8		333	
3/27/1991	20.5	14.1	18.4	0.7874	276	
3/28/1991	20.5	14.1	18.4		276	
3/29/1991	20.4	15.8	18.3	0.2032	231	
3/30/1991	20.4	15.8	18.3		231	
3/31/1991	21.2	14.4	18.4	1.3970	71	
4/1/1991	21.2	14.4	18.4		71	
4/2/1991	21.2	14.4	18.4		71	
4/3/1991	21.2	14.4	18.4		71	
4/4/1991	22.6	15.0	19.8	0.5080	293	
4/5/1991	21.7	14.4	18.8	0	222	
4/6/1991	21.7	14.4	18.8		222	
4/7/1991	21.7	14.4	18.8		222	
4/8/1991	23.4	17.0	21.1		542	
4/9/1991	19.7	14.5	18.3	0.9906	609	
4/10/1991	21.5	13.7	19.1	0	498	
4/11/1991	21.5	13.7	19.1		498	
4/12/1991	21.5	13.7	19.1		498	
4/13/1991	21.5	13.7	19.1		498	
4/14/1991	23.0	14.8	19.7	0.4064	524	
4/15/1991	23.0	14.8	19.7		524	
4/16/1991	22.0	15.0	18.2		396	
4/17/1991	28.0	15.1	20.4		178	
4/18/1991	19.2	14.0	16.4	2.0066	58	
4/19/1991	22.7	14.5	19.7	0.3048	489	
4/20/1991	22.7	14.5	19.7		489	
4/21/1991	22.7	14.5	19.7		489	
4/22/1991	22.4	13.2	18.4	1.2954	156	
4/23/1991	22.4	13.2	18.4		395	
4/24/1991	22.4	13.2	18.4		402	
4/25/1991	22.4	13.2	18.4		404	
4/26/1991	22.4	13.2	18.4		392	
4/27/1991	22.4	13.2	18.4		377	
4/28/1991	24.0	12.0	19.4		360	
4/29/1991	24.0	12.0	19.4		341	
4/30/1991	24.0	12.0	19.4		326	
5/1/1991	24.0	12.0	19.4		307	
5/2/1991	24.0	12.0	19.4		300	
5/3/1991	24.0	12.0	19.4		299	
5/4/1991	24.0	12.0	19.4		290	
5/5/1991	24.0	12.0	19.4		303	
5/6/1991	24.0	12.0	19.4		316	
5/7/1991	24.0	12.0	19.4		326	
5/8/1991	23.1	12.0	19.0		431	
5/9/1991	23.8	11.8	19.6		343	
5/10/1991	23.8	11.7	19.6		354	
5/11/1991	23.9	11.7	19.6		347	
5/12/1991	23.8	11.6	19.5		336	
5/13/1991	24.1	11.6	19.5		334	
5/14/1991	23.8	11.6	19.4		322	
5/15/1991	23.7	11.8	19.2		316	
5/16/1991	23.7	11.8	19.1		314	
5/17/1991	23.7	11.7	18.9		299	
5/18/1991	23.6	11.6	18.8		301	
5/19/1991	23.6	11.7	18.7		297	
5/20/1991	22.7	13.0	20.3		431	
5/21/1991	22.7	13.0	20.3		431	
5/22/1991	24.8	11.8	19.5		489	
5/23/1991	24.8	11.8	19.5		489	
5/24/1991	24.8	11.8	19.5		489	
5/25/1991	24.8	11.8	19.5		489	
5/26/1991	25.0	10.4	21.2	0	489	
5/27/1991	25.0	10.4	21.2		489	
5/28/1991	24.9	12.4	18.9		427	
5/29/1991	24.9	12.4	18.9		427	
5/30/1991	24.9	12.4	18.9		427	
5/31/1991	24.8	12.2	20.3		311	
6/1/1991	24.4	10.0	19.1		164	
6/2/1991	24.4	10.0	19.1		164	
6/3/1991	24.4	10.0	19.1		164	
6/4/1991	24.4	10.0	19.1		164	
6/5/1991	24.4	10.0	19.1		164	
6/6/1991	25.2	10.2	20.6		302	
6/7/1991	23.8	9.6	18.1		260	
6/8/1991	23.8	9.7	18.2		265	
6/9/1991	23.7	9.7	18.1		276	
6/10/1991	23.7	9.6	17.8		278	
6/11/1991	23.5	9.2	17.7		271	
6/12/1991	23.4	9.1	17.5		267	
6/13/1991	23.4	9.1	17.5		263	
6/14/1991	23.5	9.0	17.6		259	
6/15/1991	23.5	8.8	17.6		260	
6/16/1991	23.4	8.8	17.7		262	
6/17/1991	23.4	8.6	17.6		265	
6/18/1991	23.4	8.5	17.7		259	
6/19/1991	23.0	9.3	17.4		236	
6/20/1991	23.0	9.3	17.4		236	
6/21/1991	23.0	9.3	17.4		236	
6/22/1991	23.0	9.3	17.4		236	
6/23/1991	23.0	9.3	17.4		236	
6/24/1991	23.0	9.3	17.4		236	
6/25/1991	24.7	7.2	21.1		431	
6/26/1991	24.7	7.2	21.1		431	
6/27/1991	22.7	8.6	16.2		289	
6/28/1991	22.3	7.7	16.1		356	
6/29/1991	24.5	7.0	20.1		431	
6/30/1991	24.0	6.0	16.2		449	
7/1/1991	24.0	6.0	16.2		449	
7/2/1991	23.0	6.0	18.5		449	
7/3/1991	23.0	6.0	18.5		449	
7/4/1991	23.0	6.0	18.5		449	
7/5/1991	23.0	6.0	18.5		449	
7/6/1991	23.0	6.0	18.5		449	
