Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	22.2	18.9	20.9		196	
1/2/1957	25.6	18.3	22.9		169	
1/3/1957	26.1	18.9	22.9		338	
1/4/1957	22.2	19.4	20.4		133	
1/5/1957	23.9	18.9	21.0		222	
1/6/1957	25.0	16.7	21.9		124	
1/7/1957	25.6	18.9	22.1		142	
1/8/1957	29.4	18.3	24.1		204	
1/9/1957	27.2	18.9	22.6		249	
1/10/1957	26.1	18.3	22.7		262	
1/11/1957	25.6	17.8	22.2		418	
1/12/1957	23.3	18.9	21.4		151	
1/13/1957	26.1	17.2	21.0		71	
1/14/1957	25.0	18.9	22.6		71	
1/15/1957	24.4	18.3	21.3		302	
1/16/1957	27.2	18.3	23.1		249	
1/17/1957	27.8	19.4	24.1		267	
1/18/1957	26.1	19.4	23.3		293	
1/19/1957	26.7	18.9	22.7		142	
1/20/1957	25.0	17.8	21.3		204	
1/21/1957	26.1	18.3	23.3		116	
1/22/1957	25.0	18.9	22.8		338	
1/23/1957	26.1	18.3	21.4		151	
1/24/1957	23.9	18.3	21.3		133	
1/25/1957	23.9	17.8	20.8		133	
1/26/1957	26.7	18.3	22.6		187	
1/27/1957	27.8	18.9	22.4		293	
1/28/1957	25.6	17.2	21.1		196	
1/29/1957	25.6	18.3	21.9		178	
1/30/1957	23.3	18.3	20.8		209	
1/31/1957	25.0	17.8	21.6		285	
2/1/1957	22.2	18.9	20.0		107	
2/2/1957	25.6	18.3	22.3		462	
2/3/1957	26.1	18.3	22.8		285	
2/4/1957	26.1	17.8	22.2		80	
2/5/1957	25.6	17.8	22.6		427	
2/6/1957	25.6	18.9	23.1		196	
2/7/1957	25.0	18.9	22.3		276	
2/8/1957	26.1	18.9	21.3		107	
2/9/1957	23.9	18.9	21.7		107	
2/10/1957	24.4	18.9	21.9		133	
2/11/1957	26.7	18.9	23.2		151	
2/12/1957	26.7	18.9	23.2		160	
2/13/1957	26.7	18.3	23.6		133	
2/14/1957	26.7	20.6	22.6		169	
2/15/1957	27.2	18.3	21.7		160	
