Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	WindSp (km/day)	
2/7/1958	30.0	22.2	26.2	18	
2/8/1958	33.9	22.2	27.2	116	
2/9/1958	31.7	22.2	26.8	89	
2/10/1958	32.8	22.8	27.0	62	
2/11/1958	30.0	21.1	25.2	71	
2/12/1958	28.3	20.6	24.4	107	
2/13/1958	29.4	21.7	25.3	133	
2/14/1958	31.1	22.8	26.6	44	
2/15/1958	32.2	21.1	27.2	196	
2/16/1958	26.7	21.1	23.8	293	
2/17/1958	33.3	20.0	27.0	71	
2/18/1958	28.3	22.2	24.9	187	
2/19/1958	31.7	21.1	27.0	116	
2/20/1958	33.3	21.7	28.8	196	
2/21/1958	33.3	22.2	28.6	71	
2/22/1958	33.3	22.8	28.6	98	
2/23/1958	33.9	22.8	28.7	204	
2/24/1958	35.0	22.2	29.7	231	
2/25/1958	33.9	20.6	27.9	142	
2/26/1958	33.9	22.8	28.7	36	
2/27/1958	33.9	18.9	27.4	151	
2/28/1958	33.9	22.8	28.4	133	
3/1/1958	33.9	22.8	28.4	178	
3/2/1958	32.8	22.8	28.3	178	
3/3/1958	35.6	19.4	29.3	196	
3/4/1958	34.4	22.8	28.9	240	
3/5/1958	35.0	22.2	29.1	231	
3/6/1958	33.3	22.2	28.8	213	
3/7/1958	35.0	22.8	30.0	160	
3/8/1958	32.8	22.2	27.4	62	
3/9/1958	35.0	20.6	29.2	169	
3/10/1958	33.9	22.8	28.1	116	
3/11/1958	32.2	20.6	28.0	107	
3/12/1958	33.9	22.2	28.2	80	
3/13/1958	33.9	22.2	29.2	169	
3/14/1958	33.3	22.2	29.4	133	
3/15/1958	32.2	23.3	27.3	160	
3/16/1958	32.8	22.2	25.2	133	
3/17/1958	30.0	21.7	26.6	169	
3/18/1958	26.7	20.6	22.6	124	
3/19/1958	30.6	21.1	25.7	89	
3/20/1958	29.4	21.7	24.0	187	
3/21/1958	31.7	21.1	25.6	151	
3/22/1958	27.2	21.7	23.9	62	
3/23/1958	31.7	21.1	26.9	133	
3/24/1958	31.1	22.8	27.1	89	
3/25/1958	31.7	23.3	27.7	89	
3/26/1958	30.6	22.2	27.4	124	
3/27/1958	30.6	21.1	27.2	98	
3/28/1958	30.6	21.7	27.0	133	
3/29/1958	30.6	22.2	26.7	124	
3/30/1958	31.1	22.2	26.9	107	
3/31/1958	31.7	20.6	26.4	124	
4/1/1958	31.1	18.9	26.2	71	
4/2/1958	31.7	21.1	27.4	116	
4/3/1958	29.4	21.1	26.4	124	
4/4/1958	30.0	21.1	25.9	142	
4/5/1958	31.1	21.7	27.3	218	
4/6/1958	31.7	23.3	27.8	267	
4/7/1958	32.8	21.1	28.0	160	
4/8/1958	32.8	21.1	27.4	133	
4/9/1958	31.7	22.8	27.4	169	
4/10/1958	32.8	19.4	26.9	133	
4/11/1958	31.7	21.1	27.7	98	
4/12/1958	32.2	18.3	26.9	187	
4/13/1958	32.2	19.4	27.4	213	
4/14/1958	25.0	20.6	22.7	53	
4/15/1958	30.6	20.6	26.3	53	
4/16/1958	30.6	22.2	26.7	62	
4/17/1958	29.4	21.1	26.6	98	
4/18/1958	31.7	19.4	26.6	53	
4/19/1958	31.7	22.2	27.3	98	
4/20/1958	31.7	22.8	27.7	169	
4/21/1958	32.2	22.2	27.9	196	
4/22/1958	30.6	21.1	27.1	142	
4/23/1958	29.4	21.7	26.9	169	
4/24/1958	26.7	22.8	24.1	53	
4/25/1958	30.6	23.3	27.1	89	
4/26/1958	30.6	22.8	27.3	151	
4/27/1958	28.9	22.8	26.0	240	
4/28/1958	28.9	21.7	24.9	71	
4/29/1958	28.9	22.2	25.1	178	
4/30/1958	30.6	21.7	26.4	142	
5/1/1958	28.9	21.7	26.2	267	
5/2/1958	26.7	21.1	23.7	98	
5/3/1958	26.1	21.7	24.0	151	
5/4/1958	26.7	21.1	23.9	142	
5/5/1958	30.0	20.6	26.1	160	
5/6/1958	31.1	20.0	25.8	142	
5/7/1958	27.2	21.7	25.0	116	
5/8/1958	27.2	20.6	24.7	178	
5/9/1958	29.4	20.6	26.3	178	
