Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	32.2	23.3	29.1		302	
1/2/1957	32.2	23.9	29.0		302	
1/3/1957	31.7	24.4	28.4		285	
1/4/1957	32.2	23.9	29.0		356	
1/5/1957	31.7	23.9	28.2		280	
1/6/1957	29.4	22.8	26.1		71	
1/7/1957	30.6	23.3	27.2		302	
1/8/1957	31.7	22.8	27.8		311	
1/9/1957	31.1	24.4	28.8		365	
1/10/1957	32.8	23.3	28.6		382	
1/11/1957	31.1	23.9	28.0		316	
1/12/1957	32.2	23.9	28.3		542	
1/13/1957	30.0	23.3	27.8		493	
1/14/1957	31.7	24.4	28.4		684	
1/15/1957	30.6	24.4	28.0		449	
1/16/1957	32.2	23.3	28.3		391	
1/17/1957	32.2	23.3	28.6		373	
1/18/1957	32.2	23.9	28.6		329	
1/19/1957	30.6	23.3	28.1		462	
1/20/1957	31.7	22.8	28.2		427	
1/21/1957	31.7	25.0	28.7		347	
1/22/1957	32.8	23.3	28.8		267	
1/23/1957	32.2	23.3	28.8		329	
1/24/1957	30.6	22.8	26.2		142	
1/25/1957	30.6	24.4	28.0		302	
1/26/1957	31.1	23.3	27.9		240	
1/27/1957	30.6	23.9	28.2		427	
1/28/1957	30.6	24.4	27.2		289	
1/29/1957	26.7	22.2	24.1		289	
1/30/1957	30.0	23.9	27.3		387	
1/31/1957	30.6	24.4	27.4		142	
2/1/1957	29.4	24.4	27.7		365	
2/2/1957	29.4	23.3	27.0		213	
2/3/1957	30.0	23.9	27.6		440	
2/4/1957	28.9	25.0	26.9		222	
2/5/1957	28.9	22.8	26.1		240	
2/6/1957	28.9	24.4	26.8		462	
2/7/1957	30.0	23.9	27.3		462	
2/8/1957	29.4	23.9	27.3		418	
2/9/1957	28.3	24.4	26.8		347	
2/10/1957	30.0	22.8	27.3		400	
2/11/1957	29.4	22.2	26.8		436	
2/12/1957	30.0	23.3	27.3		551	
2/13/1957	28.9	22.8	26.7		489	
2/14/1957	30.0	22.8	26.7		578	
2/15/1957	29.4	22.2	27.0		498	
2/16/1957	28.9	23.3	27.0		449	
