Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	30.0	23.3	27.8		222	
1/2/1957	30.0	23.3	27.3		196	
1/3/1957	28.9	23.3	27.4		213	
1/4/1957	29.4	22.2	27.3		258	
1/5/1957	27.8	24.4	26.1		222	
1/6/1957	28.3	23.9	26.1		213	
1/7/1957	28.3	23.9	27.0		178	
1/8/1957	28.9	23.3	27.4		231	
1/9/1957	32.2	23.3	28.4		213	
1/10/1957	33.3	25.0	28.8		373	
1/11/1957	28.3	25.6	27.2		133	
1/12/1957	31.1	24.4	28.6		365	
1/13/1957	30.6	24.4	28.0		462	
1/14/1957	30.0	26.1	28.2		462	
1/15/1957	29.4	25.0	27.9		347	
1/16/1957	31.1	23.9	28.3		316	
1/17/1957	30.0	23.3	27.9		258	
1/18/1957	29.4	22.8	27.3		258	
1/19/1957	30.6	23.9	28.2		373	
1/20/1957	31.7	24.4	28.4		276	
1/21/1957	32.2	23.9	28.7		311	
1/22/1957	33.3	23.3	28.3		400	
1/23/1957	33.3	22.8	28.7		187	
1/24/1957	28.9	23.3	25.4		302	
1/25/1957	30.0	23.9	27.8		213	
1/26/1957	31.1	23.3	26.7		427	
1/27/1957	31.7	25.6	28.6		498	
1/28/1957	31.1	23.3	27.0		222	
1/29/1957	27.2	22.8	25.4		169	
1/30/1957	29.4	24.4	26.9		347	
1/31/1957	26.7	23.9	25.6		89	
2/1/1957	28.9	23.9	27.4		249	
2/2/1957	28.3	22.8	25.3		285	
2/3/1957	31.1	25.6	28.7		489	
2/4/1957	28.3	21.7	24.9		249	
2/5/1957	26.7	22.8	24.8		320	
2/6/1957	28.9	25.6	27.3		347	
2/7/1957	30.6	24.4	28.0		551	
2/8/1957	30.6	25.0	28.0		365	
2/9/1957	30.0	24.4	27.6		436	
2/10/1957	30.0	24.4	27.6		458	
2/11/1957	31.1	23.3	27.6		316	
2/12/1957	30.0	23.9	27.6		427	
2/13/1957	30.0	23.3	27.6		418	
2/14/1957	30.6	23.3	27.3		373	
2/15/1957	30.6	21.7	27.3		356	
2/16/1957	30.0	23.3	27.4		249	
2/17/1957	30.0	23.3	27.2		347	
2/18/1957	29.4	23.9	27.6		249	
2/19/1957	30.0	23.9	27.6		436	
2/20/1957	30.6	21.7	27.7		285	
2/21/1957	29.4	20.6	26.8		267	
2/22/1957	28.9	20.0	26.2		249	
2/23/1957	28.3	20.0	26.2		151	
2/24/1957	29.4	21.1	27.1		222	
2/25/1957	28.3	21.7	26.7		213	
2/26/1957	26.7	21.7	24.7		142	
2/27/1957	29.4	23.9	27.2		267	
2/28/1957	28.3	22.8	26.4		249	
3/1/1957	29.4	22.8	26.8		204	
3/2/1957	28.3	25.0	27.0		213	
3/3/1957	28.3	22.8	26.3		160	
3/4/1957	30.6	23.3	27.8		249	
3/5/1957	30.0	24.4	28.0		258	
3/6/1957	30.0	21.7	27.3		196	
3/7/1957	31.1	22.8	28.2		178	
3/8/1957	31.1	21.1	27.7		204	
3/9/1957	28.9	22.8	27.0		196	
3/10/1957	27.2	24.4	25.9		151	
3/11/1957	29.4	22.8	26.6		222	
3/12/1957	31.7	23.3	28.8		285	
3/13/1957	32.8	24.4	29.4		333	
3/14/1957	32.2	24.4	29.6		293	
3/15/1957	29.4	25.6	28.6		231	
3/16/1957	30.0	26.1	28.0		160	
3/17/1957	30.6	25.0	28.3		276	
3/18/1957	27.2	24.4	26.2		133	
3/19/1957	26.7	23.3	25.3		204	
3/20/1957	28.9	23.9	26.6		231	
3/21/1957	30.0	25.0	27.8		276	
3/22/1957	29.4	22.2	27.2		231	
3/23/1957	30.6	21.7	28.0		249	
3/24/1957	32.2	23.3	28.7		151	
3/25/1957	32.2	25.0	28.8		267	
3/26/1957	27.2	25.6	26.6		258	
3/27/1957	28.9	24.4	27.1		258	
3/28/1957	31.7	25.6	28.8		302	
3/29/1957	30.6	22.8	27.7		249	
3/30/1957	28.9	22.8	27.4		187	
3/31/1957	31.1	25.6	28.8		329	
4/1/1957	32.2	23.3	28.2		231	
4/2/1957	32.2	23.9	28.8		222	
4/3/1957	31.7	26.1	28.7		293	
4/4/1957	31.1	25.6	28.7		204	
4/5/1957	31.1	23.9	28.4		187	
4/6/1957	29.4	25.6	27.6		329	
4/7/1957	28.3	25.0	26.6		267	
4/8/1957	30.0	24.4	27.6		365	
4/9/1957	30.0	24.4	27.2		267	
4/10/1957	30.6	25.6	28.4		267	
4/11/1957	30.0	23.3	28.1		178	
4/12/1957	30.6	25.6	28.3		276	
4/13/1957	30.6	24.4	28.1		151	
4/14/1957	28.9	23.3	26.3		267	
4/15/1957	27.8	23.9	25.8		222	
4/16/1957	26.7	23.3	25.6		187	
4/17/1957	27.2	21.7	25.0		222	
4/18/1957	27.8	23.3	25.7		311	
4/19/1957	29.4	22.8	26.6		204	
4/20/1957	25.0	23.9	24.4		213	
4/21/1957	27.8	25.0	26.3		293	
4/22/1957	27.8	25.0	26.2		356	
4/23/1957	28.9	24.4	26.6		365	
4/24/1957	26.7	23.9	25.6		320	
4/25/1957	28.9	24.4	25.7		276	
4/26/1957	27.8	25.0	26.6		222	
4/27/1957	30.6	23.9	27.4		311	
4/28/1957	26.1	22.2	24.4		391	
4/29/1957	30.6	24.4	27.7		267	
4/30/1957	26.7	23.9	25.3		285	
5/1/1957	28.9	23.3	26.3		356	
5/2/1957	30.6	24.4	28.0		316	
5/3/1957	25.0	22.2	23.9		347	
5/4/1957	26.7	22.8	24.9		285	
5/5/1957	26.1	22.2	24.3		53	
5/6/1957	30.0	25.0	27.2		293	
5/7/1957	26.1	22.8	24.8		276	
5/8/1957	28.9	25.6	27.1		418	
5/9/1957	26.1	24.4	25.4		329	
5/10/1957	25.6	22.2	23.9		293	
5/11/1957	27.2	23.9	25.1		293	
5/12/1957	28.3	23.3	26.1		338	
