Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/1/1960	26.1	17.8	22.5		253	
3/2/1960	22.8	19.4	20.6		111	
3/3/1960	22.8	16.7	18.3		164	
3/4/1960	25.6	18.9	22.4		67	
3/5/1960	26.7	19.4	23.1		267	
3/6/1960	27.2	17.8	22.6		164	
3/7/1960	25.6	18.3	20.8		147	
3/8/1960	25.6	17.8	21.7		169	
3/9/1960	25.6	17.8	20.4		253	
3/10/1960	25.0	17.8	22.1		311	
3/11/1960	25.0	21.7	22.9		476	
3/12/1960	25.0	18.3	20.8		111	
3/13/1960	20.0	17.8	18.6		178	
3/14/1960	20.6	17.8	19.2		311	
3/15/1960	25.0	16.7	21.5		209	
3/16/1960	23.3	17.8	20.0		178	
3/17/1960	26.7	17.8	22.7		253	
3/18/1960	22.2	17.2	19.2		151	
3/19/1960	22.8	16.7	19.6		111	
3/20/1960	19.4	16.1	17.9		387	
3/21/1960	25.0	17.2	21.1		164	
3/22/1960	25.6	17.8	22.7		200	
3/23/1960	20.0	18.3	18.9		200	
3/24/1960	25.6	18.3	21.4		164	
3/25/1960	27.2	17.2	21.4		369	
3/26/1960	25.0	17.8	21.4		89	
3/27/1960	24.4	16.7	21.8		147	
3/28/1960	19.4	17.8	18.6		187	
3/29/1960	25.0	15.6	21.0		289	
3/30/1960	25.0	17.8	21.5		356	
3/31/1960	23.3	16.7	18.6		31	
4/1/1960	25.6	17.2	21.1		231	
4/2/1960	25.0	19.4	22.1		422	
4/3/1960	25.6	18.3	22.3		276	
4/4/1960	25.0	18.3	21.4		253	
4/5/1960	26.1	18.3	23.3		151	
4/6/1960	25.0	18.3	20.3		222	
4/7/1960	24.4	18.3	21.6		231	
4/8/1960	24.4	17.8	21.7		231	
4/9/1960	26.7	20.0	23.9		151	
4/10/1960	21.7	17.8	19.6		289	
4/11/1960	21.1	17.2	18.6		89	
4/12/1960	22.8	17.8	19.8		89	
4/13/1960	24.4	21.1	23.1		453	
4/14/1960	23.3	17.8	20.2		209	
4/15/1960	24.4	18.3	21.6		311	
4/16/1960	23.9	17.2	19.4		142	
4/17/1960	23.3	18.3	20.0		169	
4/18/1960	25.6	18.9	22.8		191	
4/19/1960	25.0	18.3	22.1		342	
4/20/1960	26.1	17.2	23.2		311	
4/21/1960	26.1	21.1	23.9		365	
4/22/1960	26.1	18.9	23.6		391	
4/23/1960	23.3	17.2	20.3		253	
4/24/1960	26.1	20.6	24.4		213	
4/25/1960	26.7	17.8	23.3		369	
4/26/1960	25.6	21.1	23.8		333	
4/27/1960	24.4	18.3	20.7		200	
4/28/1960	25.6	18.3	21.8		311	
4/29/1960	24.4	18.9	21.1		111	
4/30/1960	24.4	20.0	21.3		178	
5/1/1960	25.6	18.3	21.9		200	
5/2/1960	25.6	17.8	21.9		324	
5/3/1960	25.0	23.3	24.0		667	
5/4/1960	25.0	22.8	23.6		667	
5/5/1960	24.4	18.3	20.4		262	
5/6/1960	25.0	17.8	22.1		333	
5/7/1960	25.0	19.4	22.8		422	
5/8/1960	25.6	18.9	23.3		467	
5/9/1960	25.6	22.8	24.3		609	
5/10/1960	25.6	23.3	24.3		467	
5/11/1960	20.6	18.3	19.6		147	
5/12/1960	22.8	18.9	20.0		89	
5/13/1960	22.8	16.7	19.2		147	
5/14/1960	26.7	17.8	23.1		253	
5/15/1960	26.1	20.0	22.8		209	
5/16/1960	25.6	18.3	22.6		169	
5/17/1960	25.6	16.7	22.5		209	
5/18/1960	25.6	17.8	22.7		262	
5/19/1960	26.1	17.8	23.2		365	
5/20/1960	26.1	20.6	24.1		476	
5/21/1960	26.1	16.7	23.1		436	
5/22/1960	25.6	21.7	23.6		387	
5/23/1960	23.9	18.3	21.4		320	
5/24/1960	25.0	19.4	22.5		231	
5/25/1960	25.0	18.9	21.8		356	
5/26/1960	22.8	19.4	21.0		200	
5/27/1960	22.2	18.9	20.6		244	
