Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
4/1/1978	22.0	11.0	15.3	0	191	
4/2/1978	29.7	14.2	20.9		174	
4/3/1978	29.6	14.1	20.8		168	
4/4/1978	29.6	13.9	20.7		166	
4/5/1978	29.5	13.7	20.5		164	
4/6/1978	29.4	13.4	20.4		160	
4/7/1978	29.3	13.4	20.3		157	
4/8/1978	29.2	13.4	20.2		161	
4/9/1978	28.9	13.5	20.1		167	
4/10/1978	28.8	13.3	20.0		170	
4/11/1978	28.7	12.9	19.8		176	
4/12/1978	28.7	12.6	19.7		178	
4/13/1978	28.7	12.3	19.7		183	
4/14/1978	28.7	12.3	19.7		188	
4/15/1978	28.7	12.2	19.6		195	
4/16/1978	28.7	12.0	19.6		201	
4/17/1978	28.7	11.8	19.4		201	
4/18/1978	28.5	11.4	19.3		199	
4/19/1978	28.5	11.3	19.3		199	
4/20/1978	29.2	11.2	19.6		210	
4/21/1978	29.2	11.3	19.5		210	
4/22/1978	29.2	11.5	19.5		204	
4/23/1978	28.9	11.3	19.3		196	
4/24/1978	28.7	11.2	19.2		189	
4/25/1978	28.6	11.1	19.1		183	
4/26/1978	28.6	10.9	19.0		177	
4/27/1978	28.7	10.6	18.9		179	
4/28/1978	28.6	10.3	18.7		171	
4/29/1978	28.6	9.9	18.6		162	
4/30/1978	28.6	9.6	18.8		164	
5/1/1978	28.7	9.5	18.8		173	
5/2/1978	28.7	9.3	18.8		180	
5/3/1978	28.6	9.2	18.7		191	
5/4/1978	28.7	9.0	18.5		196	
5/5/1978	28.6	8.9	18.4		207	
5/6/1978	28.5	8.9	18.2		211	
5/7/1978	28.3	8.8	17.9		210	
5/8/1978	28.1	8.9	17.9		217	
5/9/1978	27.8	8.8	17.7		223	
5/10/1978	27.4	8.6	17.3		221	
5/11/1978	27.3	8.4	17.3		222	
5/12/1978	27.3	8.1	17.2		218	
5/13/1978	27.0	8.1	17.2		214	
5/14/1978	26.7	7.9	17.0		207	
5/15/1978	26.5	8.0	17.0		206	
5/16/1978	26.4	7.8	16.9		202	
5/17/1978	26.4	7.7	16.8		194	
5/18/1978	26.4	7.5	16.8		190	
5/19/1978	26.6	7.4	16.8		191	
5/20/1978	26.6	7.1	16.7		188	
5/21/1978	26.3	7.0	16.4		182	
