Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
2/20/1975	31.0	20.0	26.8		76	
2/21/1975	31.6	19.1	25.0		177	
2/22/1975	31.6	18.9	25.0		178	
2/23/1975	31.7	18.9	25.1		177	
2/24/1975	31.7	18.9	25.1		177	
2/25/1975	31.8	18.9	25.1		176	
2/26/1975	31.8	18.9	25.1		176	
2/27/1975	31.8	18.9	25.1		177	
2/28/1975	31.8	18.9	25.1		179	
3/1/1975	31.8	18.9	25.2		182	
3/2/1975	31.9	18.9	25.2		182	
3/3/1975	31.8	18.9	25.2		181	
3/4/1975	31.7	18.9	25.0		183	
3/5/1975	31.6	18.8	24.9		182	
3/6/1975	31.7	18.8	24.9		182	
3/7/1975	31.6	18.8	24.8		177	
3/8/1975	31.6	18.7	24.8		176	
3/9/1975	31.6	18.7	24.7		172	
3/10/1975	31.6	18.7	24.6		168	
3/11/1975	31.5	18.7	24.6		168	
3/12/1975	31.4	18.6	24.5		168	
3/13/1975	31.4	18.6	24.5		170	
3/14/1975	31.3	18.6	24.4		172	
3/15/1975	31.2	18.5	24.4		172	
3/16/1975	31.1	18.4	24.3		175	
3/17/1975	31.1	18.3	24.3		174	
3/18/1975	31.0	18.2	24.2		176	
3/19/1975	30.9	18.1	24.2		180	
3/20/1975	30.9	18.1	24.2		182	
3/21/1975	30.9	18.0	24.2		183	
3/22/1975	30.9	17.9	24.2		184	
3/23/1975	30.9	17.8	24.2		185	
3/24/1975	30.9	17.7	24.3		185	
3/25/1975	30.9	17.7	24.2		187	
3/26/1975	30.7	17.6	24.1		190	
3/27/1975	30.7	17.4	24.1		192	
3/28/1975	30.6	17.3	24.0		192	
3/29/1975	30.6	17.2	23.9		191	
3/30/1975	30.6	17.1	23.9		192	
3/31/1975	30.7	16.8	23.9		193	
4/1/1975	30.7	16.7	23.9		194	
4/2/1975	30.7	16.5	23.8		194	
4/3/1975	30.7	16.4	23.9		196	
4/4/1975	30.8	16.2	23.9		194	
4/5/1975	30.9	16.1	23.8		194	
4/6/1975	30.9	15.8	23.8		192	
4/7/1975	30.9	15.7	23.8		191	
4/8/1975	30.9	15.6	23.8		191	
4/9/1975	31.0	15.6	23.7		188	
4/10/1975	31.1	15.4	23.8		184	
4/11/1975	31.1	15.4	23.8		183	
4/12/1975	31.2	15.4	23.8		178	
4/13/1975	31.2	15.3	23.8		177	
4/14/1975	31.3	15.2	23.8		173	
4/15/1975	31.3	15.3	23.8		171	
4/16/1975	31.3	15.2	23.7		170	
4/17/1975	31.3	15.1	23.6		169	
4/18/1975	31.3	15.0	23.7		171	
4/19/1975	31.2	14.9	23.6		174	
4/20/1975	31.2	14.8	23.6		176	
4/21/1975	31.2	14.6	23.5		177	
4/22/1975	31.1	14.4	23.5		179	
4/23/1975	31.1	14.3	23.4		182	
4/24/1975	30.9	14.1	23.3		182	
4/25/1975	30.8	14.0	23.3		183	
4/26/1975	30.8	13.8	23.2		182	
4/27/1975	30.8	13.7	23.1		181	
4/28/1975	30.7	13.5	22.9		181	
4/29/1975	30.7	13.3	22.8		177	
4/30/1975	32.0	14.0	25.3		169	
5/1/1975	30.6	13.0	22.6		180	
5/2/1975	30.6	12.8	22.5		181	
5/3/1975	30.5	12.7	22.4		185	
5/4/1975	30.4	12.6	22.3		188	
5/5/1975	30.3	12.3	22.2		190	
5/6/1975	30.2	12.2	21.9		193	
5/7/1975	29.9	11.8	21.7		193	
5/8/1975	29.7	11.6	21.5		195	
5/9/1975	29.5	11.4	21.2		196	
5/10/1975	29.3	11.3	21.1		194	
5/11/1975	29.1	11.1	20.9		192	
5/12/1975	28.9	10.9	20.8		190	
5/13/1975	28.8	10.7	20.6		190	
5/14/1975	28.7	10.7	20.4		189	
5/15/1975	28.6	10.6	20.3		186	
5/16/1975	23.0	10.0	17.2		222	
5/17/1975	28.6	10.4	20.2		185	
5/18/1975	28.6	10.4	20.2		185	
5/19/1975	28.5	10.3	20.1		182	
5/20/1975	28.5	10.3	20.1		175	
5/21/1975	28.5	10.2	20.1		174	
5/22/1975	28.4	10.1	19.9		174	
5/23/1975	28.4	10.0	19.8		171	
5/24/1975	28.3	9.8	19.7		169	
5/25/1975	28.2	9.8	19.6		171	
5/26/1975	28.1	9.7	19.6		173	
5/27/1975	27.9	9.7	19.4		173	
5/28/1975	27.9	9.4	19.4		175	
5/29/1975	27.8	9.2	19.2		180	
5/30/1975	27.7	9.0	19.0		181	
5/31/1975	27.6	8.9	18.9		182	
6/1/1975	27.5	8.7	18.8		185	
6/2/1975	27.4	8.6	18.7		185	
6/3/1975	27.3	8.3	18.6		183	
6/4/1975	27.3	8.2	18.6		182	
6/5/1975	27.2	8.0	18.3		181	
6/6/1975	27.1	7.9	18.2		179	
6/7/1975	27.1	7.9	18.2		179	
6/8/1975	26.9	7.9	18.1		180	
6/9/1975	26.9	7.8	17.9		181	
6/10/1975	26.9	7.7	17.8		178	
6/11/1975	26.8	7.6	17.7		182	
6/12/1975	26.7	7.5	17.6		182	
6/13/1975	26.6	7.3	17.5		183	
6/14/1975	26.5	7.1	17.4		184	
6/15/1975	26.4	7.1	17.4		185	
6/16/1975	26.4	6.9	17.4		183	
6/17/1975	26.4	6.9	17.4		182	
6/18/1975	26.3	6.9	17.4		180	
6/19/1975	26.3	6.9	17.4		180	
6/20/1975	26.3	6.8	17.4		176	
6/21/1975	26.3	6.8	17.4		174	
6/22/1975	26.3	6.8	17.3		178	
6/23/1975	26.1	6.7	17.2		182	
6/24/1975	25.9	6.6	17.0		187	
6/25/1975	25.8	6.6	16.9		190	
6/26/1975	25.8	6.6	16.8		191	
6/27/1975	25.7	6.5	16.7		191	
6/28/1975	25.6	6.4	16.6		192	
6/29/1975	25.5	6.4	16.4		192	
6/30/1975	25.4	6.6	16.4		193	
7/1/1975	25.4	6.7	16.5		192	
7/2/1975	25.6	6.8	16.7		190	
7/3/1975	25.7	6.9	16.8		189	
7/4/1975	25.8	7.0	16.9		186	
7/5/1975	25.9	6.9	16.9		183	
7/6/1975	25.9	6.9	16.9		185	
7/7/1975	26.0	7.0	17.1		187	
7/8/1975	26.1	7.1	17.2		187	
7/9/1975	26.2	7.1	17.2		189	
7/10/1975	26.2	7.0	17.2		191	
7/11/1975	26.2	7.1	17.2		195	
7/12/1975	26.2	7.1	17.1		197	
7/13/1975	26.2	7.0	17.2		198	
7/14/1975	26.3	7.1	17.3		200	
7/15/1975	26.4	7.2	17.4		201	
7/16/1975	26.5	7.3	17.6		203	
7/17/1975	26.6	7.3	17.7		205	
7/18/1975	26.7	7.4	17.8		204	
7/19/1975	26.9	7.4	17.9		202	
7/20/1975	27.1	7.4	18.1		197	
7/21/1975	27.2	7.6	18.2		196	
7/22/1975	27.3	7.8	18.4		199	
7/23/1975	27.4	8.0	18.6		202	
7/24/1975	27.6	8.2	18.7		202	
7/25/1975	27.6	8.2	18.7		199	
7/26/1975	27.7	8.3	18.7		197	
7/27/1975	27.9	8.4	18.9		192	
7/28/1975	28.0	8.6	19.1		190	
7/29/1975	28.2	8.8	19.3		191	
7/30/1975	28.3	8.9	19.4		191	
7/31/1975	28.4	9.0	19.4		190	
8/1/1975	28.4	9.1	19.6		190	
8/2/1975	28.6	9.1	19.6		190	
8/3/1975	28.7	9.1	19.7		191	
8/4/1975	28.8	9.2	19.8		193	
8/5/1975	28.9	9.3	19.9		199	
8/6/1975	28.9	9.5	20.0		205	
8/7/1975	29.0	9.6	20.1		208	
8/8/1975	29.1	9.6	20.1		211	
8/9/1975	29.2	9.6	20.2		212	
8/10/1975	29.3	9.6	20.2		209	
8/11/1975	29.5	9.8	20.3		199	
8/12/1975	25.0	14.0	19.8		156	
8/13/1975	30.0	10.3	20.8		201	
8/14/1975	30.3	10.6	21.0		201	
8/15/1975	30.5	10.7	21.1		199	
8/16/1975	30.7	10.8	21.2		199	
8/17/1975	30.9	11.0	21.4		197	
8/18/1975	31.1	11.4	21.7		197	
8/19/1975	31.2	11.7	21.9		199	
8/20/1975	31.2	11.8	22.1		201	
8/21/1975	31.3	11.9	22.2		199	
8/22/1975	31.3	12.0	22.3		199	
8/23/1975	31.3	12.1	22.4		201	
8/24/1975	31.4	12.1	22.7		202	
8/25/1975	31.6	12.3	22.9		199	
8/26/1975	31.7	12.4	23.1		197	
8/27/1975	31.9	12.6	23.2		196	
8/28/1975	32.1	12.7	23.3		195	
8/29/1975	32.2	12.8	23.5		194	
8/30/1975	32.3	13.0	23.6		193	
8/31/1975	32.6	13.2	23.8		193	
9/1/1975	32.7	13.3	23.9		193	
9/2/1975	32.8	13.5	24.0		194	
9/3/1975	32.9	13.6	24.1		197	
9/4/1975	33.1	13.8	24.3		200	
9/5/1975	33.2	14.0	24.4		205	
9/6/1975	33.3	14.2	24.6		207	
9/7/1975	33.4	14.4	24.7		211	
9/8/1975	33.6	14.7	25.0		215	
9/9/1975	33.7	14.9	25.1		218	
9/10/1975	33.8	15.1	25.2		221	
9/11/1975	33.8	15.3	25.3		224	
9/12/1975	33.9	15.4	25.4		225	
9/13/1975	33.9	15.5	25.4		226	
9/14/1975	33.9	15.7	25.6		226	
9/15/1975	34.1	15.9	25.8		226	
9/16/1975	34.2	16.1	26.0		224	
9/17/1975	34.3	16.2	26.1		220	
9/18/1975	34.4	16.4	26.3		220	
9/19/1975	34.5	16.7	26.4		220	
9/20/1975	34.6	16.9	26.6		221	
9/21/1975	34.7	17.1	26.7		221	
9/22/1975	34.7	17.2	26.8		221	
9/23/1975	34.8	17.2	26.8		219	
9/24/1975	34.8	17.3	26.9		219	
9/25/1975	34.8	17.4	26.9		220	
9/26/1975	34.7	17.5	26.9		220	
9/27/1975	34.7	17.6	27.0		223	
9/28/1975	34.8	17.7	27.2		222	
9/29/1975	34.9	17.9	27.3		219	
9/30/1975	35.1	18.3	27.6		219	
10/1/1975	35.2	18.6	27.8		221	
10/2/1975	35.3	18.9	27.9		224	
10/3/1975	33.0	22.0	28.8		302	
10/4/1975	33.0	22.0	28.8		302	
10/5/1975	33.0	22.0	28.8		302	
10/6/1975	33.0	22.0	28.8		302	
