Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	WindSp (km/day)	
1/1/2006	35.0	22.0	28.5	204	
1/2/2006	35.0	22.0	28.1	244	
1/3/2006	35.0	19.0	28.1	204	
1/4/2006	36.0	23.0	28.7	204	
1/5/2006	36.0	22.0	28.3	267	
1/6/2006	32.0	20.0	25.4	244	
1/7/2006	29.0	19.0	22.6	302	
1/8/2006	29.0	18.0	23.4	151	
1/9/2006	34.0	21.0	27.9	147	
1/10/2006	35.0	24.0	29.6	244	
1/11/2006	36.0	22.0	29.8	227	
1/12/2006	37.0	23.0	30.3	236	
1/13/2006	36.0	22.0	29.7	302	
1/14/2006	35.0	19.0	26.6	267	
1/15/2006	33.0	20.0	26.3	200	
1/16/2006	31.0	18.0	24.7	200	
1/17/2006	32.0	22.0	26.9	311	
1/18/2006	34.0	22.0	26.6	267	
1/19/2006	31.0	21.0	24.9	204	
1/20/2006	33.0	19.0	24.4	236	
1/21/2006	30.0	20.0	23.1	111	
1/22/2006	32.0	20.0	25.6	142	
1/23/2006	32.0	19.0	24.8	209	
1/24/2006	34.0	21.0	27.8	196	
1/25/2006	33.0	22.0	26.1	302	
1/26/2006	33.0	20.0	25.4	298	
1/27/2006	31.0	21.0	25.4	169	
1/28/2006	33.0	22.0	26.8	178	
1/29/2006	33.0	22.0	27.6	160	
1/30/2006	34.0	21.0	28.5	169	
1/31/2006	34.0	23.0	28.7	280	
2/1/2006	33.0	21.0	27.5	333	
2/2/2006	31.0	21.0	25.8	258	
2/3/2006	32.0	22.0	25.8	196	
2/4/2006	31.0	18.0	23.9	191	
2/5/2006	30.0	18.0	23.9	200	
2/6/2006	28.0	19.0	20.9	262	
2/7/2006	27.0	19.0	21.8	200	
2/8/2006	30.0	17.0	23.6	151	
2/9/2006	32.0	19.0	24.8	133	
2/10/2006	32.0	19.0	24.7	200	
2/11/2006	33.0	19.0	26.1	156	
2/12/2006	34.0	20.0	26.9	138	
2/13/2006	34.0	18.0	26.7	93	
2/14/2006	35.0	19.0	27.8	147	
2/15/2006	34.0	22.0	27.7	262	
2/16/2006	34.0	21.0	27.7	227	
2/17/2006	34.0	22.0	27.8	289	
2/18/2006	34.0	21.0	28.1	173	
2/19/2006	34.0	21.0	27.2	187	
2/20/2006	31.0	20.0	24.9	169	
2/21/2006	31.0	20.0	24.7	164	
2/22/2006	31.0	20.0	25.1	227	
2/23/2006	30.0	20.0	25.2	342	
2/24/2006	24.0	19.0	20.9	124	
2/25/2006	25.0	18.0	21.7	169	
2/26/2006	29.0	19.0	24.3	138	
2/27/2006	30.0	20.0	25.1	160	
2/28/2006	30.0	18.0	25.0	107	
3/1/2006	31.0	21.0	24.9	151	
3/2/2006	29.0	19.0	23.8	142	
3/3/2006	28.0	17.0	22.6	213	
3/4/2006	29.0	16.0	22.8	236	
3/5/2006	29.0	17.0	22.6	373	
3/6/2006	28.0	16.0	21.9	218	
3/7/2006	30.0	15.0	22.6	120	
3/8/2006	28.0	15.0	22.4	173	
3/9/2006	31.0	15.0	23.8	138	
3/10/2006	33.0	18.0	25.8	187	
3/11/2006	34.0	19.0	26.8	169	
3/12/2006	31.0	18.0	24.8	280	
3/13/2006	28.0	16.0	21.4	267	
3/14/2006	26.0	14.0	20.1	276	
3/15/2006	32.0	19.0	24.8	129	
3/16/2006	31.0	20.0	24.8	302	
3/17/2006	31.0	19.0	23.7	178	
3/18/2006	32.0	18.0	24.7	182	
3/19/2006	32.0	19.0	25.0	138	
3/20/2006	32.0	20.0	25.7	142	
3/21/2006	33.0	19.0	25.8	124	
3/22/2006	31.0	18.0	24.2	213	
3/23/2006	31.0	18.0	25.2	182	
3/24/2006	32.0	17.0	23.9	173	
3/25/2006	32.0	17.0	24.7	227	
3/26/2006	33.0	18.0	24.4	200	
3/27/2006	29.0	17.0	23.1	156	
3/28/2006	30.0	14.0	22.7	178	
3/29/2006	32.0	16.0	23.8	285	
3/30/2006	31.0	15.0	22.4	302	
3/31/2006	31.0	17.0	22.7	227	
4/1/2006	32.0	18.0	25.3	240	
4/2/2006	30.0	16.0	23.7	240	
4/3/2006	30.0	16.0	23.6	258	
4/4/2006	30.0	16.0	23.3	213	
4/5/2006	30.0	14.0	22.2	178	
