Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/6/1988	33.0	24.0	27.7		142	
1/7/1988	33.0	24.0	27.7		142	
1/8/1988	34.7	20.7	26.7		204	
1/9/1988	34.7	20.7	26.7		204	
1/10/1988	34.7	20.7	26.7		204	
1/11/1988	33.0	24.0	27.8		267	
1/12/1988	33.0	24.0	27.8		267	
1/13/1988	33.0	24.0	27.8		267	
1/14/1988	27.0	19.9	21.9	6.5024	293	
1/15/1988	21.0	20.0	20.6	0	329	
1/16/1988	21.0	20.0	20.6		329	
1/17/1988	21.0	20.0	20.6		329	
1/18/1988	24.0	22.0	22.8		178	
1/19/1988	25.0	20.0	22.3		222	
1/20/1988	25.0	20.0	22.3		222	
1/21/1988	27.0	21.2	23.6		227	
1/22/1988	29.4	19.0	21.2		116	
1/23/1988	29.4	19.0	21.2		116	
1/24/1988	29.4	19.0	21.2		116	
1/25/1988	31.2	22.0	25.8		147	
1/26/1988	31.2	22.0	25.8		147	
1/27/1988	31.2	22.0	25.8		147	
1/28/1988	31.2	22.0	25.8		147	
1/29/1988	31.2	22.0	25.8		147	
1/30/1988	31.2	22.0	25.8		147	
1/31/1988	31.2	22.0	25.8		147	
2/1/1988	31.2	22.0	25.8		147	
2/2/1988	31.2	22.0	25.8		147	
2/3/1988	35.0	23.0	29.3		324	
2/4/1988	35.0	22.0	27.5		191	
2/5/1988	35.0	22.0	27.5		191	
2/6/1988	35.0	22.0	27.5		191	
2/7/1988	35.0	22.0	27.5		191	
2/8/1988	33.0	18.4	24.1		98	
2/9/1988	31.2	19.7	22.4	0.7112	258	
2/10/1988	29.0	22.7	25.9	0	333	
2/11/1988	27.8	23.0	25.2		333	
2/12/1988	30.0	21.0	24.8		102	
2/13/1988	30.0	21.0	24.8		102	
2/14/1988	30.0	21.0	24.8		102	
2/15/1988	30.0	21.0	24.8		102	
2/16/1988	30.0	21.0	24.8		102	
2/17/1988	30.0	21.0	24.8		102	
2/18/1988	32.1	19.6	23.6		293	
2/19/1988	32.1	19.6	23.6		293	
2/20/1988	32.1	19.6	23.6		293	
2/21/1988	32.1	19.6	23.6		293	
2/22/1988	32.1	19.6	23.6		293	
2/23/1988	36.0	20.9	28.3		169	
2/24/1988	36.0	20.9	28.3		169	
2/25/1988	36.0	20.9	28.3		169	
2/26/1988	33.3	22.0	29.3		178	
2/27/1988	33.3	22.0	29.3		178	
2/28/1988	33.3	22.0	29.3		178	
2/29/1988	33.3	22.0	29.3		178	
3/1/1988	32.2	19.4	24.6	1.3970	133	
3/2/1988	32.0	20.9	27.4	0	191	
3/3/1988	34.0	22.3	27.7		204	
3/4/1988	33.1	21.2	25.5		164	
3/5/1988	33.1	21.2	25.5		164	
3/6/1988	33.1	21.2	25.5		164	
3/7/1988	33.1	21.2	25.5		164	
3/8/1988	33.1	21.2	25.5		164	
3/9/1988	33.2	19.2	25.3		311	
3/10/1988	33.2	19.2	25.3		311	
3/11/1988	34.9	19.7	26.0		267	
3/12/1988	34.9	19.7	26.0		267	
3/13/1988	34.9	19.7	26.0		267	
3/14/1988	34.9	19.7	26.0		267	
3/15/1988	34.7	21.6	26.8		311	
3/16/1988	34.5	18.4	25.0		89	
3/17/1988	34.5	18.4	25.0		89	
3/18/1988	31.6	25.3	29.6		329	
3/19/1988	31.6	25.3	29.6		329	
3/20/1988	31.6	25.3	29.6		329	
3/21/1988	36.7	25.5	28.9		151	
3/22/1988	33.8	25.5	29.8		222	
3/23/1988	32.2	20.1	24.4		413	
3/24/1988	34.1	23.3	26.9		418	
3/25/1988	30.2	20.7	23.4		151	
3/26/1988	30.2	20.7	23.4		151	
3/27/1988	30.2	20.7	23.4		151	
3/28/1988	32.2	17.7	24.9		458	
3/29/1988	37.2	17.3	24.6		365	
3/30/1988	31.5	17.5	23.7		187	
3/31/1988	31.5	17.5	23.7		187	
4/1/1988	31.5	17.5	23.7		187	
4/2/1988	31.5	17.5	23.7		187	
4/3/1988	31.5	17.5	23.7		187	
4/4/1988	31.5	17.5	23.7		187	
4/5/1988	31.5	17.5	23.7		187	
4/6/1988	31.5	17.5	23.7		187	
4/7/1988	32.6	20.0	24.5		204	
4/8/1988	25.0	20.0	21.8		67	
4/9/1988	25.0	20.0	21.8		67	
4/10/1988	25.0	20.0	21.8		67	
4/11/1988	31.2	18.8	24.1		200	
4/12/1988	28.6	19.0	22.4		58	
4/13/1988	28.6	19.0	22.4		58	
4/14/1988	32.0	19.0	22.7		462	
4/15/1988	32.1	19.5	24.2		240	
4/16/1988	32.1	19.5	24.2		240	
4/17/1988	32.1	19.5	24.2		240	
4/18/1988	30.9	20.5	23.4		164	
4/19/1988	31.5	18.3	22.2		218	
4/20/1988	29.2	20.2	24.2		120	
4/21/1988	31.0	18.0	26.1		164	
4/22/1988	31.0	18.8	22.6		164	
4/23/1988	31.0	18.8	22.6		164	
4/24/1988	31.0	18.8	22.6		164	
4/25/1988	29.0	20.3	23.3		178	
4/26/1988	29.0	17.4	22.8		369	
4/27/1988	30.4	17.5	24.9		382	
4/28/1988	29.7	18.0	23.2		289	
4/29/1988	30.1	18.7	22.3		422	
4/30/1988	30.1	18.7	22.3		422	
5/1/1988	30.1	18.7	22.3		422	
5/2/1988	28.2	14.8	17.1		453	
5/3/1988	27.0	15.3	20.3		453	
5/4/1988	26.8	14.8	20.1		271	
5/5/1988	27.6	16.0	20.3	1.5240	565	
5/6/1988	27.6	16.0	20.3		565	
5/7/1988	27.6	16.0	20.3		565	
5/8/1988	27.6	16.0	20.3		565	
5/9/1988	27.6	16.0	20.3		565	
5/10/1988	29.7	17.5	21.6		356	
5/11/1988	29.7	17.9	23.0		467	
5/12/1988	29.7	17.9	23.0		467	
5/13/1988	29.3	16.9	19.5		422	
5/14/1988	29.3	16.9	19.5		422	
5/15/1988	29.3	16.9	19.5		422	
5/16/1988	29.9	16.6	21.6		151	
5/17/1988	28.4	13.2	18.3		80	
5/18/1988	26.0	15.0	20.8		244	
5/19/1988	30.4	15.0	22.3		49	
5/20/1988	29.1	13.1	19.3		49	
5/21/1988	29.1	13.1	19.3		49	
5/22/1988	29.1	13.1	19.3		49	
5/23/1988	29.2	14.0	19.6		258	
5/24/1988	29.1	12.2	20.0		285	
5/25/1988	29.2	12.4	19.8		204	
5/26/1988	29.1	13.0	20.9		191	
5/27/1988	29.3	13.0	21.6		293	
5/28/1988	29.3	13.0	21.6		293	
5/29/1988	29.3	13.0	21.6		293	
5/30/1988	31.1	8.9	20.2	0	418	
5/31/1988	31.1	8.9	20.2		418	
6/1/1988	29.0	13.8	25.1		418	
6/2/1988	28.4	15.0	20.9		471	
6/3/1988	26.7	12.0	19.4		222	
6/4/1988	26.7	12.0	19.4		222	
6/5/1988	26.7	12.0	19.4		222	
6/6/1988	28.3	11.2	17.9		160	
6/7/1988	26.7	8.6	12.8		222	
6/8/1988	20.3	6.0	12.4		342	
6/9/1988	23.0	9.1	13.7		445	
6/10/1988	26.2	8.0	13.8		373	
6/11/1988	26.2	8.0	13.8		373	
6/12/1988	26.2	8.0	13.8		373	
6/13/1988	28.9	11.6	18.1		178	
6/14/1988	28.0	13.0	21.0		111	
6/15/1988	29.2	10.5	17.3		209	
6/16/1988	25.4	9.0	15.9		480	
6/17/1988	27.0	9.0	17.9		458	
6/18/1988	27.0	9.0	17.9		458	
6/19/1988	27.0	9.0	17.9		458	
6/20/1988	28.7	9.0	17.9		107	
6/21/1988	27.2	8.0	15.8		71	
6/22/1988	24.0	11.1	16.9		231	
6/23/1988	27.0	13.0	20.0		400	
6/24/1988	27.6	11.4	21.3		551	
6/25/1988	27.6	11.4	21.3		551	
6/26/1988	27.6	11.4	21.3		551	
6/27/1988	26.8	10.3	19.1		31	
6/28/1988	27.3	9.5	14.2		36	
6/29/1988	26.6	8.2	14.6		191	
6/30/1988	25.6	7.9	12.2		276	
7/1/1988	25.6	7.9	12.2		276	
7/2/1988	25.6	7.9	12.2		276	
7/3/1988	25.6	7.9	12.2		276	
7/4/1988	27.3	10.2	16.4		111	
7/5/1988	27.8	10.0	18.4		173	
7/6/1988	26.3	11.0	18.9		173	
7/7/1988	23.0	10.0	15.7		191	
7/8/1988	27.3	9.6	16.1		62	
7/9/1988	27.3	9.6	16.1		62	
7/10/1988	27.3	9.6	16.1		62	
7/11/1988	22.4	5.9	11.9		187	
7/12/1988	22.0	4.0	13.1		187	
7/13/1988	22.0	6.0	12.9		173	
7/14/1988	22.8	5.8	14.2		320	
7/15/1988	25.0	6.5	13.6		267	
7/16/1988	25.0	6.5	13.6		267	
7/17/1988	25.0	6.5	13.6		267	
7/18/1988	26.0	6.4	16.6		36	
7/19/1988	24.0	6.0	13.1		36	
7/20/1988	26.3	7.2	18.3		36	
7/21/1988	26.3	7.2	18.3		36	
7/22/1988	26.3	7.2	18.3		36	
7/23/1988	26.3	7.2	18.3		36	
7/24/1988	26.3	7.2	18.3		36	
7/25/1988	28.3	11.0	17.4		89	
7/26/1988	29.0	11.0	19.7		258	
