Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/2002	26.9	16.5	20.3		333	
1/2/2002	26.7	16.5	20.3		335	
1/3/2002	26.6	16.6	20.3		333	
1/4/2002	26.4	16.5	20.2		335	
1/5/2002	26.4	16.6	20.2		334	
1/6/2002	26.5	16.4	20.2		337	
1/7/2002	26.4	16.3	20.2		339	
1/8/2002	26.3	16.1	20.1		345	
1/9/2002	26.3	15.9	20.0		355	
1/10/2002	26.3	16.1	20.2		355	
1/11/2002	26.4	16.1	20.3		355	
1/12/2002	26.6	16.1	20.3		356	
1/13/2002	26.5	16.1	20.2		357	
1/14/2002	26.4	16.2	20.2		365	
1/15/2002	25.0	14.1	19.3		733	
1/16/2002	26.0	12.5	19.7		733	
1/17/2002	26.0	12.5	19.7		733	
1/18/2002	27.6	11.5	20.8		725	
1/19/2002	26.0	13.2	17.8		520	
1/20/2002	25.5	14.5	20.1		640	
1/21/2002	24.3	14.0	17.9		431	
1/22/2002	24.3	15.8	18.4		840	
1/23/2002	23.6	15.5	19.4		689	
1/24/2002	23.6	15.5	19.4		689	
1/25/2002	27.0	16.0	18.9		387	
1/26/2002	27.0	16.0	18.9		387	
1/27/2002	27.0	16.0	18.9		387	
1/28/2002	27.0	16.0	18.9		387	
1/29/2002	27.2	14.9	20.4		689	
1/30/2002	25.5	16.5	20.4		431	
1/31/2002	25.5	16.5	20.4		431	
2/1/2002	25.5	16.5	20.4		431	
2/2/2002	25.5	16.5	20.4		431	
2/3/2002	25.5	16.5	20.4		431	
2/4/2002	29.9	15.6	20.3		484	
2/5/2002	25.0	16.6	19.7		520	
2/6/2002	26.2	16.4	20.7		764	
2/7/2002	26.2	16.4	18.8		689	
2/8/2002	23.6	16.6	20.5		840	
2/9/2002	23.6	16.6	20.5		840	
2/10/2002	23.6	16.6	20.5		840	
2/11/2002	23.6	16.6	20.5		840	
2/12/2002	26.9	17.0	20.1		476	
2/13/2002	26.9	17.0	20.1		476	
2/14/2002	24.6	12.4	19.3		676	
2/15/2002	26.5	11.1	20.6		778	
2/16/2002	26.5	11.1	16.6		413	
2/17/2002	24.0	13.9	18.6		587	
2/18/2002	24.2	15.0	20.9		484	
2/19/2002	27.2	16.2	20.4		296	
2/20/2002	27.1	16.2	20.3		288	
2/21/2002	27.0	16.1	20.4		289	
2/22/2002	27.1	16.1	20.4		288	
2/23/2002	27.3	16.1	20.6		288	
2/24/2002	27.5	16.2	20.7		287	
2/25/2002	27.8	16.3	20.8		293	
2/26/2002	28.5	16.3	21.2		313	
2/27/2002	29.1	16.6	21.7		329	
2/28/2002	29.7	16.9	22.1		337	
3/1/2002	30.2	17.0	22.3		349	
3/2/2002	30.6	17.1	22.3		352	
3/3/2002	30.6	17.1	22.3		354	
3/4/2002	30.6	17.1	22.3		362	
3/5/2002	25.0	15.5	19.8		640	
3/6/2002	25.0	15.5	19.8		640	
3/7/2002	25.0	15.5	19.8		640	
3/8/2002	25.0	15.5	19.8		640	
3/9/2002	29.4	17.1	21.0		445	
3/10/2002	29.4	17.1	21.0		445	
3/11/2002	29.4	17.1	21.0		445	
3/12/2002	29.4	17.1	21.0		445	
3/13/2002	29.4	17.1	21.0		445	
3/14/2002	29.4	17.1	21.0		445	
3/15/2002	29.4	17.1	21.0		445	
3/16/2002	29.4	17.1	21.0		445	
3/17/2002	29.4	17.1	21.0		445	
3/18/2002	29.4	17.1	21.0		445	
3/19/2002	29.4	17.1	21.0		445	
3/20/2002	29.8	16.0	20.5		293	
3/21/2002	28.5	15.4	18.4		676	
3/22/2002	28.5	15.4	18.4		676	
3/23/2002	28.5	15.4	18.4		676	
3/24/2002	28.5	15.4	18.4		676	
3/25/2002	28.5	15.4	18.4		676	
3/26/2002	28.5	15.4	18.4		676	
3/27/2002	28.5	15.4	18.4		676	
3/28/2002	29.0	13.0	18.9		431	
3/29/2002	26.0	12.3	19.7		413	
3/30/2002	26.0	12.3	19.7		413	
3/31/2002	31.0	15.9	20.7		347	
4/1/2002	31.0	15.9	20.7		347	
4/2/2002	31.0	15.9	20.7		347	
4/3/2002	31.0	15.9	20.7		347	
4/4/2002	31.0	15.9	20.7		347	
4/5/2002	29.8	15.0	20.8		533	
4/6/2002	29.8	15.0	20.8		533	
