Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/2/1973	29.0	19.0	23.3		151	
1/3/1973	29.0	19.0	23.3		151	
1/4/1973	29.0	19.0	23.3		151	
1/5/1973	29.0	19.0	23.3		151	
1/6/1973	29.0	19.0	23.3		151	
1/7/1973	29.0	24.0	27.0		329	
1/8/1973	31.0	23.0	25.5		200	
1/9/1973	31.1	17.2	24.8		258	
1/10/1973	31.1	17.2	24.8		260	
1/11/1973	31.1	17.2	24.8		263	
1/12/1973	31.2	17.3	24.8		260	
1/13/1973	31.2	17.3	24.7		256	
1/14/1973	31.2	17.4	24.7		251	
1/15/1973	31.1	17.4	24.6		250	
1/16/1973	30.9	17.5	24.5		252	
1/17/1973	30.8	17.5	24.4		251	
1/18/1973	30.7	17.5	24.3		251	
1/19/1973	30.7	17.6	24.3		252	
1/20/1973	30.6	17.4	24.3		248	
1/21/1973	30.5	17.4	24.3		249	
1/22/1973	32.0	21.0	24.8		285	
1/23/1973	32.0	22.0	27.3		298	
1/24/1973	32.0	24.0	27.0		298	
1/25/1973	32.0	24.0	27.0		298	
1/26/1973	32.0	24.0	27.0		298	
1/27/1973	32.0	24.0	27.0		298	
1/28/1973	32.0	24.0	27.0		298	
1/29/1973	32.0	24.0	27.0		298	
1/30/1973	33.0	23.0	29.3		84	
1/31/1973	33.0	23.0	29.3		84	
2/1/1973	33.0	23.0	29.3		84	
2/2/1973	33.0	23.0	29.3		84	
2/3/1973	32.0	21.0	26.8		222	
2/4/1973	32.0	21.0	26.8		222	
2/5/1973	33.0	22.0	26.5		222	
2/6/1973	33.0	22.0	26.5		222	
2/7/1973	33.0	18.0	24.7		320	
2/8/1973	32.0	23.0	28.2		116	
2/9/1973	32.0	23.0	28.2		116	
2/10/1973	32.0	23.0	28.2		116	
2/11/1973	32.0	23.0	27.0		285	
2/12/1973	31.0	20.0	24.8		222	
2/13/1973	31.0	20.0	25.0		98	
2/14/1973	30.0	20.0	24.5		222	
2/15/1973	29.0	20.0	24.8		84	
2/16/1973	30.0	12.0	22.5		187	
2/17/1973	30.0	12.0	22.5		187	
