Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	WindSp (km/day)	
1/1/2009	28.0	18.0	26.4	667	
1/2/2009	29.0	13.0	24.8	342	
1/3/2009	32.0	21.0	29.1	436	
1/4/2009	33.0	22.0	28.7	538	
1/5/2009	34.0	15.0	28.7	391	
1/6/2009	33.0	20.0	29.8	307	
1/7/2009	32.0	16.0	26.2	204	
1/8/2009	33.0	29.0	31.0	231	
1/9/2009	33.0	24.0	30.0	440	
1/10/2009	32.0	20.0	27.7	280	
1/11/2009	32.0	18.0	26.9	253	
1/12/2009	32.0	16.0	27.4	289	
1/13/2009	34.0	21.0	29.1	382	
1/14/2009	33.0	18.0	28.0	396	
1/15/2009	33.0	24.0	31.0	258	
1/16/2009	31.0	19.0	24.4	191	
1/17/2009	28.0	19.0	23.8	431	
1/18/2009	30.0	20.0	25.8	409	
1/19/2009	30.0	23.0	27.3	462	
1/20/2009	30.0	18.0	26.3	209	
1/21/2009	30.0	19.0	27.0	285	
1/22/2009	26.0	19.0	23.5	138	
1/23/2009	25.0	17.0	20.1	262	
1/24/2009	28.0	21.0	25.2	178	
1/25/2009	28.0	20.0	24.5	156	
1/26/2009	26.0	17.0	21.3	187	
1/27/2009	28.0	15.0	21.0	244	
1/28/2009	28.0	17.0	23.8	462	
1/29/2009	28.0	25.0	26.2	244	
1/30/2009	30.0	20.0	25.8	418	
1/31/2009	31.0	17.0	26.6	329	
2/1/2009	29.0	20.0	26.2	227	
2/2/2009	26.0	21.0	22.3	89	
2/3/2009	23.0	18.0	19.8	218	
2/4/2009	27.0	20.0	24.1	382	
2/5/2009	27.0	17.0	23.7	378	
2/6/2009	25.0	18.0	22.4	484	
2/7/2009	27.0	18.0	22.6	480	
2/8/2009	27.0	16.0	22.4	253	
2/9/2009	27.0	18.0	21.3	280	
2/10/2009	26.0	17.0	20.6	227	
2/11/2009	26.0	17.0	21.5	329	
2/12/2009	24.0	16.0	20.2	311	
2/13/2009	23.0	16.0	19.3	249	
2/14/2009	23.0	16.0	19.3	249	
2/15/2009	23.0	16.0	19.3	249	
2/16/2009	23.0	16.0	19.3	249	
2/17/2009	26.0	18.0	22.9	333	
2/18/2009	25.0	16.0	20.7	164	
2/19/2009	26.0	19.0	22.9	244	
2/20/2009	25.0	17.0	20.9	289	
2/21/2009	24.0	17.0	20.2	236	
2/22/2009	21.0	18.0	19.4	222	
2/23/2009	23.0	16.0	18.9	293	
2/24/2009	25.0	18.0	21.6	329	
2/25/2009	24.0	17.0	21.3	218	
