Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
7/1/1957	16.1	3.9	8.8	0	191	
7/2/1957	16.1	-1.1	5.3	0	347	
7/3/1957	16.1	-1.1	7.8	0	209	
7/4/1957	18.9	3.9	10.1	0	142	
7/5/1957	22.2	6.1	13.1	0	231	
7/6/1957	22.8	7.8	14.8	0	76	
7/7/1957	23.9	10.0	16.2	0	365	
7/8/1957	23.9	10.0	16.3	0	200	
7/9/1957	23.9	8.9	16.0	0	151	
7/10/1957	22.8	8.9	16.5	0	222	
7/11/1957	22.2	7.8	14.6	0	253	
7/12/1957	21.1	6.1	13.1	0	200	
7/13/1957	18.9	2.8	11.0	0	120	
7/14/1957	22.8	3.9	11.2	0	44	
7/15/1957	22.2	6.1	12.5	0	369	
7/16/1957	22.2	3.9	13.1	0	253	
7/17/1957	22.8	6.1	13.2	0	231	
7/18/1957	22.8	10.0	15.4	0	142	
7/19/1957	22.8	8.9	14.8	0	67	
7/20/1957	22.8	8.9	14.3	0	120	
7/21/1957	22.8	10.0	16.2	0	147	
7/22/1957	22.8	7.8	15.4	0	76	
7/23/1957	23.9	10.0	16.7	0	311	
7/24/1957	21.1	10.0	12.2	0.1016	200	
7/25/1957	20.0	5.0	11.8	0	98	
7/26/1957	22.8	7.8	14.3	0	178	
7/27/1957	22.2	7.8	14.3	0	213	
7/28/1957	22.2	7.8	13.8	0	253	
7/29/1957	20.0	5.0	11.5	0	333	
7/30/1957	22.2	6.1	12.8	0	289	
7/31/1957	22.8	7.2	15.2	0	178	
8/1/1957	22.8	11.1	15.8	0	324	
8/2/1957	17.8	1.1	9.3	0	156	
8/3/1957	17.8	0	9.3	0	333	
8/4/1957	22.8	2.8	11.5	0	102	
8/5/1957	25.0	5.0	13.8	0	84	
8/6/1957	23.9	8.9	15.0	0	231	
8/7/1957	22.8	7.2	15.3	0	142	
8/8/1957	22.2	8.9	14.6	0	133	
8/9/1957	22.2	7.2	14.6	0	156	
8/10/1957	22.2	7.2	14.8	0	222	
8/11/1957	17.8	7.2	11.7	0	365	
8/12/1957	22.2	0	9.6	0	142	
8/13/1957	22.2	3.9	12.9	0	156	
8/14/1957	21.1	6.1	12.2	0	231	
8/15/1957	22.8	7.2	13.7	0	111	
