sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
4001009	4000141	0	15	71.19999695	25.10000038	3.700000048	1.450000048	0.970000029	0.136299998	0.036250003
4001010	4000141	15	28	83.5	12.69999981	3.799999952	1.450000048	0.25	0.072500005	0.020300001
4001011	4000141	28	84	93.59999847	4.599999905	1.799999952	1.450000048	0.230000004	0.037700001	0.0145
4001155	4000157	0	8	43.79999924	42.40000153	13.80000019	1.399999976	2.819999933	0.229599997	0.095200002
4001156	4000157	8	13	28.10000038	35.09999847	36.79999924	1.440000057	0.970000029	0.313919991	0.195840016
4001157	4000157	13	18	33	31.29999924	35.70000076	1.399999976	0.920000017	0.305199981	0.207200006
4001158	4000157	18	23	48.59999847	25.39999962	26	1.440000057	0.540000021	0.279359996	0.155520007
4001159	4000157	23	43	51.59999847	26.60000038	21.79999924	1.480000019	0.310000002	0.247160017	0.124319993
4001160	4000157	43	71	35.79999924	35.59999847	28.60000038	1.620000005	0.310000002	0.298079997	0.176579997
4001161	4000157	71	100	35.40000153	35.29999924	29.29999924	1.590000033	0.310000002	0.340259999	0.182850003
4001164	4000157	155	195	23.89999962	38.5	37.59999847	1.480000019	0.349999994	0.383320004	0.223480016
4001165	4000158	0	25	0.800000012	84	15.19999981	1.379999995	0.50999999	0.350519985	0.091079995
4001167	4000158	36	56	0.100000001	70.30000305	28.70000076	1.470000029	0.379999995	0.329279989	0.182280004
4001168	4000158	56	99	1.100000024	70.5	28.39999962	1.519999981	0.159999996	0.325279981	0.18847999
4001169	4000158	99	140	3.099999905	69.09999847	27.79999924	1.5	0.050000001	0.350999981	0.20099999
4001170	4000158	140	190	4	71.09999847	24.89999962	1.409999967	0.100000001	0.360960007	0.183300003
4001171	4000158	190	305	1.899999976	75.69999695	21.29999924	1.480000019	-9.9	0.372960001	0.156880006
4001172	4000159	0	20	55.70000076	41.09999847	3.200000048	0.910000026	3.539999962	0.262989998	0.084630005
4001173	4000159	20	25	55.09999847	41.79999924	3.099999905	1.080000043	3.339999914	0.266760021	0.092880011
4001174	4000159	25	36	57.29999924	39.40000153	3.299999952	1.360000014	0.75999999	0.155039996	0.035359997
4001175	4000159	36	43	52.59999847	44.70000076	2.700000048	0.779999971	3.859999895	0.347879976	0.078780003
4001176	4000159	43	53	49.59999847	48.09999847	2.299999952	1.129999995	2.900000095	0.378549993	0.108480006
4001177	4000159	53	84	55.5	42.79999924	1.700000048	1.320000052	1.230000019	0.269280016	0.051480003
4001178	4000159	84	105	64.69999695	34	1.299999952	1.690000057	0.270000011	0.138579994	0.025350001
4001183	4000160	18	33	57.90000153	32.29999924	9.800000191	1.25999999	1.5	0.199080005	0.088199995
4001184	4000160	33	51	58.40000153	31.89999962	9.699999809	1.350000024	0.810000002	0.190350011	0.070199996
4001185	4000160	51	71	67.19999695	26.70000076	6.099999905	1.919999957	0.119999997	0.142079994	0.044159997
4001186	4000160	71	105	66.30000305	25.89999962	7.800000191	1.850000024	0.129999995	0.159100011	0.057349999
4001187	4000161	0	15	19.79999924	49.70000076	30.5	1.620000005	1.50999999	0.343440026	0.187920004
4001188	4000161	15	30	21	46.20000076	32.79999924	1.570000052	1.419999957	0.354820013	0.199390009
4001189	4000161	30	41	24.20000076	43.79999924	32	1.50999999	0.939999998	0.31408	0.194789991
4001190	4000161	41	64	20.89999962	45.90000153	33.20000076	1.559999943	0.699999988	0.335399985	0.212159991
