doi,lat,lng,HWSD_soil,slate_weather,topsoil_texture,landcover,growing_degree_days,soil_depth,old_elevation,new_elevation,africa_sis_sca,africa_sis_twi,slope,precipitation,aridity_index,country,state,biome,aspect,worldkgeiger,fao_lgp,cereals_suitability_low_input,cereals_suitability_hight_input,kenya_slope (%),kenya_slope_reclassified,kenya_aspect,kenya_plane_curvature,kenya_profile_curvature,kenya_dem,kenya_curvature,namibia_slope (%),namibia_slope_reclassofied,namibia_plane_curvature,namibia_profile_curvature,namibia_dem,namibia_curvature
1,2.25,36.25,17330,126432,9,11,8299,21,655,601,50202.0,12.0,1,279,1360,209,Hawaii,rock and ice,16,4,5,6,5,7.03905248642,3.0,12.1714582443,-0.00926304981112,0.0955855846405,601,-0.104848630726,-1,-1,-1,-1,-1,-1
2,2.25,36.75,17687,126433,3,59,7410,40,1232,1280,371.0,11.0,4,448,2360,209,Hawaii,rock and ice,269,6,7,5,6,28.2910041809,5.0,265.349822998,-0.025830892846,0.218815907836,1280,-0.244646802545,-1,-1,-1,-1,-1,-1
3,2.25,37.25,17352,126434,12,51,7840,40,602,595,6798.0,16.0,0,346,1653,209,Hawaii,rock and ice,54,6,6,4,2,1.16060912609,1.0,54.4623222351,-0.016309786588,0.0186397563666,595,-0.0349495448172,-1,-1,-1,-1,-1,-1
4,2.25,37.75,17341,126435,10,47,7165,43,804,825,742.0,13.0,1,514,2535,209,Hawaii,rock and ice,259,3,7,2,2,4.86454057693,2.0,250.559967041,-0.011649847962,0.011649847962,825,-0.0232996959239,-1,-1,-1,-1,-1,-1
5,2.25,38.25,17341,126436,10,59,7219,21,485,485,464.0,14.0,0,427,2024,209,Hawaii,rock and ice,117,3,6,3,2,1.14481782913,1.0,135.0,-0.00931987818331,0.00232996954583,485,-0.011649847962,-1,-1,-1,-1,-1,-1
6,1.75,36.25,17334,127152,5,8,8282,40,634,650,93.0,12.0,1,347,1656,209,Hawaii,rock and ice,135,6,6,5,5,1.57340157032,1.0,210.963760376,0.011649847962,-0.011649847962,650,0.0232996959239,-1,-1,-1,-1,-1,-1
7,1.75,36.75,17399,127153,10,47,6344,21,1238,1257,556.0,12.0,1,487,2472,209,Hawaii,rock and ice,272,6,8,2,2,4.1889834404,2.0,284.931427002,-0.00548228155822,-0.00548228155822,1257,-0.0,-1,-1,-1,-1,-1,-1
8,1.75,37.25,17691,127154,10,58,6547,40,1523,1461,65.0,10.0,11,672,3556,209,Hawaii,rock and ice,127,3,7,5,6,65.0750045776,7.0,124.184265137,-0.0907580703497,0.153888732195,1461,-0.244646802545,-1,-1,-1,-1,-1,-1
9,1.75,37.75,17397,127155,8,47,7718,40,510,511,92.0,14.0,0,390,1840,209,Hawaii,rock and ice,297,3,6,4,3,1.14481782913,1.0,315.0,-0.0,0.0,511,-0.0,-1,-1,-1,-1,-1,-1
10,1.75,38.25,17397,127156,8,47,8167,40,375,376,93.0,14.0,0,365,1715,209,Hawaii,rock and ice,180,3,6,5,3,0.426648408175,1.0,341.565063477,-0.0,-0.011649847962,376,0.011649847962,-1,-1,-1,-1,-1,-1
