doi,lat,lng,HWSD_soil,slate_weather,topsoil_texture,landcover,growing_degree_days,soil_depth,old_elevation,new_elevation,africa_sis_sca,africa_sis_twi,slope,precipitation,aridity_index,country,aspect,worldkgeiger,fao_lgp,cereals_suitability_low_input,cereals_suitability_hight_input,namibia_slope (%),namibia_slope_reclassofied,namibia_plane_curvature,namibia_profile_curvature,namibia_dem,namibia_curvature
KS1011,-18.18889418,21.01712239,18687,155922,13,43,6422,40,1080,1081,1242,18,0,583,3163,516,90,6,5,5,3,0.38385132,1,0.017476061,-0.005825354,1082,0.023301415
KS1012,-18.30902876,20.79888342,18606,155921,13,43,6340,40,1091,1092,278,15,0,573,3107,516,63,6,5,5,4,1.228923798,1,0,0,1091,0
KS1071,-18.18165719,21.02204775,18687,155922,13,43,6422,40,1082,1081,92,14,0,584,3163,516,172,6,5,5,3,0.959628284,1,0,0,1081,0
KS1072,-18.31604638,20.79791522,18606,155921,13,43,6340,40,1091,1091,92,14,0,573,3107,516,180,6,5,5,4,0.542847753,1,0,-0.011650708,1091,0.011650708
KS11b,-18.19074,21.01196844,18687,155922,13,43,6422,40,1082,1082,93,15,0,583,3163,516,252,6,5,5,3,0.429158807,1,0,0.011650708,1082,-0.011650708
KS211,-18.18086825,20.99813766,18687,155921,13,43,6340,40,1081,1081,278,36,0,583,3163,516,225,6,5,5,3,0.19192566,1,0,0,1081,0
KS212,-18.29950797,20.79652333,18606,155921,13,43,6340,40,1091,1091,185,14,0,574,3112,516,172,6,5,5,4,0.542847753,1,0,0.011650708,1091,-0.011650708
KS21b,-18.29811176,20.79549021,18606,155921,13,43,6340,40,1091,1091,1391,17,0,574,3112,516,297,6,5,5,4,0.429158807,1,-0.023301415,0.011650708,1090,-0.034952123
KS231,-18.2009362,21.01702977,18687,155922,13,31,6422,40,1080,1081,278,15,0,582,3159,516,117,6,5,5,3,0.606922209,1,0,0.011650708,1080,-0.011650708
KS232,-18.28077294,20.84444984,18606,155921,13,58,6340,40,1089,1090,93,14,0,577,3119,516,0,6,5,5,4,0.429158807,1,0.008738031,-0.014563384,1090,0.023301415
KS271,-18.18164802,21.02095952,18687,155922,13,43,6422,40,1082,1081,184,14,0,584,3163,516,180,6,5,5,3,1.085695505,1,0,0,1081,0
KS272,-18.31807313,20.7991437,18606,155921,13,43,6340,40,1090,1090,3464,19,0,570,3089,516,270,6,5,5,4,0.19192566,1,0,0,1090,0
KS851,-18.19078822,21.02138875,18687,155922,13,43,6422,40,1080,1082,65,14,0,583,3163,516,315,6,5,5,3,0.271423876,1,0.023301415,-0.011650708,1082,0.034952123
KS852,-18.31000636,20.79793266,18606,155921,13,43,6340,40,1091,1091,392,16,0,573,3107,516,207,6,5,5,4,0.429158807,1,0.023301415,-0.011650708,1092,0.034952123
KS911,-18.18344355,21.02286204,18687,155922,13,43,6422,40,1080,1081,92,15,0,583,3163,516,0,6,5,5,3,0,1,0,0,1081,0.04660283
KS912,-18.31803212,20.79865659,18606,155921,13,43,6340,40,1090,1090,3464,19,0,570,3089,516,45,6,5,5,4,0.19192566,1,0,0,1090,0
KS931,-18.19825257,20.99265393,18687,155921,13,31,6340,40,1081,1082,92,15,0,581,3152,516,72,6,5,5,3,0.271423876,1,0,-0.011650708,1082,0.011650708
KS932,-18.29065956,20.82194223,18606,155921,13,58,6340,40,1089,1090,65535,22,0,575,3114,516,198,6,5,5,4,0.606922209,1,0,0.011650708,1090,-0.011650708
KS951,-18.19163414,20.99374739,18687,155921,13,43,6340,40,1081,1081,371,16,0,582,3161,516,45,6,5,5,3,0.38385132,1,-0.011650708,0.011650708,1081,-0.023301415
KS952,-18.27984735,20.83109635,18606,155921,13,58,6340,40,1089,1088,93,15,0,575,3119,516,45,6,5,5,4,0.429158807,1,0,0.011650708,1088,-0.011650708
KS971,-18.17178361,21.01019695,18687,155922,13,43,6422,40,1082,1083,196,16,0,585,3167,516,8,6,5,5,3,0.858317614,1,-0.009320566,0.002330142,1083,-0.011650708
KS972,-18.30599807,20.78288953,18606,155921,13,43,6340,40,1093,1092,92,14,0,573,3105,516,315,6,5,5,4,0.38385132,1,-0.005825354,0.017476061,1092,-0.023301415
KS991,-18.18194552,20.99156993,18687,155921,13,43,6340,40,1081,1081,196,36,0,583,3157,516,180,6,5,5,3,0.19192566,1,0,0,1081,0
KS992,-18.27912287,20.79192719,18606,155921,13,58,6340,40,1091,1092,392,17,0,576,3125,516,90,6,5,5,4,0.542847753,1,0.023301415,-0.011650708,1092,0.034952123
NY1091,-17.82616667,18.69852837,18615,155197,13,43,6366,40,1128,1127,196,14,0,564,2957,516,180,6,6,5,4,1.628543258,1,0,-0.011650708,1127,0.011650708
NY1092,-17.81607635,18.55724361,18615,155197,13,43,6366,40,1128,1130,65,14,0,578,3034,516,326,6,6,5,4,0.978632689,1,0.011650708,-0.011650708,1130,0.023301415
NY1111,-17.80265216,18.74169625,18606,155197,13,43,6366,40,1128,1127,184,14,0,562,2945,516,329,6,6,5,4,0.978632689,1,0.005825354,0.005825354,1127,0
NY1112,-17.79017856,18.52084084,18606,155197,13,43,6366,40,1133,1133,276,15,0,584,3055,516,90,6,6,5,4,0.542847753,1,0.023301415,-0.011650708,1133,0.034952123
NY1131,-17.80671459,18.69268941,18617,155197,13,43,6366,40,1110,1103,645,14,0,562,2934,516,13,6,6,5,4,5.004808903,3,-0.000548269,0.011102439,1104,-0.011650708
NY1132,-17.80013334,18.52937701,18617,155197,13,43,6366,40,1114,1114,276,13,0,577,3009,516,185,6,6,5,4,6.761124611,3,0.024246067,-0.022356763,1115,0.04660283
NY1151,-17.82225277,18.66970113,18615,155197,13,43,6366,40,1127,1126,65535,21,0,565,2961,516,225,6,6,5,4,0.606922209,1,-0.011650708,0.011650708,1126,-0.023301415
NY1152,-17.78668875,18.55666852,18606,155197,13,43,6366,40,1130,1130,184,14,0,580,3035,516,198,6,6,5,4,0.429158807,1,0,0.011650708,1130,-0.011650708
NY1171,-17.79707241,18.68407646,18606,155197,13,43,6366,40,1127,1126,92,14,0,564,2952,516,157,6,6,5,4,1.033551335,1,0.006990425,-0.004660283,1126,0.011650708
NY1172,-17.7841105,18.53197737,18606,155197,13,43,6366,40,1131,1131,93,15,0,583,3052,516,180,6,6,5,4,0.19192566,1,0,0,1131,0.023301415
NY1191,-17.80598181,18.69835278,18617,155197,13,43,6366,40,1110,1098,3617,17,0,562,2934,516,191,6,6,5,4,0.691997826,1,0,0.034952123,1098,-0.034952123
NY1192,-17.79967287,18.52774364,18606,155197,13,43,6366,40,1129,1118,369,13,0,582,3042,516,184,6,6,5,4,6.379904747,3,0.023301415,-0.023301415,1114,0.04660283
NY1211,-17.82037457,18.6671304,18615,155197,13,43,6366,40,1127,1127,184,14,0,565,2961,516,207,6,6,5,4,1.033551335,1,0.011650708,0,1127,0.011650708
NY1212 ,-17.78256373,18.55768376,18606,155197,13,43,6366,40,1133,1133,65,14,0,580,3035,516,90,6,6,5,4,0.542847753,1,0,0.011650708,1132,-0.011650708
NY1231,-17.80167778,18.70366851,18617,155197,13,43,6366,40,1125,1124,65,13,0,563,2931,516,217,6,6,5,4,0.858317614,1,0,0.011650708,1124,-0.011650708
NY1232,-17.79535773,18.5094853,18606,155197,13,43,6366,40,1132,1132,185,14,0,584,3055,516,149,6,6,5,4,0.978632689,1,-0.004660283,0.03029184,1131,-0.034952123
NY1251,-17.81456172,18.71963289,18617,155197,13,43,6366,40,1098,1099,1298,15,0,555,2899,516,68,6,6,5,4,1.81062305,1,-0.010965372,0.023986751,1097,-0.034952123
NY1252,-17.80351882,18.51451075,18617,155197,13,43,6366,40,1103,1105,1577,16,0,579,3020,516,167,6,6,5,4,2.833748341,2,-0.008065875,0.038536955,1105,-0.04660283
NY151,-17.83182711,18.69065581,18615,155197,13,43,6366,40,1127,1137,65,36,0,563,2961,516,101,6,6,5,4,0.429158807,1,0,-0.011650708,1137,0.011650708
NY152,-17.81839245,18.50855168,18615,155197,13,43,6366,40,1130,1131,93,36,0,581,3040,516,0,6,6,5,4,0,1,0,0,1131,0
NY171,-17.80803989,18.73590996,18606,155197,13,43,6366,40,1128,1129,185,15,0,562,2945,516,198,6,6,5,4,0.606922209,1,0,-0.011650708,1128,0.011650708
NY172,-17.79482479,18.50901119,18606,155197,13,43,6366,40,1132,1132,92,13,0,584,3055,516,149,6,6,5,4,0.959628284,1,0.023301415,-0.023301415,1134,0.04660283
NY191,-17.80626563,18.70660351,18617,155197,13,43,6366,40,1125,1105,921,14,0,563,2931,516,191,6,6,5,4,5.802379608,3,-0.000372823,0.011277885,1105,-0.011650708
NY192,-17.80280662,18.51894047,18617,155197,13,43,6366,40,1101,1105,65535,26,0,576,3020,516,325,6,6,5,4,1.151553988,1,0.005825354,0.029126769,1104,-0.023301415
