Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1977	25.9	8.8	19.9		98	
1/2/1977	25.9	8.8	19.9		96	
1/3/1977	26.1	8.9	19.9		96	
1/4/1977	26.1	9.0	19.8		95	
1/5/1977	26.1	9.1	19.8		94	
1/6/1977	26.2	9.2	19.8		94	
1/7/1977	26.2	9.4	19.9		96	
1/8/1977	26.2	9.6	19.9		97	
1/9/1977	27.0	7.0	23.0	0	276	
1/10/1977	26.3	9.6	19.9		95	
1/11/1977	26.3	9.4	19.8		94	
1/12/1977	26.2	9.4	19.9		94	
1/13/1977	26.2	9.3	19.9		95	
1/14/1977	26.2	9.3	19.9		97	
1/15/1977	26.2	9.2	19.9		97	
1/16/1977	26.3	9.2	19.9		97	
1/17/1977	26.3	9.2	19.9		96	
1/18/1977	26.4	9.2	20.0		95	
1/19/1977	26.6	9.2	20.2		97	
1/20/1977	26.7	9.3	20.4		99	
1/21/1977	26.8	9.3	20.4		100	
1/22/1977	26.9	9.3	20.6		100	
1/23/1977	26.9	9.5	20.7		99	
1/24/1977	26.9	9.5	20.7		98	
1/25/1977	27.0	9.6	20.8		106	
1/26/1977	27.1	9.7	21.0		108	
1/27/1977	27.1	9.7	21.1		109	
1/28/1977	27.1	9.8	21.2		110	
1/29/1977	27.2	10.1	21.2		111	
1/30/1977	27.2	10.3	21.3		111	
1/31/1977	27.2	10.6	21.4		111	
2/1/1977	27.3	10.7	21.5		111	
2/2/1977	27.0	9.0	19.3		200	
2/3/1977	27.4	11.0	21.7		112	
2/4/1977	27.6	11.1	21.7		115	
2/5/1977	27.5	11.0	21.7		114	
2/6/1977	27.4	11.0	21.7		113	
2/7/1977	27.4	10.8	21.6		113	
2/8/1977	27.5	10.5	21.5		115	
2/9/1977	27.4	10.3	21.5		117	
2/10/1977	27.4	10.2	21.4		121	
2/11/1977	27.4	10.1	21.4		124	
2/12/1977	27.4	9.9	21.4		126	
2/13/1977	27.4	9.9	21.3		125	
2/14/1977	27.0	5.0	20.6	0	240	
2/15/1977	27.0	5.0	20.6		240	
2/16/1977	27.0	5.0	20.6		240	
2/17/1977	27.0	18.0	24.0	0	320	
2/18/1977	27.0	18.0	24.0		320	
2/19/1977	28.0	8.0	20.7	0	244	
2/20/1977	28.0	8.0	20.7		244	
