Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
2/13/1957	30.0	15.0	23.5		178	
7/4/1957	31.1	17.8	27.2		498	
7/5/1957	31.1	17.8	27.2		498	
7/6/1957	35.0	22.2	28.5		409	
7/7/1957	35.0	22.2	28.5		409	
7/8/1957	35.0	22.2	28.5		409	
7/9/1957	35.0	22.2	28.5		409	
7/10/1957	35.0	22.2	28.5		409	
7/11/1957	35.0	22.2	28.5		409	
7/12/1957	35.0	22.2	28.5		409	
7/13/1957	33.9	22.2	26.5		565	
7/14/1957	33.9	22.2	26.5		565	
7/15/1957	36.1	22.2	30.0		453	
7/16/1957	36.1	22.2	30.0		453	
7/17/1957	36.1	22.2	30.0		453	
7/18/1957	36.1	22.2	30.0		453	
7/19/1957	36.1	22.2	30.0		453	
7/20/1957	36.1	22.2	30.0		453	
7/21/1957	32.8	18.9	26.7		329	
7/22/1957	36.1	22.2	28.5		187	
7/23/1957	36.1	22.2	28.5		187	
7/24/1957	36.1	22.2	28.5		187	
7/25/1957	36.1	22.2	28.5		187	
7/26/1957	36.1	22.2	28.5		187	
7/27/1957	33.9	20.0	27.9		578	
7/28/1957	33.9	20.0	27.9		578	
7/29/1957	33.9	20.0	27.9		578	
7/30/1957	33.9	20.0	27.9		578	
7/31/1957	32.2	18.9	27.2		578	
8/1/1957	32.2	18.9	27.2		578	
8/2/1957	30.0	17.2	22.1		338	
8/3/1957	30.0	17.2	22.1		338	
8/4/1957	30.0	17.2	22.1		338	
8/5/1957	30.0	17.2	22.1		338	
8/6/1957	30.0	17.2	22.1		338	
8/7/1957	30.0	17.2	22.1		338	
8/8/1957	30.0	17.2	22.1		338	
8/9/1957	30.0	17.2	22.1		338	
8/10/1957	30.0	17.2	22.1		338	
8/11/1957	30.0	17.2	22.1		338	
8/12/1957	30.0	17.2	22.1		338	
8/13/1957	30.0	18.9	25.8		356	
8/14/1957	30.0	18.9	25.8		356	
8/15/1957	33.9	18.9	26.9		378	
8/16/1957	33.9	18.9	27.5		267	
8/17/1957	32.8	16.1	24.7		551	
8/18/1957	33.9	17.2	23.1		302	
8/19/1957	33.9	18.9	26.2		320	
8/20/1957	33.9	18.9	26.2		320	
8/21/1957	33.9	17.8	26.8		342	
8/22/1957	33.9	17.8	26.8		342	
8/23/1957	33.9	17.8	26.8		342	
8/24/1957	33.9	17.8	26.3		484	
8/25/1957	33.9	17.8	26.3		484	
8/26/1957	32.2	18.9	28.8		542	
8/27/1957	33.9	18.9	26.1		267	
8/28/1957	33.9	17.8	28.3		320	
8/29/1957	33.9	17.8	28.3		320	
8/30/1957	33.9	17.8	28.3		320	
8/31/1957	35.0	18.9	26.9		311	
9/1/1957	35.0	18.9	26.9		311	
9/2/1957	35.0	18.9	26.9		311	
9/3/1957	35.0	18.9	26.9		311	
9/4/1957	35.0	18.9	26.9		311	
9/5/1957	35.0	18.9	26.9		311	
9/6/1957	32.2	15.0	25.0		413	
9/7/1957	32.8	15.0	26.8		538	
9/8/1957	32.8	15.0	26.8		538	
9/9/1957	32.8	15.0	26.8		538	
9/10/1957	35.0	18.9	28.3		164	
9/11/1957	35.0	18.9	28.3		164	
9/12/1957	35.0	18.9	28.3		164	
9/13/1957	35.0	18.9	28.3		164	
9/14/1957	35.0	18.9	28.3		164	
