Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
2/28/1979	30.0	7.0	21.8	0	533	
3/1/1979	30.0	7.0	21.8		533	
3/2/1979	30.0	7.0	21.8		533	
3/3/1979	30.0	7.0	21.8		533	
3/4/1979	30.0	7.0	21.8		533	
3/5/1979	30.0	7.0	21.8		533	
3/6/1979	30.0	7.0	21.8		533	
3/7/1979	30.0	9.0	18.5		191	
3/8/1979	27.9	12.3	22.4		234	
3/9/1979	27.8	12.4	22.4		240	
3/10/1979	27.8	12.7	22.3		239	
3/11/1979	27.7	12.7	22.4		235	
3/12/1979	27.8	12.8	22.4		231	
3/13/1979	27.8	12.7	22.4		221	
3/14/1979	27.7	12.4	22.4		208	
3/15/1979	27.6	12.6	22.3		205	
3/16/1979	27.5	12.6	22.3		200	
3/17/1979	27.6	12.6	22.4		193	
3/18/1979	27.8	12.4	22.6		198	
3/19/1979	27.8	12.3	22.6		199	
3/20/1979	27.9	12.2	22.6		200	
3/21/1979	27.8	12.3	22.6		196	
3/22/1979	27.6	12.6	22.6		211	
3/23/1979	27.5	13.0	22.7		213	
3/24/1979	27.4	13.2	22.7		217	
3/25/1979	27.2	13.4	22.6		226	
3/26/1979	27.1	13.6	22.5		229	
3/27/1979	26.8	13.8	22.4		240	
3/28/1979	26.7	14.1	22.4		251	
3/29/1979	26.5	14.3	22.3		261	
3/30/1979	26.2	14.4	22.2		264	
3/31/1979	26.0	14.6	21.9		262	
4/1/1979	25.7	14.4	21.8		267	
4/2/1979	25.7	14.3	21.8		264	
4/3/1979	25.6	14.3	21.7		253	
4/4/1979	25.0	11.0	23.8	0	253	
4/5/1979	25.3	14.6	21.6		220	
4/6/1979	25.3	14.4	21.7		201	
4/7/1979	25.5	14.3	21.8		183	
4/8/1979	25.7	14.3	21.9		174	
4/9/1979	25.9	14.1	21.9		162	
4/10/1979	26.1	14.1	21.9		155	
4/11/1979	26.1	14.1	21.9		149	
4/12/1979	26.2	14.1	22.1		149	
4/13/1979	26.3	13.9	22.2		152	
4/14/1979	26.3	13.9	22.2		154	
4/15/1979	26.3	13.9	22.2		156	
4/16/1979	26.2	14.0	22.2		161	
4/17/1979	30.0	9.0	21.8	0	178	
4/18/1979	26.0	14.1	22.1		168	
4/19/1979	26.0	14.1	22.2		164	
4/20/1979	26.1	14.0	22.2		166	
4/21/1979	26.2	14.0	22.2		170	
4/22/1979	26.3	13.9	22.2		176	
4/23/1979	26.4	14.1	22.2		179	
4/24/1979	26.5	13.9	22.1		178	
4/25/1979	26.6	13.8	22.1		179	
4/26/1979	26.7	13.9	22.2		181	
4/27/1979	26.8	14.1	22.1		182	
4/28/1979	26.8	14.2	22.1		186	
4/29/1979	26.7	14.3	22.0		186	
4/30/1979	26.7	14.4	21.9		188	
5/1/1979	26.6	14.7	21.9		188	
