Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
2/13/1957	23.9	10.0	18.1		258	
2/14/1957	23.7	10.1	17.3		376	
2/15/1957	23.8	10.1	17.4		382	
2/16/1957	23.9	10.0	17.6		389	
2/17/1957	24.0	10.1	17.7		393	
2/18/1957	24.1	10.1	17.7		395	
2/19/1957	24.1	10.1	17.8		393	
2/20/1957	24.1	10.1	17.8		393	
2/21/1957	24.1	10.1	17.8		396	
2/22/1957	24.1	10.2	17.9		393	
2/23/1957	23.9	10.2	17.9		389	
2/24/1957	23.9	10.3	17.8		385	
2/25/1957	23.8	10.4	17.7		377	
2/26/1957	23.7	10.5	17.7		375	
2/27/1957	23.6	10.6	17.7		373	
2/28/1957	23.6	10.7	17.7		375	
3/1/1957	23.6	10.8	17.7		378	
3/2/1957	23.7	10.9	17.8		379	
3/3/1957	23.7	10.8	17.7		381	
3/4/1957	23.8	10.9	17.8		384	
3/5/1957	23.9	10.8	17.8		386	
3/6/1957	23.9	10.7	17.8		390	
3/7/1957	24.0	10.8	17.8		387	
3/8/1957	24.1	10.8	17.9		386	
3/9/1957	24.1	10.9	17.9		386	
3/10/1957	24.0	10.9	17.9		383	
3/11/1957	18.9	12.2	14.8		347	
3/12/1957	23.9	11.1	17.8		374	
3/13/1957	23.9	11.1	17.9		374	
3/14/1957	23.9	11.3	18.0		375	
3/15/1957	24.0	11.5	18.1		375	
3/16/1957	24.0	11.5	18.1		379	
3/17/1957	23.9	11.6	18.1		381	
3/18/1957	24.1	11.5	18.1		381	
3/19/1957	24.1	11.4	18.2		377	
3/20/1957	24.1	11.4	18.2		378	
3/21/1957	24.1	11.4	18.2		379	
3/22/1957	24.1	11.5	18.2		377	
3/23/1957	24.1	11.6	18.2		373	
3/24/1957	24.1	11.7	18.2		371	
3/25/1957	24.0	11.8	18.2		368	
3/26/1957	23.9	11.7	18.2		368	
3/27/1957	23.9	11.8	18.2		373	
3/28/1957	23.9	11.9	18.3		377	
3/29/1957	23.9	12.1	18.3		378	
3/30/1957	24.0	12.1	18.3		376	
3/31/1957	23.9	11.9	18.2		371	
4/1/1957	23.9	11.9	18.2		369	
4/2/1957	22.2	8.9	17.6	0	231	
4/3/1957	23.9	11.7	18.2		367	
4/4/1957	24.0	11.7	18.1		366	
4/5/1957	23.9	11.7	18.1		365	
4/6/1957	23.9	11.7	18.1		367	
4/7/1957	23.9	11.7	18.1		367	
4/8/1957	23.9	11.7	18.0		367	
4/9/1957	24.0	11.7	18.1		368	
4/10/1957	24.0	11.6	18.0		368	
4/11/1957	23.9	11.6	17.9		370	
4/12/1957	23.9	11.6	17.9		368	
4/13/1957	23.8	11.6	17.9		368	
4/14/1957	23.7	11.5	17.9		367	
4/15/1957	23.7	11.5	17.9		366	
4/16/1957	23.7	11.4	17.9		364	
4/17/1957	23.8	11.4	18.1		365	
4/18/1957	23.8	11.4	18.1		364	
4/19/1957	23.8	11.5	18.1		362	
4/20/1957	23.8	11.5	18.1		360	
4/21/1957	23.8	11.4	18.1		362	
4/22/1957	23.9	11.4	18.1		359	
4/23/1957	24.0	11.4	18.2		357	
4/24/1957	24.1	11.3	18.2		356	
