Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/3/1985	33.2	13.5	27.0		236	
1/4/1985	32.0	16.0	24.6		227	
1/5/1985	32.0	16.0	24.6		227	
1/6/1985	32.0	13.2	24.6		173	
1/7/1985	33.0	10.2	22.8		53	
1/8/1985	33.0	10.2	22.8		53	
1/9/1985	32.6	14.3	23.6		107	
1/10/1985	31.6	14.0	25.5		227	
1/11/1985	31.6	14.0	25.5		227	
1/12/1985	31.6	14.0	25.5		227	
1/13/1985	28.5	17.0	23.3		413	
1/14/1985	27.0	9.2	20.6		347	
1/15/1985	29.2	15.0	24.8		258	
1/16/1985	29.6	7.4	20.7		67	
1/17/1985	29.6	7.4	20.7		67	
1/18/1985	29.6	7.4	20.7		67	
1/19/1985	29.6	7.4	20.7		67	
1/20/1985	32.0	6.2	20.9		67	
1/21/1985	34.5	11.0	25.0		151	
1/22/1985	33.0	13.8	24.7		102	
1/23/1985	32.0	15.0	26.1		258	
1/24/1985	34.5	16.2	27.1		173	
1/25/1985	34.5	16.2	27.1		173	
1/26/1985	34.5	16.2	27.1		173	
1/27/1985	32.0	18.6	25.2		173	
1/28/1985	32.0	18.6	25.2		173	
1/29/1985	32.0	18.6	25.2		173	
1/30/1985	33.0	15.2	25.0		67	
1/31/1985	35.2	14.5	28.6		218	
2/1/1985	35.2	14.5	28.6		218	
2/2/1985	35.2	14.5	28.6		218	
2/3/1985	33.6	16.7	26.3		360	
2/4/1985	33.6	16.7	26.3		360	
2/5/1985	33.6	16.7	26.3		360	
2/6/1985	31.5	11.8	24.6		276	
2/7/1985	31.5	11.8	24.6		276	
2/8/1985	31.5	11.8	24.6		276	
2/9/1985	31.5	11.8	24.6		276	
2/10/1985	31.5	11.8	24.6		276	
2/11/1985	31.5	11.8	24.6		276	
2/12/1985	30.5	17.2	23.9		258	
2/13/1985	31.0	16.2	24.1		240	
2/14/1985	30.4	13.8	23.2		107	
2/15/1985	31.0	11.6	23.4		236	
2/16/1985	31.0	11.6	23.4		236	
2/17/1985	27.0	20.2	23.1		276	
2/18/1985	27.0	20.2	23.1		276	
2/19/1985	29.0	13.0	26.9		276	
2/20/1985	29.5	17.2	24.2		302	
2/21/1985	30.8	10.2	24.5		280	
2/22/1985	30.6	7.2	20.4		302	
2/23/1985	30.6	7.2	20.4		302	
2/24/1985	31.0	10.2	24.8		107	
2/25/1985	34.0	10.2	23.2		36	
2/26/1985	34.2	13.0	26.5		324	
2/27/1985	32.5	14.2	27.3		369	
2/28/1985	30.4	16.2	25.1		453	
3/1/1985	31.5	16.2	24.4		347	
3/2/1985	31.5	16.2	24.4		347	
3/3/1985	35.6	16.0	27.9		129	
3/4/1985	33.6	18.6	25.8		129	
3/5/1985	33.6	18.6	25.8		129	
3/6/1985	33.0	18.0	26.0		236	
3/7/1985	33.2	17.5	26.4		218	
3/8/1985	33.8	12.7	25.4		324	
3/9/1985	33.8	12.7	25.4		324	
3/10/1985	31.6	14.8	24.8		173	
3/11/1985	34.0	15.1	25.9		209	
