Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1958	26.1	11.1	20.7		253	
1/2/1958	26.1	11.1	20.7		253	
1/3/1958	27.8	11.1	21.8		111	
1/4/1958	27.8	11.1	21.8		111	
1/5/1958	27.8	11.1	21.8		111	
1/6/1958	27.8	11.1	21.8		111	
1/7/1958	27.8	11.1	21.8		111	
1/8/1958	27.8	11.1	21.8		111	
1/9/1958	27.8	13.9	22.2		164	
1/10/1958	27.8	13.9	23.2		370	
1/11/1958	27.8	14.0	23.3		382	
1/12/1958	27.8	14.1	23.3		382	
1/13/1958	27.8	14.2	23.4		385	
1/14/1958	27.8	14.3	23.4		384	
1/15/1958	27.9	14.4	23.5		384	
1/16/1958	27.9	14.4	23.6		389	
1/17/1958	28.1	14.6	23.6		395	
1/18/1958	28.1	14.6	23.6		396	
1/19/1958	28.1	14.7	23.5		391	
1/20/1958	28.2	14.8	23.5		389	
1/21/1958	28.2	15.1	23.6		393	
1/22/1958	28.2	15.1	23.6		397	
1/23/1958	28.2	15.2	23.7		401	
1/24/1958	28.2	15.3	23.8		403	
1/25/1958	28.3	15.4	23.9		397	
1/26/1958	28.3	15.4	24.0		400	
1/27/1958	28.4	15.4	24.1		400	
1/28/1958	28.4	15.4	24.2		398	
1/29/1958	28.5	15.3	24.2		393	
1/30/1958	28.6	15.2	24.2		390	
1/31/1958	28.7	15.1	24.2		386	
2/1/1958	28.7	15.1	24.2		382	
2/2/1958	28.8	15.0	24.2		374	
2/3/1958	28.8	14.9	24.2		369	
2/4/1958	28.9	14.9	24.2		358	
2/5/1958	28.9	14.9	24.2		349	
2/6/1958	28.9	15.0	24.2		342	
2/7/1958	28.9	15.1	24.2		335	
2/8/1958	28.9	15.1	24.2		327	
2/9/1958	29.0	15.2	24.3		325	
2/10/1958	28.9	15.0	22.2		244	
2/11/1958	28.9	15.0	22.2		244	
2/12/1958	28.9	15.0	22.2		244	
2/13/1958	28.9	15.0	22.2		244	
2/14/1958	26.1	15.0	19.7		133	
2/15/1958	28.9	15.8	24.4		355	
2/16/1958	28.9	15.8	24.6		365	
2/17/1958	28.9	15.9	24.6		371	
2/18/1958	28.8	15.9	24.6		372	
2/19/1958	28.8	15.8	24.6		371	
2/20/1958	28.7	15.8	24.6		370	
2/21/1958	28.8	15.8	24.6		370	
2/22/1958	28.7	15.9	24.6		371	
2/23/1958	28.6	15.8	24.4		367	
2/24/1958	28.5	15.8	24.3		364	
2/25/1958	28.3	15.7	24.1		354	
2/26/1958	28.2	15.6	23.9		352	
2/27/1958	28.2	15.7	23.9		351	
2/28/1958	28.1	15.8	23.8		352	
3/1/1958	28.1	15.8	23.8		356	
3/2/1958	27.9	15.8	23.8		360	
3/3/1958	27.9	15.7	23.8		361	
3/4/1958	28.0	15.8	23.9		364	
3/5/1958	28.1	15.8	24.0		366	
3/6/1958	30.0	13.9	23.6		160	
3/7/1958	30.0	13.9	23.6		160	
3/8/1958	31.1	13.9	22.2		111	
3/9/1958	31.1	13.9	22.2		111	
3/10/1958	31.1	15.0	25.7		476	
3/11/1958	31.1	15.0	25.7		476	
3/12/1958	31.1	15.0	25.7		476	
3/13/1958	31.1	15.0	25.7		476	
3/14/1958	30.0	13.9	19.7		164	
3/15/1958	27.2	15.0	20.0		22	
3/16/1958	27.2	15.0	20.0		22	
3/17/1958	27.2	15.0	20.0		22	
3/18/1958	28.9	12.8	20.8		222	
3/19/1958	28.9	12.8	20.8		222	
3/20/1958	28.9	12.8	20.8		222	
3/21/1958	28.9	12.8	20.8		222	
3/22/1958	28.9	12.8	20.8		222	
3/23/1958	28.9	12.8	20.8		222	
3/24/1958	30.0	12.8	24.7		76	
3/25/1958	30.0	12.8	24.7		76	
3/26/1958	30.0	12.8	24.7		76	
3/27/1958	30.0	12.8	24.7		76	
3/28/1958	30.0	12.8	24.7		76	
3/29/1958	30.0	12.2	21.8		267	
3/30/1958	26.9	15.7	22.8		282	
3/31/1958	26.9	15.6	22.7		283	
4/1/1958	26.8	15.6	22.6		280	
4/2/1958	26.8	15.7	22.5		277	
4/3/1958	26.7	15.7	22.4		272	
4/4/1958	26.6	15.8	22.4		272	
4/5/1958	26.4	15.9	22.3		277	
4/6/1958	26.1	16.0	22.2		277	
4/7/1958	25.8	16.0	22.0		278	
4/8/1958	25.6	16.0	21.8		274	
4/9/1958	25.5	15.9	21.7		273	
4/10/1958	25.3	15.9	21.6		271	
4/11/1958	25.0	13.9	18.9		164	
4/12/1958	24.9	15.8	21.3		271	
4/13/1958	24.8	15.7	21.1		270	
4/14/1958	24.7	15.6	21.0		271	
4/15/1958	24.6	15.6	21.0		272	
4/16/1958	24.6	15.6	21.1		274	
4/17/1958	24.5	15.7	21.1		278	
4/18/1958	24.3	15.8	21.0		279	
4/19/1958	24.2	15.9	20.9		283	
4/20/1958	24.1	15.9	20.9		286	
4/21/1958	24.1	16.0	20.8		285	
4/22/1958	24.1	16.1	20.9		288	
4/23/1958	24.1	16.1	20.9		286	
4/24/1958	24.2	16.1	21.0		282	
4/25/1958	24.2	16.2	21.0		276	
4/26/1958	24.3	16.1	21.0		272	
4/27/1958	24.5	16.1	21.1		271	
