Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1961	22.0	8.4	17.7		436	
1/2/1961	21.9	8.4	17.7		429	
1/3/1961	21.9	8.5	17.8		426	
1/4/1961	21.8	8.5	17.8		423	
1/5/1961	21.9	8.6	17.8		423	
1/6/1961	22.0	8.8	17.9		421	
1/7/1961	22.1	9.0	17.9		411	
1/8/1961	22.2	9.2	18.1		399	
1/9/1961	22.2	9.3	18.1		397	
1/10/1961	22.2	9.3	18.2		402	
1/11/1961	22.3	9.2	18.2		414	
1/12/1961	22.3	9.1	18.1		426	
1/13/1961	22.2	9.0	18.0		440	
1/14/1961	22.3	8.8	17.9		442	
1/15/1961	22.2	8.8	17.9		454	
1/16/1961	22.2	8.8	17.8		472	
1/17/1961	22.2	8.7	17.8		486	
1/18/1961	22.1	8.7	17.7		496	
1/19/1961	22.1	8.8	17.6		514	
1/20/1961	22.1	8.9	17.7		523	
1/21/1961	22.1	9.1	17.7		532	
1/22/1961	22.1	9.3	17.9		543	
1/23/1961	22.1	9.4	17.9		562	
1/24/1961	22.3	9.6	17.9		575	
1/25/1961	22.3	9.6	18.1		593	
1/26/1961	22.3	9.8	18.1		607	
1/27/1961	22.4	9.8	18.2		608	
1/28/1961	22.6	9.8	18.3		605	
1/29/1961	22.6	9.9	18.3		602	
1/30/1961	22.7	10.0	18.2		589	
1/31/1961	22.8	10.1	18.3		580	
2/1/1961	22.9	10.1	18.5		567	
2/2/1961	23.0	10.1	18.7		552	
2/3/1961	23.2	10.0	18.8		528	
2/4/1961	23.3	9.9	19.0		515	
2/5/1961	23.3	9.9	19.0		502	
2/6/1961	23.4	9.9	19.1		492	
2/7/1961	23.5	9.8	19.1		485	
2/8/1961	23.5	9.8	19.2		485	
2/9/1961	23.4	9.7	19.1		481	
2/10/1961	23.3	9.7	19.0		478	
2/11/1961	23.2	9.8	18.8		484	
2/12/1961	23.1	9.9	18.8		492	
2/13/1961	23.2	10.1	18.8		501	
2/14/1961	23.2	10.2	18.9		519	
2/15/1961	23.3	10.4	19.1		537	
2/16/1961	23.3	10.6	19.2		539	
2/17/1961	23.3	10.8	19.3		544	
2/18/1961	23.6	11.0	19.4		546	
2/19/1961	23.7	11.0	19.6		549	
2/20/1961	23.7	11.1	19.6		548	
2/21/1961	23.7	11.3	19.6		545	
2/22/1961	23.5	11.3	19.5		541	
2/23/1961	23.4	11.4	19.4		534	
2/24/1961	23.2	11.5	19.2		528	
2/25/1961	23.1	11.5	19.1		529	
2/26/1961	23.1	11.5	19.1		529	
2/27/1961	22.8	10.0	17.8		511	
2/28/1961	23.1	11.4	19.0		548	
3/1/1961	23.2	11.4	19.1		546	
3/2/1961	23.2	11.5	19.1		552	
3/3/1961	23.3	11.6	19.1		556	
3/4/1961	23.4	11.5	19.2		559	
3/5/1961	23.5	11.4	19.4		553	
3/6/1961	23.7	11.4	19.6		547	
3/7/1961	23.8	11.4	19.7		537	
3/8/1961	23.9	11.4	19.8		525	
3/9/1961	24.0	11.4	19.8		514	
3/10/1961	24.0	11.4	19.9		513	
3/11/1961	24.2	11.4	20.1		508	
3/12/1961	24.4	11.4	20.3		505	
3/13/1961	24.7	11.5	20.6		496	
3/14/1961	24.8	11.6	20.7		495	
3/15/1961	24.8	11.8	20.7		497	
3/16/1961	24.8	11.9	20.8		504	
3/17/1961	24.8	12.0	20.8		508	
3/18/1961	25.0	11.9	21.1		498	
3/19/1961	25.1	12.0	21.1		488	
3/20/1961	25.1	12.1	21.1		481	
3/21/1961	25.1	12.2	21.1		472	
3/22/1961	25.1	12.3	21.1		476	
3/23/1961	25.1	12.3	21.1		477	
3/24/1961	22.2	11.1	19.2		556	
3/25/1961	25.2	12.4	21.2		473	
3/26/1961	25.2	12.5	21.2		468	
3/27/1961	25.2	12.6	21.2		479	
3/28/1961	25.1	12.6	21.2		498	
3/29/1961	25.1	12.6	21.2		507	
3/30/1961	24.9	12.6	21.1		528	
3/31/1961	25.0	12.7	21.1		532	
4/1/1961	24.9	12.7	20.9		542	
4/2/1961	24.7	12.7	20.8		544	
4/3/1961	24.6	12.7	20.7		539	
4/4/1961	24.4	12.8	20.6		551	
4/5/1961	26.1	12.2	18.9		453	
4/6/1961	26.1	12.2	18.9		453	
4/7/1961	26.1	12.2	18.9		453	
4/8/1961	26.1	11.1	20.2		418	
4/9/1961	26.1	11.1	20.2		418	
4/10/1961	26.1	11.1	20.2		418	
4/11/1961	26.1	11.1	20.2		418	
4/12/1961	26.1	17.2	21.1		462	
4/13/1961	26.1	17.2	21.1		462	
4/14/1961	26.1	17.2	21.1		462	
4/15/1961	26.1	17.2	21.1		462	
4/16/1961	26.1	17.2	21.1		462	
4/17/1961	27.2	12.8	20.0		462	
4/18/1961	24.5	13.6	20.9		454	
4/19/1961	24.6	13.8	20.9		450	
4/20/1961	24.6	13.9	20.9		452	
4/21/1961	24.6	14.0	20.9		455	
4/22/1961	24.6	14.1	20.9		450	
4/23/1961	24.6	14.1	21.1		461	
4/24/1961	24.7	14.2	21.2		466	
4/25/1961	24.7	14.1	21.3		473	
4/26/1961	24.7	14.0	21.3		474	
4/27/1961	24.7	13.9	21.4		479	
4/28/1961	24.7	13.8	21.4		485	
4/29/1961	24.7	13.7	21.4		482	
4/30/1961	24.8	13.7	21.5		478	
5/1/1961	24.8	13.7	21.6		475	
5/2/1961	24.9	13.6	21.6		470	
5/3/1961	24.9	13.6	21.6		456	
5/4/1961	25.0	13.7	21.6		445	
