Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/14/1961	35.6	26.1	32.5		156	
3/15/1961	36.1	25.0	30.3		231	
3/16/1961	36.7	25.6	31.7		276	
3/17/1961	37.2	23.9	31.9		249	
3/18/1961	37.2	24.4	31.9		240	
3/19/1961	35.0	26.1	30.9		178	
3/20/1961	36.1	25.6	31.2		302	
3/21/1961	37.2	25.0	32.4		302	
3/22/1961	36.7	24.4	32.0		240	
3/23/1961	37.8	26.1	32.7		320	
3/24/1961	35.6	22.2	30.6		231	
3/25/1961	35.6	25.6	31.6		231	
3/26/1961	36.1	25.6	31.4		222	
3/27/1961	36.7	24.4	31.4		169	
3/28/1961	37.2	26.1	32.3		196	
3/29/1961	36.7	26.7	32.8		293	
3/30/1961	37.8	26.1	32.9		231	
3/31/1961	37.2	26.7	32.9		240	
4/1/1961	37.2	26.1	31.8		347	
4/2/1961	36.7	26.1	32.3		187	
4/3/1961	37.2	26.7	32.8		293	
4/4/1961	37.2	27.2	33.1		240	
4/5/1961	37.2	26.1	32.9		267	
4/6/1961	35.6	26.7	31.7		249	
4/7/1961	35.6	23.9	30.7		204	
4/8/1961	34.4	22.8	28.4		231	
4/9/1961	34.4	25.0	30.1		107	
4/10/1961	35.6	25.6	31.9		249	
4/11/1961	29.4	25.6	27.7		196	
4/12/1961	33.9	24.4	30.1		133	
4/13/1961	32.2	24.4	28.9		267	
4/14/1961	35.6	25.6	31.2		124	
4/15/1961	36.1	23.9	31.6		169	
4/16/1961	34.4	25.0	30.7		151	
4/17/1961	35.6	25.0	31.4		187	
4/18/1961	35.0	23.9	30.1		169	
4/19/1961	35.6	26.7	31.6		240	
4/20/1961	30.6	25.6	27.3		231	
4/21/1961	33.9	23.3	29.8		116	
4/22/1961	33.9	23.9	30.1		160	
4/23/1961	35.0	24.4	31.0		222	
4/24/1961	35.6	25.6	30.8		231	
4/25/1961	35.0	25.0	30.6		293	
4/26/1961	34.4	25.6	30.0		231	
4/27/1961	35.6	25.6	31.3		249	
4/28/1961	35.6	25.6	31.6		347	
4/29/1961	33.9	23.9	29.9		356	
4/30/1961	35.6	23.3	30.7		320	
5/1/1961	36.1	25.0	31.4		311	
5/2/1961	35.6	25.6	31.4		347	
5/3/1961	36.1	25.6	31.7		373	
5/4/1961	35.6	25.6	30.1		382	
5/5/1961	35.0	25.0	31.0		356	
5/6/1961	35.6	24.4	31.2		391	
5/7/1961	35.6	23.3	30.7		507	
5/8/1961	35.6	24.4	30.7		556	
5/9/1961	35.6	23.3	30.4		409	
5/10/1961	35.6	24.4	30.8		316	
5/11/1961	35.0	25.0	31.4		418	
5/12/1961	36.1	25.0	31.4		498	
5/13/1961	36.7	25.6	32.3		418	
5/14/1961	36.1	25.6	32.0		409	
5/15/1961	36.7	25.6	32.0		493	
5/16/1961	36.1	25.6	31.6		453	
5/17/1961	36.7	25.6	31.6		502	
5/18/1961	35.6	25.0	31.2		365	
5/19/1961	36.7	25.0	31.6		507	
5/20/1961	36.1	25.0	31.2		556	
5/21/1961	35.6	26.1	31.4		538	
5/22/1961	35.6	24.4	31.0		427	
5/23/1961	35.0	24.4	31.2		445	
5/24/1961	35.6	24.4	31.0		516	
5/25/1961	33.3	25.0	29.9		427	
5/26/1961	34.4	24.4	30.0		489	
5/27/1961	33.9	25.0	30.2		565	
5/28/1961	34.4	23.3	29.8		551	
5/29/1961	32.8	23.9	29.6		480	
5/30/1961	33.3	22.8	29.3		480	
5/31/1961	32.2	23.3	28.3		453	
6/1/1961	32.2	22.8	29.0		480	
