Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/18/1963	32.2	23.9	27.7		160	
3/19/1963	32.2	22.8	27.2		111	
3/20/1963	32.2	22.8	27.2		111	
3/21/1963	28.9	25.0	26.9		133	
3/22/1963	31.1	25.0	28.7		347	
3/23/1963	31.1	25.0	28.7		347	
3/24/1963	32.2	27.2	28.9		365	
3/25/1963	32.2	27.2	28.9		365	
3/26/1963	32.2	27.2	28.9		365	
3/27/1963	32.2	26.1	28.9		253	
3/28/1963	31.1	25.0	27.5		178	
3/29/1963	31.1	25.0	28.0		222	
3/30/1963	31.1	25.0	28.0		222	
3/31/1963	31.1	27.2	28.8		302	
4/1/1963	31.1	27.2	28.8		302	
4/2/1963	31.1	27.2	28.8		302	
4/3/1963	31.1	27.2	28.8		302	
4/4/1963	31.1	27.2	28.8		302	
4/5/1963	31.1	27.2	28.8		302	
4/6/1963	31.1	25.0	27.8		164	
4/7/1963	30.0	25.0	27.2		111	
4/8/1963	28.9	25.0	26.9		31	
4/9/1963	28.9	25.0	26.9		31	
4/10/1963	28.9	25.0	26.9		31	
4/11/1963	28.9	25.0	26.9		31	
4/12/1963	28.9	25.0	26.9		31	
4/13/1963	28.9	25.0	26.9		31	
4/14/1963	28.9	25.0	26.9		31	
4/15/1963	28.9	25.0	26.9		31	
4/16/1963	28.9	25.0	26.9		31	
4/17/1963	28.9	25.0	26.9		31	
4/18/1963	31.1	23.9	27.8		293	
4/19/1963	31.1	23.9	27.8		293	
4/20/1963	31.1	23.9	27.8		293	
4/21/1963	31.1	23.9	27.8		293	
4/22/1963	28.9	23.9	26.8		356	
4/23/1963	28.9	23.9	26.8		356	
4/24/1963	26.1	22.8	24.7		542	
4/25/1963	29.9	24.5	27.2		382	
4/26/1963	29.8	24.5	27.2		385	
4/27/1963	29.8	24.4	27.1		388	
4/28/1963	29.8	24.4	27.1		388	
4/29/1963	29.7	24.4	27.0		389	
4/30/1963	29.7	24.4	26.9		391	
5/1/1963	29.7	24.3	27.0		398	
5/2/1963	29.7	24.3	27.0		399	
5/3/1963	29.6	24.3	27.0		403	
5/4/1963	29.5	24.3	26.9		401	
5/5/1963	29.5	24.2	26.9		403	
5/6/1963	29.4	24.2	26.9		404	
5/7/1963	29.4	24.2	26.8		404	
5/8/1963	29.3	24.1	26.8		409	
5/9/1963	29.3	24.1	26.7		415	
5/10/1963	29.3	24.1	26.7		416	
5/11/1963	29.2	24.1	26.6		421	
5/12/1963	29.2	24.0	26.6		422	
5/13/1963	27.8	23.9	25.6		258	
5/14/1963	29.2	23.9	26.5		423	
5/15/1963	29.1	23.9	26.4		425	
5/16/1963	29.1	23.8	26.4		426	
5/17/1963	29.1	23.8	26.4		421	
5/18/1963	29.0	23.8	26.3		419	
