Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	26.1	18.3	22.7		169	
1/2/1957	26.7	17.8	22.8		196	
1/3/1957	25.0	18.9	22.0		324	
1/4/1957	25.6	18.3	22.1		227	
1/5/1957	25.6	17.8	22.8		373	
1/6/1957	25.6	17.8	21.3		285	
1/7/1957	24.4	18.3	21.7		213	
1/8/1957	26.1	18.3	22.4		298	
1/9/1957	27.2	16.1	23.4		213	
1/10/1957	28.3	16.7	24.0		169	
1/11/1957	27.8	16.7	23.0		213	
1/12/1957	26.7	16.1	22.1		324	
1/13/1957	25.6	16.7	21.4		253	
1/14/1957	25.6	18.3	22.2		484	
1/15/1957	25.6	18.9	22.8		311	
1/16/1957	25.6	17.2	21.9		213	
1/17/1957	27.2	18.3	23.4		213	
1/18/1957	28.3	17.8	24.0		329	
1/19/1957	30.0	16.7	24.6		253	
1/20/1957	30.0	16.1	24.6		213	
1/21/1957	28.3	17.2	24.8		213	
1/22/1957	28.9	16.1	23.9		156	
1/23/1957	31.1	18.9	26.7		267	
1/24/1957	29.4	17.8	24.1		311	
1/25/1957	23.9	18.9	21.6		124	
1/26/1957	26.1	18.9	23.2		116	
1/27/1957	26.7	17.2	22.6		142	
1/28/1957	26.7	18.9	23.3		156	
1/29/1957	26.1	18.3	22.3		213	
1/30/1957	26.1	19.4	22.3		231	
1/31/1957	26.7	19.4	23.9		156	
2/1/1957	29.4	18.9	24.9		142	
2/2/1957	28.3	17.8	24.0		142	
2/3/1957	29.4	18.9	24.9		169	
2/4/1957	30.0	18.9	23.9		285	
2/5/1957	25.0	18.9	22.3		285	
2/6/1957	26.1	18.3	22.2		298	
2/7/1957	30.0	18.9	24.8		329	
2/8/1957	26.7	19.4	23.3		324	
2/9/1957	27.2	19.4	23.1		285	
2/10/1957	28.3	18.9	23.3		240	
2/11/1957	30.0	20.0	25.6		213	
2/12/1957	28.3	18.9	23.9		285	
2/13/1957	28.9	16.1	23.4		347	
2/14/1957	29.4	17.2	24.0		302	
2/15/1957	29.4	13.3	23.0		400	
2/16/1957	31.1	13.9	25.3		342	
2/17/1957	31.1	18.9	25.9		445	
2/18/1957	30.6	17.8	24.7		342	
2/19/1957	26.7	17.8	23.3		458	
2/20/1957	26.1	17.8	22.8		529	
2/21/1957	28.9	16.1	23.8		285	
2/22/1957	29.4	13.9	23.7		329	
