Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/21/1975	27.0	12.0	21.4		267	
3/22/1975	26.0	13.0	21.8		400	
3/23/1975	26.0	13.0	21.8		400	
3/24/1975	25.0	13.0	18.6		231	
3/25/1975	26.0	15.0	18.5		320	
3/26/1975	27.0	8.0	16.2		178	
3/27/1975	29.0	11.0	20.7		311	
3/28/1975	29.0	11.0	20.7		311	
3/29/1975	29.0	11.0	20.7		311	
3/30/1975	29.0	11.0	20.7		311	
3/31/1975	29.0	11.0	20.7		311	
4/1/1975	29.0	11.0	20.7		311	
4/2/1975	29.0	11.0	20.7		311	
4/3/1975	25.0	13.0	19.3		333	
4/4/1975	22.0	14.0	17.5		302	
4/5/1975	25.0	12.0	19.5		302	
4/6/1975	24.0	12.0	19.5		378	
4/7/1975	26.0	15.0	20.8		378	
4/8/1975	26.0	14.0	20.6		320	
4/9/1975	26.0	14.0	20.6		320	
4/10/1975	26.0	17.0	19.8		320	
4/11/1975	26.0	15.0	20.3		320	
4/12/1975	24.0	16.0	19.3		378	
4/13/1975	25.0	13.0	20.2		365	
4/14/1975	25.0	13.0	20.2		365	
4/15/1975	25.0	13.0	20.2		365	
4/16/1975	25.0	13.0	20.2		365	
4/17/1975	25.0	13.0	20.2		365	
4/18/1975	25.0	13.0	20.2		365	
4/19/1975	29.0	15.0	21.0		267	
4/20/1975	29.0	15.0	21.0		267	
4/21/1975	29.0	15.0	21.0		267	
4/22/1975	24.0	12.0	19.5		311	
4/23/1975	22.0	15.0	18.0		356	
4/24/1975	22.0	14.0	18.4		293	
4/25/1975	22.0	14.0	18.4		293	
4/26/1975	23.0	14.0	18.2		333	
4/27/1975	23.0	14.0	18.2		333	
4/28/1975	23.0	14.0	18.2		333	
4/29/1975	24.0	12.0	17.2		311	
4/30/1975	24.0	12.0	17.2		311	
5/1/1975	24.0	12.0	18.2		213	
5/2/1975	24.0	14.0	19.5		373	
5/3/1975	25.0	15.0	19.3		298	
5/4/1975	24.0	14.0	19.6		493	
5/5/1975	24.0	14.0	19.6		493	
5/6/1975	24.0	14.0	19.6		493	
5/7/1975	24.0	14.0	19.6		493	
5/8/1975	24.0	14.0	19.6		493	
5/9/1975	24.0	14.0	19.6		493	
5/10/1975	24.0	14.0	19.6		493	
5/11/1975	24.0	14.0	19.6		493	
5/12/1975	23.0	13.0	17.8		356	
5/13/1975	24.0	12.0	18.2		231	
5/14/1975	24.0	12.0	18.2		231	
5/15/1975	24.0	12.0	18.2		231	
5/16/1975	20.0	14.0	16.5		280	
5/17/1975	21.0	14.0	17.5		511	
5/18/1975	21.0	14.0	16.5		453	
