Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	WindSp (km/day)	
1/30/1985	23.0	17.0	19.5	365	
1/31/1985	28.0	15.0	20.0	271	
2/1/1985	26.0	18.0	22.6	356	
2/2/1985	27.0	22.0	25.3	391	
2/3/1985	25.0	15.0	18.7	80	
2/4/1985	25.0	15.0	19.4	160	
2/5/1985	24.0	13.0	19.0	62	
2/6/1985	20.0	15.0	17.8	133	
2/7/1985	21.0	16.0	18.8	151	
2/8/1985	20.0	15.0	16.5	222	
2/9/1985	20.0	15.0	16.5	222	
2/10/1985	17.0	14.0	15.1	31	
2/11/1985	23.0	16.0	19.4	80	
2/12/1985	24.0	15.0	17.8	44	
2/13/1985	18.0	16.0	17.0	44	
2/14/1985	26.0	14.0	19.3	102	
2/15/1985	26.0	13.0	21.3	267	
2/16/1985	26.0	14.0	21.9	271	
2/17/1985	26.0	17.0	21.5	147	
2/18/1985	23.0	16.0	19.6	147	
2/19/1985	23.0	16.0	18.8	160	
2/20/1985	23.0	15.0	19.8	249	
2/21/1985	25.0	17.0	21.3	151	
2/22/1985	24.0	15.0	19.8	244	
2/23/1985	24.0	15.0	20.7	222	
2/24/1985	25.0	17.0	20.5	253	
2/25/1985	25.0	15.0	20.6	356	
2/26/1985	25.0	19.0	22.3	311	
2/27/1985	29.0	16.0	21.5	236	
2/28/1985	24.0	15.0	20.1	320	
3/1/1985	24.0	15.0	19.8	324	
3/2/1985	24.0	16.0	20.6	316	
3/3/1985	23.0	9.0	16.1	138	
3/4/1985	25.0	10.0	17.1	191	
3/5/1985	24.0	12.0	20.6	542	
3/6/1985	23.0	15.0	19.3	511	
3/7/1985	23.0	14.0	17.9	471	
3/8/1985	25.0	14.0	18.3	489	
3/9/1985	25.0	15.0	19.8	533	
3/10/1985	25.0	15.0	19.8	533	
3/11/1985	25.0	15.0	19.8	533	
3/12/1985	26.0	14.0	19.6	404	
3/13/1985	25.0	12.0	19.2	404	
3/14/1985	26.0	12.0	21.1	307	
3/15/1985	27.0	11.0	19.3	178	
3/16/1985	27.0	16.0	21.7	369	
3/17/1985	28.0	16.0	22.3	333	
3/18/1985	26.0	16.0	19.4	360	
3/19/1985	26.0	17.0	18.9	302	
3/20/1985	22.0	16.0	18.2	107	
3/21/1985	25.0	16.0	20.5	280	
3/22/1985	25.0	16.0	20.5	280	
3/23/1985	23.0	15.0	19.0	271	
3/24/1985	22.0	15.0	19.0	196	
3/25/1985	22.0	16.0	18.6	98	
3/26/1985	25.0	17.0	20.3	280	
3/27/1985	21.0	16.0	18.7	244	
3/28/1985	21.0	19.0	19.8	102	
3/29/1985	21.0	16.0	18.7	258	
3/30/1985	23.0	16.0	19.3	196	
3/31/1985	22.0	16.0	18.5	62	
4/1/1985	25.0	15.0	20.1	191	
4/2/1985	23.0	16.0	18.6	369	
4/3/1985	23.0	19.0	21.5	360	
4/4/1985	24.0	16.0	21.0	258	
4/5/1985	23.0	16.0	19.1	227	
4/6/1985	24.0	17.0	21.1	316	
4/7/1985	25.0	16.0	20.4	191	
4/8/1985	23.0	16.0	18.2	244	
4/9/1985	25.0	15.0	19.1	84	
4/10/1985	23.0	15.0	19.1	129	
4/11/1985	23.0	16.0	20.5	258	
4/12/1985	24.0	15.0	18.4	36	
4/13/1985	23.0	15.0	18.6	27	
4/14/1985	22.0	15.0	17.8	129	
4/15/1985	21.0	15.0	17.2	142	
4/16/1985	21.0	15.0	17.2	142	
4/17/1985	21.0	14.0	16.6	124	
4/18/1985	21.0	14.0	16.6	124	
4/19/1985	21.0	14.0	16.6	124	
4/20/1985	24.0	17.0	20.1	231	
4/21/1985	21.0	16.0	18.4	262	
4/22/1985	21.0	14.0	18.6	160	
4/23/1985	22.0	13.0	18.8	204	
4/24/1985	23.0	15.0	18.8	213	
4/25/1985	23.0	15.0	18.8	213	
4/26/1985	21.0	16.0	19.0	222	
4/27/1985	21.0	15.0	18.3	253	
4/28/1985	21.0	15.0	17.7	191	
4/29/1985	22.0	15.0	18.9	249	
4/30/1985	21.0	15.0	17.8	289	
5/1/1985	20.0	15.0	17.1	276	
5/2/1985	21.0	15.0	17.7	356	
5/3/1985	18.0	14.0	16.2	160	
5/4/1985	19.0	16.0	17.6	213	
5/5/1985	19.0	15.0	17.7	387	
5/6/1985	19.0	15.0	17.7	387	
5/7/1985	22.0	18.0	19.4	116	
5/8/1985	24.0	15.0	19.8	227	
5/9/1985	23.0	16.0	19.3	244	
5/10/1985	22.0	15.0	17.7	151	
5/11/1985	19.0	17.0	18.0	222	
5/12/1985	23.0	15.0	18.2	138	
5/13/1985	23.0	16.0	19.5	253	
5/14/1985	23.0	17.0	20.9	236	
5/15/1985	23.0	14.0	18.6	240	
5/16/1985	23.0	14.0	15.0	133	
5/17/1985	21.0	14.0	19.2	244	
5/18/1985	22.0	15.0	17.7	151	
5/19/1985	23.0	15.0	17.7	213	
5/20/1985	21.0	14.0	17.8	147	
5/21/1985	21.0	18.0	19.3	80	
5/22/1985	22.0	15.0	17.7	138	
5/23/1985	15.0	14.0	14.7	138	
5/24/1985	21.0	15.0	17.4	227	
5/25/1985	20.0	15.0	17.3	231	
5/26/1985	21.0	16.0	18.6	169	
5/27/1985	23.0	14.0	18.7	178	
5/28/1985	20.0	14.0	16.7	31	
5/29/1985	20.0	13.0	16.6	129	
5/30/1985	19.0	14.0	17.4	116	
5/31/1985	21.0	13.0	16.8	116	
6/1/1985	15.0	13.0	14.2	116	
6/2/1985	15.0	13.0	14.2	116	
6/3/1985	19.0	14.0	16.1	111	
6/4/1985	20.0	16.0	18.0	164	
6/5/1985	21.0	13.0	17.2	160	
6/6/1985	23.0	17.0	20.0	249	
6/7/1985	21.0	16.0	19.3	124	
6/8/1985	21.0	9.0	14.3	98	
6/9/1985	29.0	15.0	19.0	169	
6/10/1985	22.0	14.0	18.0	222	
6/11/1985	24.0	19.0	22.0	258	
6/12/1985	23.0	15.0	18.6	258	
6/13/1985	23.0	11.0	17.1	111	
6/14/1985	23.0	15.0	18.4	138	
6/15/1985	15.0	13.0	14.3	138	
6/16/1985	15.0	13.0	14.3	138	
6/17/1985	22.0	10.0	16.0	76	
6/18/1985	18.0	14.0	15.7	182	
6/19/1985	18.0	14.0	15.7	182	
6/20/1985	18.0	14.0	15.7	182	
6/21/1985	18.0	14.0	15.7	182	
6/22/1985	18.0	14.0	15.7	182	
6/23/1985	21.0	8.0	14.5	267	
6/24/1985	21.0	13.0	17.2	133	
6/25/1985	21.0	13.0	17.1	107	
6/26/1985	20.0	13.0	16.9	196	
6/27/1985	20.0	14.0	16.6	107	
6/28/1985	16.0	13.0	13.4	151	
6/29/1985	19.0	13.0	15.1	182	
6/30/1985	17.0	16.0	16.5	267	
7/1/1985	20.0	12.0	16.2	267	
7/2/1985	20.0	12.0	16.9	204	
7/3/1985	19.0	14.0	16.3	160	
7/4/1985	22.0	13.0	15.9	236	
7/5/1985	20.0	12.0	14.9	253	
7/6/1985	21.0	13.0	15.3	160	
7/7/1985	21.0	13.0	15.3	160	
7/8/1985	22.0	12.0	17.0	253	
7/9/1985	22.0	13.0	15.8	151	
7/10/1985	18.0	12.0	14.5	173	
7/11/1985	21.0	13.0	17.8	196	
7/12/1985	22.0	9.0	13.8	80	
7/13/1985	19.0	9.0	13.6	49	
7/14/1985	17.0	13.0	14.2	142	
7/15/1985	20.0	12.0	14.2	124	
7/16/1985	20.0	12.0	15.6	98	
7/17/1985	20.0	11.0	14.5	80	
7/18/1985	21.0	9.0	14.3	116	
7/19/1985	22.0	13.0	18.2	293	
7/20/1985	17.0	14.0	15.8	240	
7/21/1985	19.0	14.0	17.0	200	
7/22/1985	23.0	8.0	16.3	204	
7/23/1985	22.0	18.0	20.0	236	
7/24/1985	22.0	18.0	20.0	236	
7/25/1985	21.0	14.0	17.8	76	
7/26/1985	21.0	14.0	17.8	76	
7/27/1985	18.0	13.0	15.7	58	
7/28/1985	18.0	13.0	15.7	58	
7/29/1985	18.0	13.0	15.7	58	
7/30/1985	18.0	13.0	15.7	58	
7/31/1985	17.0	14.0	15.3	58	
8/1/1985	19.0	14.0	17.1	116	
8/2/1985	18.0	16.0	16.8	133	
8/3/1985	21.0	12.0	17.5	231	
8/4/1985	21.0	15.0	18.1	378	
8/5/1985	21.0	15.0	18.1	378	
8/6/1985	24.0	6.0	18.4	187	
8/7/1985	23.0	15.0	19.5	200	
8/8/1985	20.0	18.0	19.0	111	
8/9/1985	17.0	13.0	15.0	111	
8/10/1985	19.0	14.0	16.8	124	
8/11/1985	19.0	14.0	16.7	213	
8/12/1985	21.0	12.0	17.0	124	
8/13/1985	17.0	14.0	16.0	231	
8/14/1985	20.0	14.0	17.0	142	
8/15/1985	20.0	14.0	17.0	142	
8/16/1985	22.0	12.0	17.4	249	
8/17/1985	23.0	13.0	17.5	169	
8/18/1985	23.0	13.0	17.5	169	
8/19/1985	21.0	12.0	16.8	173	
8/20/1985	22.0	11.0	16.2	285	
8/21/1985	18.0	11.0	13.9	182	
8/22/1985	19.0	14.0	15.6	120	
8/23/1985	17.0	13.0	14.9	93	
8/24/1985	19.0	13.0	17.0	307	
8/25/1985	20.0	13.0	18.0	169	
8/26/1985	21.0	13.0	16.8	89	
8/27/1985	19.0	11.0	15.8	276	
8/28/1985	19.0	16.0	17.2	222	
8/29/1985	21.0	12.0	16.7	124	
8/30/1985	24.0	12.0	18.3	271	
8/31/1985	23.0	12.0	18.6	249	
9/1/1985	20.0	15.0	17.5	187	
9/2/1985	17.0	13.0	15.6	133	
9/3/1985	23.0	13.0	18.4	244	
9/4/1985	23.0	12.0	17.5	120	
9/5/1985	25.0	15.0	19.6	147	
9/6/1985	23.0	15.0	22.0	231	
9/7/1985	19.0	13.0	16.6	164	
9/8/1985	21.0	16.0	19.0	276	
9/9/1985	18.0	13.0	16.2	244	
9/10/1985	21.0	13.0	16.5	169	
9/11/1985	24.0	13.0	18.7	124	
9/12/1985	27.0	13.0	19.8	293	
9/13/1985	27.0	13.0	19.8	293	
9/14/1985	25.0	13.0	21.2	276	
9/15/1985	25.0	14.0	19.5	191	
9/16/1985	25.0	19.0	22.0	307	
9/17/1985	21.0	16.0	18.4	222	
9/18/1985	23.0	14.0	17.8	156	
9/19/1985	25.0	14.0	19.4	204	
