Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	25.0	15.0	18.9		409	
1/2/1957	25.0	15.0	19.0		409	
1/3/1957	23.9	15.0	17.3		382	
1/4/1957	21.7	13.9	16.5		333	
1/5/1957	24.4	13.9	18.9		369	
1/6/1957	24.4	14.4	18.9		356	
1/7/1957	24.4	15.0	19.0		373	
1/8/1957	24.4	12.8	18.7		409	
1/9/1957	26.1	10.6	18.8		347	
1/10/1957	26.7	10.6	19.8		307	
1/11/1957	26.7	11.7	19.5		320	
1/12/1957	26.7	11.7	19.4		373	
1/13/1957	26.7	11.7	18.7		422	
1/14/1957	23.9	13.3	17.8		440	
1/15/1957	24.4	11.7	17.9		440	
1/16/1957	25.0	11.7	18.1		351	
1/17/1957	26.1	11.1	19.6		400	
1/18/1957	28.3	11.1	20.9		298	
1/19/1957	28.3	14.4	21.2		293	
1/20/1957	28.9	13.9	21.1		289	
1/21/1957	28.9	13.9	21.3		342	
1/22/1957	30.6	14.4	21.8		231	
1/23/1957	30.6	14.4	20.8		311	
1/24/1957	28.9	15.6	19.3		267	
1/25/1957	25.6	15.6	17.6		173	
1/26/1957	23.3	15.6	18.8		302	
1/27/1957	23.3	13.3	18.4		231	
1/28/1957	25.6	13.3	19.3		302	
1/29/1957	25.6	15.0	17.4		178	
1/30/1957	24.4	15.0	18.3		213	
1/31/1957	24.4	15.0	18.1		187	
2/1/1957	25.6	15.0	19.7		244	
2/2/1957	25.6	14.4	18.6		253	
2/3/1957	26.1	13.9	19.1		280	
2/4/1957	26.1	13.9	18.5		182	
2/5/1957	23.9	15.6	18.3		227	
2/6/1957	23.3	13.9	18.3		316	
2/7/1957	23.9	12.8	18.1		316	
2/8/1957	23.9	12.8	18.2		298	
2/9/1957	23.9	12.8	18.3		271	
2/10/1957	25.0	12.8	18.2		289	
2/11/1957	26.7	12.8	19.8		213	
2/12/1957	26.7	12.8	19.2		324	
2/13/1957	25.6	12.2	18.6		360	
2/14/1957	25.0	10.6	17.8		342	
2/15/1957	25.6	10.0	18.2		338	
2/16/1957	27.2	10.0	19.4		285	
2/17/1957	27.2	11.7	20.7		333	
2/18/1957	27.2	13.3	20.5		307	
2/19/1957	27.2	13.3	19.7		449	
2/20/1957	25.6	13.9	18.5		400	
2/21/1957	26.1	12.8	19.4		347	
2/22/1957	26.1	12.8	19.3		365	
2/23/1957	25.0	14.4	18.1		431	
2/24/1957	23.9	12.2	17.9		373	
2/25/1957	24.4	12.2	17.4		369	
2/26/1957	26.1	12.2	18.7		333	
2/27/1957	26.1	11.7	18.5		324	
2/28/1957	26.1	11.7	20.1		338	
3/1/1957	26.1	15.6	18.1		311	
3/2/1957	25.6	15.0	19.4		347	
3/3/1957	25.6	15.0	17.7		404	
3/4/1957	23.9	15.6	18.1		418	
3/5/1957	23.9	13.3	17.6		333	
3/6/1957	26.7	11.1	18.9		316	
3/7/1957	26.7	11.1	20.0		387	
3/8/1957	27.2	12.2	19.6		342	
3/9/1957	27.2	12.2	19.6		342	
3/10/1957	25.6	15.6	19.2		289	
3/11/1957	25.0	15.0	17.1		267	
3/12/1957	24.4	13.3	19.0		271	
3/13/1957	27.2	13.3	20.4		351	
3/14/1957	27.2	13.9	20.1		365	
3/15/1957	27.8	13.9	20.8		387	
3/16/1957	27.8	12.8	20.6		373	
3/17/1957	27.8	12.8	19.2		342	
3/18/1957	26.1	14.4	18.7		489	
3/19/1957	23.9	13.9	18.7		440	
3/20/1957	23.9	13.9	18.3		369	
3/21/1957	25.0	15.0	18.8		400	
3/22/1957	25.0	13.9	18.9		427	
3/23/1957	26.7	12.8	19.1		365	
3/24/1957	26.7	12.8	20.3		311	
3/25/1957	26.7	15.6	20.7		320	
3/26/1957	27.2	16.7	20.9		302	
3/27/1957	27.8	16.7	20.6		400	
3/28/1957	27.8	15.0	19.8		316	
3/29/1957	26.1	14.4	19.1		338	
3/30/1957	25.6	14.4	20.1		369	
3/31/1957	26.1	15.0	20.1		409	
4/1/1957	26.7	15.6	20.4		356	
4/2/1957	28.3	13.9	20.8		342	
4/3/1957	28.3	13.9	20.3		298	
4/4/1957	27.2	15.0	20.6		391	
4/5/1957	26.1	16.1	20.4		333	
4/6/1957	25.6	16.1	20.4		333	
4/7/1957	26.7	15.0	20.7		360	
4/8/1957	27.2	15.0	21.2		387	
4/9/1957	27.2	14.4	19.7		404	
4/10/1957	26.1	14.4	20.3		382	
4/11/1957	26.7	15.6	20.9		333	
4/12/1957	26.7	16.1	20.7		365	
4/13/1957	25.6	15.0	18.3		351	
4/14/1957	25.0	14.4	18.6		271	
4/15/1957	25.0	14.4	18.7		302	
4/16/1957	24.4	15.6	18.7		369	
4/17/1957	23.9	16.1	18.4		351	
4/18/1957	24.4	15.0	19.0		338	
4/19/1957	25.0	14.4	19.2		356	
4/20/1957	26.7	14.4	19.7		307	
4/21/1957	26.7	15.6	19.2		373	
4/22/1957	23.9	15.6	18.1		271	
4/23/1957	22.8	15.6	18.0		249	
4/24/1957	25.0	15.6	19.2		320	
4/25/1957	25.0	15.6	19.6		280	
4/26/1957	25.0	15.6	17.9		289	
4/27/1957	22.8	15.6	18.5		267	
4/28/1957	24.4	15.6	18.9		276	
4/29/1957	24.4	15.6	18.9		324	
