Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
3/3/1964	22.8	16.1	19.2		351	
3/4/1964	25.0	15.0	21.3		285	
3/5/1964	26.1	17.2	21.8		356	
3/6/1964	26.1	18.9	23.2		524	
3/7/1964	26.1	18.9	23.2		524	
3/8/1964	26.1	18.9	23.2		524	
3/9/1964	27.2	17.2	22.7		329	
3/10/1964	26.1	16.1	20.7		244	
3/11/1964	26.1	16.1	20.7		244	
3/12/1964	27.2	12.8	20.0		289	
3/13/1964	27.2	12.8	20.0		289	
3/14/1964	27.2	12.8	20.0		289	
3/15/1964	27.2	12.8	20.0		289	
3/16/1964	27.2	16.1	21.8		253	
3/17/1964	26.3	16.1	21.7		411	
3/18/1964	26.3	16.1	21.7		408	
3/19/1964	26.3	15.8	21.6		404	
3/20/1964	26.2	15.8	21.6		401	
3/21/1964	26.1	15.8	21.4		394	
3/22/1964	26.1	15.7	21.4		391	
3/23/1964	25.9	15.7	21.3		384	
3/24/1964	25.9	15.8	21.3		386	
3/25/1964	25.8	15.8	21.3		391	
3/26/1964	25.8	15.8	21.3		391	
3/27/1964	25.7	15.8	21.1		382	
3/28/1964	25.6	15.9	21.1		376	
3/29/1964	25.5	15.9	20.9		371	
3/30/1964	25.4	16.1	21.0		368	
3/31/1964	25.4	16.2	20.9		364	
4/1/1964	22.8	17.2	20.2		222	
4/2/1964	25.3	16.2	20.9		351	
4/3/1964	25.2	16.3	20.8		346	
4/4/1964	25.0	16.2	20.7		338	
4/5/1964	24.9	16.3	20.7		331	
4/6/1964	24.8	16.3	20.7		340	
4/7/1964	24.8	16.3	20.8		341	
4/8/1964	24.8	16.2	20.7		342	
4/9/1964	24.6	16.2	20.6		339	
4/10/1964	24.6	16.1	20.6		337	
4/11/1964	24.5	16.1	20.5		331	
4/12/1964	24.5	16.1	20.4		332	
4/13/1964	24.4	16.1	20.4		333	
4/14/1964	24.4	16.2	20.4		329	
4/15/1964	24.4	16.1	20.4		316	
4/16/1964	23.9	17.2	20.1		276	
4/17/1964	23.9	17.2	20.1		276	
4/18/1964	23.9	17.2	20.1		276	
4/19/1964	23.9	17.2	20.1		276	
4/20/1964	23.9	17.2	20.1		276	
4/21/1964	23.9	17.2	20.1		276	
4/22/1964	23.9	17.2	20.1		276	
4/23/1964	23.9	17.2	20.1		276	
4/24/1964	22.2	16.1	19.4		111	
4/25/1964	23.5	15.9	19.9		270	
4/26/1964	23.3	15.9	19.8		264	
4/27/1964	23.3	15.9	19.7		258	
4/28/1964	23.2	15.9	19.7		254	
4/29/1964	23.2	15.9	19.7		255	
4/30/1964	23.3	15.9	19.7		257	
5/1/1964	23.3	15.9	19.7		258	
5/2/1964	23.4	15.9	19.8		261	
5/3/1964	23.5	15.9	19.8		255	
5/4/1964	23.6	15.9	19.9		256	
5/5/1964	23.6	15.9	19.9		254	
5/6/1964	23.6	15.9	19.9		253	
5/7/1964	23.6	15.9	19.9		254	
5/8/1964	23.5	15.8	19.9		254	
5/9/1964	23.5	15.7	19.9		253	
5/10/1964	23.5	15.6	19.8		251	
5/11/1964	23.5	15.4	19.8		252	
5/12/1964	23.4	15.3	19.8		257	
5/13/1964	23.4	15.2	19.7		256	
5/14/1964	22.2	13.9	17.8		102	
5/15/1964	22.2	13.9	17.8		102	
5/16/1964	22.2	13.9	17.8		102	
5/17/1964	22.2	13.9	17.8		102	
5/18/1964	23.9	13.9	19.0		58	
5/19/1964	23.9	13.9	19.0		58	
5/20/1964	23.9	13.9	19.0		58	
5/21/1964	22.2	13.9	18.6		213	
5/22/1964	22.2	15.0	18.9		387	
5/23/1964	22.2	15.0	18.9		387	
5/24/1964	22.2	15.0	18.9		387	
5/25/1964	22.2	15.0	18.9		387	
5/26/1964	22.2	15.0	18.9		387	
5/27/1964	22.2	15.0	18.9		387	
5/28/1964	22.2	15.0	18.9		387	
5/29/1964	22.2	15.0	18.9		387	
5/30/1964	22.2	15.0	18.9		387	
5/31/1964	22.2	15.0	18.9		387	
6/1/1964	22.2	15.0	18.9		387	
6/2/1964	21.1	13.9	17.8		280	
6/3/1964	21.1	13.9	17.8		280	
6/4/1964	21.1	13.9	17.8		280	
6/5/1964	21.1	13.9	17.8		280	
6/6/1964	21.1	13.9	17.8		280	
6/7/1964	21.1	13.9	17.8		280	
6/8/1964	21.1	13.9	17.8		280	
6/9/1964	21.1	13.9	17.8		280	
6/10/1964	21.1	13.9	17.8		280	
6/11/1964	22.2	13.9	17.2		44	
6/12/1964	22.2	13.7	18.1		199	
6/13/1964	22.0	13.6	18.0		198	
6/14/1964	21.8	13.4	17.8		195	
6/15/1964	21.7	13.4	17.7		193	
6/16/1964	21.6	13.4	17.6		192	
6/17/1964	21.6	13.3	17.6		193	
6/18/1964	21.7	13.3	17.7		193	
6/19/1964	21.7	13.2	17.7		196	
6/20/1964	21.8	13.1	17.7		196	
6/21/1964	21.8	13.0	17.7		200	
6/22/1964	21.9	13.1	17.7		199	
6/23/1964	21.9	13.1	17.8		199	
6/24/1964	21.9	12.9	17.8		197	
6/25/1964	21.9	12.7	17.8		195	
6/26/1964	21.9	12.7	17.8		192	
6/27/1964	21.9	12.7	17.7		194	
6/28/1964	21.8	12.7	17.7		194	
6/29/1964	21.7	12.7	17.6		192	
6/30/1964	21.7	12.7	17.6		189	
7/1/1964	21.7	12.7	17.6		188	
7/2/1964	21.7	12.7	17.7		190	
7/3/1964	21.8	12.7	17.7		192	
7/4/1964	21.7	12.8	17.7		195	
7/5/1964	21.7	12.8	17.7		195	
7/6/1964	21.7	12.7	17.7		194	
7/7/1964	21.6	12.6	17.6		193	
7/8/1964	21.5	12.7	17.6		194	
7/9/1964	21.3	12.6	17.4		198	
7/10/1964	21.1	8.9	15.2		178	
7/11/1964	21.1	8.9	15.2		178	
7/12/1964	21.1	8.9	15.2		178	
7/13/1964	21.1	8.9	15.2		178	
7/14/1964	21.1	8.9	15.2		178	
7/15/1964	17.8	12.8	16.4		222	
