Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
4/3/2003	24.8	11.0	18.6	0	453	
4/4/2003	24.8	11.0	18.6		453	
4/5/2003	25.8	11.4	18.8	0	347	
4/6/2003	25.8	11.4	18.8		347	
4/7/2003	31.3	10.7	18.6	0	422	
4/8/2003	26.5	11.4	18.7	0	378	
4/9/2003	26.5	11.4	18.7		378	
4/10/2003	26.5	11.4	18.7		378	
4/11/2003	26.5	11.4	18.7		378	
4/12/2003	27.8	12.5	20.9		276	
4/13/2003	27.8	12.5	20.9		276	
4/14/2003	27.8	12.5	20.9		276	
4/15/2003	27.8	12.5	20.9		276	
4/16/2003	21.7	14.6	15.9	1.3970	156	
4/17/2003	25.3	12.5	17.9	0.4064	222	
4/18/2003	22.8	12.7	17.6	0.1016	253	
4/19/2003	22.7	11.6	16.7	0.4064	142	
4/20/2003	23.7	13.5	17.7	0.1016	213	
4/21/2003	23.1	13.6	17.6	0.4064	231	
4/22/2003	20.1	13.5	15.6	3.6068	133	
4/23/2003	20.7	12.1	15.2	1.2954	133	
4/24/2003	20.7	12.1	15.2		133	
4/25/2003	24.4	11.4	17.8	3.4036	369	
4/26/2003	24.4	11.4	17.8		369	
4/27/2003	22.8	13.5	15.1	1.7018	276	
4/28/2003	22.8	13.5	15.1		276	
4/29/2003	21.6	11.9	13.7	1.4986	231	
4/30/2003	21.1	13.1	16.0	1.0922	120	
5/1/2003	21.1	13.1	16.0		120	
5/2/2003	22.8	14.0	17.2		200	
5/3/2003	22.0	14.8	16.6		178	
5/4/2003	22.0	14.8	16.6		178	
5/5/2003	22.0	14.8	16.6		178	
5/6/2003	20.0	13.7	16.8	1.2954	213	
5/7/2003	20.0	13.7	16.8		213	
5/8/2003	20.0	13.7	16.8		213	
5/9/2003	20.0	13.7	16.8		213	
5/10/2003	20.0	13.7	16.8		213	
5/11/2003	24.0	14.6	18.0	0.0254	209	
5/12/2003	24.2	13.4	16.5	0	227	
5/13/2003	24.6	14.4	17.9	2.4892	213	
5/14/2003	24.6	14.4	17.9		213	
5/15/2003	23.3	12.2	13.7	0.2032	133	
5/16/2003	23.3	12.2	13.7		133	
5/17/2003	22.7	13.3	17.3	1.2954	267	
5/18/2003	23.0	10.9	16.4	0	280	
5/19/2003	24.3	9.0	17.2	0	258	
5/20/2003	23.6	11.5	17.9	0.0762	267	
5/21/2003	24.6	9.5	17.1	0	302	
5/22/2003	24.4	11.5	17.3	0.0508	276	
5/23/2003	24.2	11.1	17.4	0	280	
5/24/2003	24.5	13.3	17.5	0.0508	280	
5/25/2003	23.6	10.3	17.2	0.0508	200	
5/26/2003	23.7	10.2	18.4	0.2032	280	
5/27/2003	24.5	10.8	18.1	0	373	
5/28/2003	23.8	9.8	17.2	0.1016	373	
5/29/2003	23.8	9.8	17.2		373	
5/30/2003	23.8	9.8	17.2		373	
5/31/2003	23.8	9.8	17.2		373	
6/1/2003	23.2	12.0	16.3	0.8890	222	
6/2/2003	22.8	11.0	16.9	0.6096	267	
6/3/2003	23.7	10.3	16.2	0	151	
6/4/2003	23.7	10.3	16.2		151	
6/5/2003	23.7	10.3	16.2		151	
6/6/2003	23.7	10.3	16.2		151	
6/7/2003	23.7	10.3	16.2		151	
6/8/2003	23.7	10.3	16.2		151	
