Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	23.9	9.4	18.6		267	
1/2/1957	26.7	11.1	21.1		400	
1/3/1957	23.9	11.7	19.7		400	
1/4/1957	24.4	10.6	20.3		400	
1/5/1957	25.0	11.1	18.6		311	
1/6/1957	24.4	10.0	18.3		356	
1/7/1957	25.0	12.2	20.4		356	
1/8/1957	25.0	8.3	20.6		440	
1/9/1957	25.0	8.3	19.6		445	
1/10/1957	26.1	9.4	20.4		445	
1/11/1957	26.1	8.9	20.1		400	
1/12/1957	25.6	8.9	20.7		227	
1/13/1957	25.0	7.8	18.6		365	
1/14/1957	25.6	8.3	20.4		311	
1/15/1957	27.2	9.4	21.0		311	
1/16/1957	27.8	8.3	20.8		400	
1/17/1957	27.2	7.2	20.7		445	
1/18/1957	28.9	8.9	22.2		227	
1/19/1957	25.0	10.0	18.8		227	
1/20/1957	25.0	7.2	19.1		267	
1/21/1957	25.6	8.3	19.3		445	
1/22/1957	24.4	10.0	18.7		445	
1/23/1957	22.2	10.0	16.4		267	
1/24/1957	24.4	10.6	19.8		311	
1/25/1957	26.7	8.9	18.8		356	
1/26/1957	22.2	10.0	17.4		311	
1/27/1957	26.7	10.6	20.1		440	
1/28/1957	23.3	11.1	17.7		356	
1/29/1957	23.9	10.0	17.9		285	
1/30/1957	23.3	10.6	17.2		329	
1/31/1957	21.7	12.8	17.0		329	
2/1/1957	22.8	16.7	20.0		329	
2/2/1957	24.4	9.4	18.8		356	
2/3/1957	25.6	8.3	19.0		356	
2/4/1957	26.1	7.8	18.8		356	
2/5/1957	23.9	8.3	18.6		356	
2/6/1957	22.2	7.2	18.1		445	
2/7/1957	26.1	7.8	19.6		445	
2/8/1957	26.7	8.3	19.9		418	
2/9/1957	23.9	11.1	20.0		400	
2/10/1957	22.2	9.4	17.7		400	
2/11/1957	26.1	11.1	20.4		418	
2/12/1957	27.2	9.4	21.2		418	
2/13/1957	27.8	8.3	21.4		418	
2/14/1957	27.8	8.9	21.2		418	
2/15/1957	28.3	8.3	21.7		324	
2/16/1957	28.3	7.2	21.7		396	
2/17/1957	27.8	9.4	21.3		356	
2/18/1957	27.2	12.2	21.7		124	
2/19/1957	27.2	12.2	21.9		311	
2/20/1957	26.7	15.0	22.0		311	
2/21/1957	25.0	16.1	20.7		311	
2/22/1957	25.0	13.3	21.0		489	
2/23/1957	25.6	14.4	20.9		240	
2/24/1957	26.1	12.2	20.8		320	
2/25/1957	26.1	8.9	21.2		445	
2/26/1957	28.3	11.1	21.3		413	
2/27/1957	26.7	10.0	20.8		285	
2/28/1957	25.0	12.2	19.7		285	
3/1/1957	23.3	14.4	17.4		373	
3/2/1957	24.4	12.8	19.9		267	
3/3/1957	25.0	13.9	20.3		311	
3/4/1957	23.9	14.4	19.8		253	
3/5/1957	23.9	13.9	18.7		356	
3/6/1957	26.1	10.6	19.6		267	
3/7/1957	25.6	13.3	20.3		267	
3/8/1957	25.6	12.8	20.4		373	
3/9/1957	24.4	11.1	18.9		356	
3/10/1957	25.0	12.2	19.0		418	
3/11/1957	19.4	13.9	16.6		311	
3/12/1957	21.7	15.0	17.4		253	
3/13/1957	27.8	14.4	21.0		258	
3/14/1957	25.0	14.4	21.1		329	
3/15/1957	26.7	12.8	21.2		258	
3/16/1957	27.2	10.6	22.0		258	
3/17/1957	26.7	8.9	21.0		400	
3/18/1957	26.1	12.8	21.8		400	
3/19/1957	26.1	15.6	22.2		400	
3/20/1957	25.6	11.1	19.6		311	
3/21/1957	25.6	10.6	18.2		400	
3/22/1957	26.7	11.7	21.7		400	
3/23/1957	26.7	11.7	20.8		400	
3/24/1957	23.3	15.0	19.3		409	
3/25/1957	26.1	14.4	21.9		276	
3/26/1957	24.4	12.8	19.0		222	
3/27/1957	22.8	15.6	18.8		209	
3/28/1957	24.4	13.9	18.9		293	
3/29/1957	22.8	15.6	18.3		262	
3/30/1957	25.0	10.0	19.6		285	
3/31/1957	23.9	10.6	19.7		356	
4/1/1957	24.4	15.6	20.0		400	
4/2/1957	23.9	15.0	20.7		400	
4/3/1957	25.6	13.9	20.1		400	
4/4/1957	25.6	13.3	20.8		267	
4/5/1957	25.0	15.6	20.9		267	
4/6/1957	26.1	14.4	20.7		324	
4/7/1957	25.0	13.3	20.6		356	
4/8/1957	24.4	14.4	19.9		365	
4/9/1957	24.4	14.4	20.0		262	
4/10/1957	26.1	12.2	20.2		213	
4/11/1957	26.7	13.3	20.9		253	
4/12/1957	23.9	13.9	19.6		253	
4/13/1957	19.4	15.6	17.0		253	
4/14/1957	22.8	13.3	17.6		356	
4/15/1957	22.8	15.0	18.0		240	
4/16/1957	23.3	16.1	20.2		311	
4/17/1957	24.4	12.8	20.0		311	
4/18/1957	25.0	12.8	19.7		311	
4/19/1957	26.1	13.3	20.7		222	
4/20/1957	23.9	13.9	19.6		285	
4/21/1957	23.3	15.0	18.6		285	
4/22/1957	22.8	13.9	18.2		342	
4/23/1957	23.3	13.3	18.2		249	
4/24/1957	23.3	12.8	19.4		267	
4/25/1957	23.9	12.8	19.6		351	
4/26/1957	22.8	13.3	19.4		267	
4/27/1957	23.3	12.2	20.0		356	
4/28/1957	22.8	12.2	18.4		267	
4/29/1957	22.8	13.3	18.6		324	
4/30/1957	23.3	11.7	18.9		324	
5/1/1957	21.7	13.3	18.1		311	
5/2/1957	23.3	13.9	19.4		267	
5/3/1957	21.7	14.4	18.2		311	
5/4/1957	23.9	15.0	18.4		285	
5/5/1957	22.8	13.3	17.9		329	
5/6/1957	22.8	14.4	17.4		311	
5/7/1957	24.4	14.4	20.0		240	
5/8/1957	24.4	13.9	19.6		213	
5/9/1957	23.9	12.2	19.6		249	
5/10/1957	24.4	11.7	19.6		329	
5/11/1957	23.3	12.2	19.6		253	
5/12/1957	24.4	11.7	19.2		240	
5/13/1957	22.2	13.3	18.2		338	
5/14/1957	25.6	15.0	20.4		293	
5/15/1957	25.0	11.7	18.9		311	
5/16/1957	22.8	12.2	19.1		311	
5/17/1957	22.2	13.9	18.4		347	
5/18/1957	24.4	12.8	19.8		276	
5/19/1957	22.8	15.0	19.2		267	
5/20/1957	22.2	12.8	18.1		253	
5/21/1957	21.7	15.6	19.3		253	
5/22/1957	22.2	14.4	19.0		240	
5/23/1957	23.3	11.7	17.6		285	
5/24/1957	25.6	12.2	19.7		285	
5/25/1957	23.9	10.6	19.2		285	
5/26/1957	22.2	12.8	18.2		240	
5/27/1957	21.7	12.2	17.9		347	
5/28/1957	22.2	12.2	18.0		373	
5/29/1957	21.7	14.4	17.6		356	
5/30/1957	20.6	14.4	17.6		276	
5/31/1957	23.3	12.8	18.2		276	
6/1/1957	23.9	12.2	17.7		240	
6/2/1957	22.2	13.9	18.4		311	
6/3/1957	22.2	13.3	18.3		285	
6/4/1957	19.4	12.8	17.1		285	
6/5/1957	23.9	14.4	18.8		240	
6/6/1957	23.3	11.1	18.7		324	
6/7/1957	24.4	10.0	18.6		285	
6/8/1957	22.2	11.7	18.6		267	
6/9/1957	24.4	11.7	19.3		240	
6/10/1957	23.3	12.2	18.1		240	
6/11/1957	23.9	9.4	18.7		204	
6/12/1957	22.2	13.3	18.3		222	
6/13/1957	22.2	8.9	18.1		320	
6/14/1957	22.8	10.0	18.1		285	
6/15/1957	23.9	10.0	17.8		329	
6/16/1957	23.9	11.7	18.6		329	
6/17/1957	22.8	11.7	18.0		196	
6/18/1957	22.8	8.3	17.9		178	
6/19/1957	22.2	9.4	17.9		178	
6/20/1957	22.8	10.0	17.4		253	
6/21/1957	22.8	10.6	17.6		285	
6/22/1957	22.2	12.2	16.7		311	
6/23/1957	18.9	13.9	16.2		227	
6/24/1957	21.1	13.9	17.4		227	
6/25/1957	23.3	12.8	18.8		267	
6/26/1957	21.7	13.3	17.6		231	
6/27/1957	19.4	13.3	16.4		258	
6/28/1957	23.3	13.3	18.1		285	
6/29/1957	23.3	12.2	18.7		231	
6/30/1957	23.3	9.4	17.1		324	
7/1/1957	23.9	9.4	19.0		293	
7/2/1957	23.9	9.4	18.7		311	
7/3/1957	24.4	9.4	18.7		356	
7/4/1957	22.2	11.1	17.8		320	
7/5/1957	22.2	13.9	18.2		160	
7/6/1957	23.3	12.8	19.0		156	
7/7/1957	21.1	10.6	17.1		93	
7/8/1957	22.8	13.3	17.7		311	
7/9/1957	22.2	10.0	17.2		293	
7/10/1957	20.6	15.0	17.9		133	
7/11/1957	19.4	14.4	17.5		187	
7/12/1957	20.6	12.8	17.8		293	
7/13/1957	23.3	12.2	18.2		213	
7/14/1957	21.7	10.6	17.2		311	
7/15/1957	23.3	12.2	19.7		311	
7/16/1957	22.8	12.8	18.7		356	
7/17/1957	21.7	14.4	17.6		356	
7/18/1957	22.2	11.1	16.0		196	
7/19/1957	22.8	13.9	18.6		160	
7/20/1957	22.8	9.4	18.6		204	
7/21/1957	23.3	12.2	19.4		276	
7/22/1957	23.9	13.9	19.2		320	
7/23/1957	22.2	12.2	17.8		289	
7/24/1957	21.7	10.6	17.3		347	
7/25/1957	21.1	11.7	17.6		302	
7/26/1957	23.9	10.0	17.3		316	
7/27/1957	21.7	11.1	17.9		378	
7/28/1957	23.3	11.1	18.0		365	
7/29/1957	21.7	10.6	17.8		311	
7/30/1957	23.3	11.7	17.7		413	
7/31/1957	22.8	11.1	17.8		311	
8/1/1957	22.2	12.8	18.3		409	
8/2/1957	21.7	11.1	16.7		391	
8/3/1957	21.7	14.4	18.6		213	
8/4/1957	20.6	13.9	16.8		213	
8/5/1957	21.7	12.8	16.9		196	
8/6/1957	21.1	11.1	16.8		196	
8/7/1957	21.7	12.8	17.1		196	
8/8/1957	20.0	13.9	16.2		365	
8/9/1957	23.9	12.8	17.8		365	
8/10/1957	21.7	13.9	17.9		347	
8/11/1957	22.8	12.2	17.1		373	
8/12/1957	21.7	11.1	17.6		347	
8/13/1957	22.2	14.4	18.2		418	
8/14/1957	22.8	12.8	17.2		342	
8/15/1957	23.9	10.6	17.7		365	
8/16/1957	22.2	10.0	17.2		249	
8/17/1957	23.9	10.0	19.1		196	
8/18/1957	23.9	12.2	19.1		258	
8/19/1957	22.8	12.8	18.8		293	
8/20/1957	22.8	10.0	18.1		324	
8/21/1957	23.9	8.3	18.4		400	
8/22/1957	21.7	11.1	17.8		329	
8/23/1957	23.9	12.8	18.3		391	
8/24/1957	22.8	10.6	16.3		302	
8/25/1957	21.7	13.9	17.0		302	
8/26/1957	23.3	12.2	17.8		365	
8/27/1957	21.1	12.2	16.9		391	
8/28/1957	22.2	11.1	16.3		391	
8/29/1957	23.9	13.9	18.3		320	
8/30/1957	21.7	11.7	16.2		320	
8/31/1957	21.1	10.6	17.8		320	
9/1/1957	24.4	7.8	17.1		320	
9/2/1957	22.2	10.6	17.7		320	
9/3/1957	23.3	8.9	17.9		338	
9/4/1957	24.4	8.3	17.8		311	
9/5/1957	22.2	7.8	17.6		373	
9/6/1957	24.4	6.7	17.6		391	
9/7/1957	24.4	8.3	18.2		391	
9/8/1957	25.0	9.4	19.0		391	
9/9/1957	25.6	8.9	18.7		285	
9/10/1957	25.0	7.2	19.0		333	
9/11/1957	23.9	10.6	17.3		333	
9/12/1957	22.8	12.8	18.6		347	
9/13/1957	26.1	10.0	20.7		347	
9/14/1957	27.2	8.3	20.8		285	
9/15/1957	22.2	9.4	18.1		329	
9/16/1957	24.4	10.0	19.8		329	
9/17/1957	23.3	11.7	18.0		329	
9/18/1957	22.8	10.0	18.3		382	
9/19/1957	26.1	8.9	20.1		324	
9/20/1957	25.0	8.3	19.4		267	
9/21/1957	25.0	9.4	19.8		267	
9/22/1957	26.1	8.9	20.0		267	
9/23/1957	26.1	8.3	20.2		267	
9/24/1957	26.7	8.3	20.3		293	
9/25/1957	26.7	7.2	20.6		320	
9/26/1957	26.7	8.9	19.3		382	
9/27/1957	25.0	11.1	19.2		382	
9/28/1957	25.0	10.0	18.6		302	
9/29/1957	26.7	11.1	20.7		302	
9/30/1957	21.7	13.3	17.6		316	
10/1/1957	26.7	10.6	20.6		302	
10/2/1957	26.1	8.3	19.4		382	
10/3/1957	26.7	9.4	19.9		436	
10/4/1957	25.6	10.6	20.4		409	
10/5/1957	27.8	8.9	21.0		409	
10/6/1957	25.0	10.0	18.2		440	
10/7/1957	24.4	12.8	19.6		427	
10/8/1957	26.7	9.4	20.4		400	
10/9/1957	27.8	8.9	20.2		400	
10/10/1957	27.2	8.9	21.2		400	
10/11/1957	24.4	11.7	20.2		400	
10/12/1957	26.1	12.8	21.7		400	
10/13/1957	25.6	11.1	21.1		391	
10/14/1957	25.0	9.4	20.3		391	
10/15/1957	27.8	11.1	21.8		391	
10/16/1957	25.0	11.7	19.0		391	
10/17/1957	25.6	10.0	20.2		391	
10/18/1957	24.4	12.8	20.7		391	
10/19/1957	25.6	11.7	20.4		365	
10/20/1957	24.4	10.0	20.0		356	
10/21/1957	25.6	8.9	19.9		400	
