Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	23.9	18.3	21.4		422	
1/2/1957	27.2	11.1	19.2		422	
1/3/1957	22.2	15.6	19.4		240	
1/4/1957	24.4	13.3	19.3		240	
1/5/1957	23.9	12.8	17.1		160	
1/6/1957	24.4	14.4	19.7		436	
1/7/1957	23.9	12.8	19.6		347	
1/8/1957	26.7	6.1	19.2		347	
1/9/1957	25.6	4.4	18.9		249	
1/10/1957	25.6	7.2	19.8		249	
1/11/1957	27.2	4.4	19.3		391	
1/12/1957	24.4	3.9	18.2		391	
1/13/1957	25.6	12.8	20.3		373	
1/14/1957	26.1	10.6	20.2		373	
1/15/1957	25.0	6.7	19.1		436	
1/16/1957	25.6	5.6	17.9		249	
1/17/1957	27.8	6.7	19.7		240	
1/18/1957	29.4	5.0	20.4		316	
1/19/1957	26.1	6.7	18.9		311	
1/20/1957	26.7	7.8	20.3		436	
1/21/1957	28.9	5.0	20.2		347	
1/22/1957	26.7	7.2	21.2		267	
1/23/1957	27.2	12.2	20.8		489	
1/24/1957	27.2	8.3	19.8		436	
1/25/1957	23.9	9.4	18.0		187	
1/26/1957	26.7	9.4	19.9		204	
1/27/1957	27.8	10.0	19.7		253	
1/28/1957	26.1	10.0	19.9		329	
1/29/1957	24.4	14.4	19.0		316	
1/30/1957	23.9	12.8	18.3		231	
1/31/1957	21.1	12.8	17.4		142	
2/1/1957	25.6	11.1	19.6		142	
2/2/1957	25.6	8.3	18.0		524	
2/3/1957	26.1	6.7	19.0		480	
2/4/1957	24.4	9.4	19.1		480	
2/5/1957	23.3	10.0	17.8		453	
2/6/1957	23.3	8.9	18.0		311	
2/7/1957	26.1	13.9	20.1		409	
2/8/1957	27.8	10.0	21.0		391	
2/9/1957	23.9	12.2	20.2		400	
2/10/1957	26.7	7.2	20.1		453	
2/11/1957	25.6	6.7	19.3		209	
2/12/1957	27.2	7.2	20.6		436	
2/13/1957	27.2	7.2	20.2		524	
2/14/1957	28.3	5.0	20.0		524	
2/15/1957	28.3	4.4	20.0		285	
2/16/1957	28.9	4.4	20.4		302	
2/17/1957	26.7	6.1	20.3		169	
2/18/1957	26.1	11.7	20.6		80	
2/19/1957	29.4	6.1	20.9		276	
2/20/1957	27.2	8.3	20.1		382	
2/21/1957	25.6	11.1	20.7		142	
2/22/1957	25.6	11.7	20.0		436	
2/23/1957	25.6	7.8	19.9		356	
2/24/1957	25.6	7.2	18.9		356	
2/25/1957	26.1	5.6	19.2		116	
2/26/1957	27.2	5.6	19.6		240	
2/27/1957	26.7	7.2	19.9		98	
2/28/1957	26.7	5.6	18.6		302	
3/1/1957	23.3	8.9	17.7		329	
3/2/1957	23.3	11.1	17.3		187	
3/3/1957	23.9	10.6	17.9		160	
3/4/1957	25.6	13.9	20.6		231	
3/5/1957	24.4	9.4	18.4		400	
3/6/1957	27.8	6.7	19.0		285	
3/7/1957	25.6	8.9	19.0		249	
3/8/1957	27.8	5.0	19.4		231	
3/9/1957	26.7	7.2	19.3		404	
3/10/1957	23.3	8.3	17.2		160	
