Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	23.3	8.9	17.7		311	
1/2/1957	27.2	5.0	19.4		400	
1/3/1957	21.7	7.8	16.1		333	
1/4/1957	23.3	10.0	17.8		311	
1/5/1957	22.8	10.6	17.0		356	
1/6/1957	22.2	8.9	16.3		178	
1/7/1957	22.2	11.7	17.8		196	
1/8/1957	26.7	7.2	19.2		329	
1/9/1957	26.7	5.6	18.9		267	
1/10/1957	28.3	8.3	19.6		169	
1/11/1957	24.4	7.8	18.3		240	
1/12/1957	24.4	8.3	19.1		240	
1/13/1957	25.0	10.0	18.1		142	
1/14/1957	26.7	7.8	19.4		445	
1/15/1957	26.1	4.4	19.0		533	
1/16/1957	26.7	5.6	19.8		356	
1/17/1957	26.7	7.2	20.0		373	
1/18/1957	26.7	7.2	20.2		213	
1/19/1957	23.3	7.8	16.7		240	
1/20/1957	26.7	8.9	20.1		285	
1/21/1957	27.2	8.9	21.1		84	
1/22/1957	26.7	11.1	21.4		285	
1/23/1957	22.8	13.3	16.9		373	
1/24/1957	22.2	13.9	16.9		329	
1/25/1957	18.3	10.0	15.8		169	
1/26/1957	22.2	10.6	17.6		285	
1/27/1957	23.9	10.0	18.2		151	
1/28/1957	20.6	13.9	16.3		169	
1/29/1957	20.0	13.3	15.7		227	
1/30/1957	20.6	12.8	16.6		116	
1/31/1957	18.9	13.9	16.2		196	
2/1/1957	21.7	12.8	17.1		196	
2/2/1957	22.2	11.7	16.9		267	
2/3/1957	25.0	10.0	17.7		267	
2/4/1957	22.2	13.9	18.7		196	
2/5/1957	22.2	10.6	16.8		213	
2/6/1957	22.2	11.7	17.7		240	
2/7/1957	23.9	10.6	17.6		267	
2/8/1957	25.0	8.9	19.0		267	
2/9/1957	24.4	8.9	17.7		196	
2/10/1957	23.3	9.4	16.8		169	
2/11/1957	25.0	13.3	18.2		80	
2/12/1957	25.0	11.1	19.9		396	
2/13/1957	26.1	6.7	20.0		400	
2/14/1957	25.0	5.0	18.2		356	
2/15/1957	25.0	5.0	18.8		196	
2/16/1957	27.2	6.1	19.7		187	
2/17/1957	26.1	8.3	20.2		187	
2/18/1957	25.0	14.4	20.6		196	
2/19/1957	26.1	7.8	19.4		196	
2/20/1957	25.0	8.9	18.2		302	
2/21/1957	24.4	7.8	19.2		267	
2/22/1957	25.6	10.6	19.3		324	
2/23/1957	24.4	8.3	18.2		489	
2/24/1957	26.1	7.2	18.2		400	
2/25/1957	24.4	6.7	18.3		573	
2/26/1957	25.0	6.7	19.0		391	
2/27/1957	24.4	6.1	18.3		240	
2/28/1957	23.3	7.8	18.3		187	
3/1/1957	22.8	8.9	17.4		285	
3/2/1957	25.0	14.4	20.6		151	
3/3/1957	25.6	10.6	19.2		329	
3/4/1957	21.7	11.1	17.8		240	
3/5/1957	22.8	8.3	18.0		302	
3/6/1957	26.1	7.2	18.9		253	
3/7/1957	23.9	8.9	19.1		213	
3/8/1957	26.1	7.2	19.6		311	
3/9/1957	25.0	6.7	18.6		347	
3/10/1957	26.1	6.7	17.7		302	
3/11/1957	17.2	15.0	16.1		107	
3/12/1957	22.2	11.1	18.2		142	
3/13/1957	26.7	11.7	19.7		227	
3/14/1957	27.8	13.3	21.0		213	
3/15/1957	25.6	8.9	20.7		329	
3/16/1957	28.9	6.7	20.9		169	
3/17/1957	26.7	7.8	20.6		342	
3/18/1957	25.0	8.9	19.2		462	
3/19/1957	25.0	7.2	18.9		302	
3/20/1957	24.4	6.1	17.8		285	
3/21/1957	25.6	12.2	20.4		413	
3/22/1957	26.1	8.9	20.1		387	
3/23/1957	25.6	7.8	20.1		347	
3/24/1957	24.4	11.1	20.3		240	
3/25/1957	26.1	11.1	21.1		418	
3/26/1957	27.2	12.8	21.7		311	
3/27/1957	25.6	12.8	20.6		285	
3/28/1957	22.8	11.1	17.4		240	
3/29/1957	22.8	8.9	17.8		267	
3/30/1957	26.1	8.9	19.7		400	
3/31/1957	26.7	10.0	20.1		356	
4/1/1957	26.1	11.1	20.4		356	
4/2/1957	27.2	11.1	21.2		373	
4/3/1957	26.1	11.1	20.8		316	
4/4/1957	26.1	9.4	20.4		356	
4/5/1957	26.7	10.6	20.8		418	
4/6/1957	25.6	8.9	19.8		445	
4/7/1957	27.2	10.0	20.3		365	
4/8/1957	26.7	10.0	20.1		440	
4/9/1957	26.1	12.8	20.9		400	
4/10/1957	26.7	5.0	19.3		440	
4/11/1957	27.2	10.0	21.1		324	
4/12/1957	23.9	12.2	17.9		196	
4/13/1957	22.2	14.4	17.6		133	
4/14/1957	22.2	12.8	16.9		231	
4/15/1957	21.7	14.4	18.7		169	
4/16/1957	21.7	11.1	17.2		142	
4/17/1957	22.2	15.0	18.8		373	
4/18/1957	22.8	15.0	19.3		267	
4/19/1957	23.9	7.8	18.4		329	
4/20/1957	23.9	15.6	19.8		142	
4/21/1957	21.1	14.4	17.4		98	
4/22/1957	22.8	14.4	18.7		196	
4/23/1957	21.7	15.0	19.0		267	
4/24/1957	22.2	14.4	18.9		267	
4/25/1957	23.9	14.4	20.1		311	
4/26/1957	22.2	14.4	18.2		271	
4/27/1957	22.2	13.9	19.0		285	
4/28/1957	23.3	14.4	19.4		311	
4/29/1957	22.2	10.0	18.0		293	
4/30/1957	22.8	13.9	18.9		267	
5/1/1957	20.6	15.0	18.1		258	
5/2/1957	22.2	13.9	18.7		231	
5/3/1957	23.3	15.0	19.4		231	
5/4/1957	22.8	13.9	17.0		258	
5/5/1957	21.1	13.9	17.2		124	
5/6/1957	21.7	12.8	16.5		169	
5/7/1957	20.6	15.6	18.1		267	
5/8/1957	21.1	15.6	18.1		329	
5/9/1957	20.0	13.9	17.1		249	
5/10/1957	20.6	15.0	18.3		329	
5/11/1957	22.8	14.4	19.3		373	
5/12/1957	20.6	15.0	18.1		196	
5/13/1957	21.7	15.0	17.9		169	
5/14/1957	20.6	15.0	17.4		213	
5/15/1957	20.6	15.0	17.9		347	
5/16/1957	19.4	15.0	17.1		285	
5/17/1957	21.1	14.4	18.0		227	
5/18/1957	21.7	15.0	18.4		231	
5/19/1957	21.7	14.4	18.3		285	
5/20/1957	21.7	14.4	18.4		231	
5/21/1957	21.1	14.4	17.9		258	
5/22/1957	21.1	13.3	18.0		249	
5/23/1957	20.0	12.2	17.3		231	
5/24/1957	22.2	8.9	17.6		240	
5/25/1957	25.0	10.6	18.6		169	
5/26/1957	23.3	12.2	17.3		204	
5/27/1957	22.2	11.1	18.2		213	
5/28/1957	20.0	13.9	16.1		107	
5/29/1957	19.4	14.4	17.0		151	
5/30/1957	18.9	14.4	16.9		80	
5/31/1957	21.1	13.9	17.4		231	
6/1/1957	22.2	13.3	18.2		196	
6/2/1957	22.8	13.9	19.0		160	
6/3/1957	22.8	11.1	18.1		178	
6/4/1957	20.6	14.4	17.9		249	
6/5/1957	20.6	12.2	17.3		187	
6/6/1957	21.1	15.0	18.1		196	
6/7/1957	21.7	12.2	18.1		293	
6/8/1957	21.1	15.0	18.1		267	
