Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1985	28.4	12.0	20.6		218	
1/2/1985	29.4	12.6	21.3		204	
1/3/1985	29.0	13.8	22.5		204	
1/4/1985	27.9	11.6	19.1		258	
1/5/1985	30.8	11.8	21.5	0	218	
1/6/1985	29.2	15.8	24.3		218	
1/7/1985	28.0	13.0	20.5		360	
1/8/1985	29.4	13.4	20.3	0.8890	160	
1/9/1985	29.9	14.4	20.8	0	218	
1/10/1985	28.9	13.5	20.5		253	
1/11/1985	29.0	14.2	22.1		333	
1/12/1985	29.0	14.2	22.1		333	
1/13/1985	29.0	14.2	22.1		333	
1/14/1985	28.2	15.4	23.9		333	
1/15/1985	28.2	15.4	23.9		333	
1/16/1985	28.2	15.4	23.9		333	
1/17/1985	26.4	20.6	23.2		356	
1/18/1985	26.0	14.0	22.4		156	
1/19/1985	29.0	14.7	23.1	0	413	
1/20/1985	30.2	14.6	23.4		413	
1/21/1985	30.5	14.6	29.2		311	
1/22/1985	30.0	15.6	25.2		324	
1/23/1985	28.0	14.9	20.8	0.0254	218	
1/24/1985	27.0	14.4	21.6	0	244	
1/25/1985	25.7	15.6	20.4	0	142	
1/26/1985	20.0	15.5	18.0	6.7056	138	
1/27/1985	28.9	19.0	24.0	0	129	
1/28/1985	24.0	17.0	20.1		116	
1/29/1985	25.6	14.9	20.2	1.3970	298	
1/30/1985	27.2	15.0	19.9	0	222	
1/31/1985	27.1	14.5	20.4	0.1016	173	
2/1/1985	27.2	14.9	19.3	0	133	
2/2/1985	22.8	15.0	18.8		196	
2/3/1985	25.0	15.8	18.7	0.5080	133	
2/4/1985	26.4	13.1	19.9	0.1016	120	
2/5/1985	23.4	14.6	19.1	2.0066	142	
2/6/1985	20.0	13.8	17.4	0.2032	204	
2/7/1985	26.4	13.0	18.5	0	107	
2/8/1985	23.9	14.5	19.3	0.2032	129	
2/9/1985	23.9	14.5	19.3		129	
2/10/1985	24.9	14.0	16.6	0	124	
2/11/1985	27.6	14.6	20.7		120	
2/12/1985	27.4	13.0	19.4		138	
2/13/1985	25.0	12.1	21.3		147	
2/14/1985	27.7	10.9	16.7	0	164	
2/15/1985	27.4	12.1	22.0		293	
2/16/1985	27.0	12.1	20.6		213	
2/17/1985	27.0	14.0	19.8		147	
2/18/1985	27.2	12.5	23.1		160	
2/19/1985	28.4	11.9	21.9	0	196	
2/20/1985	26.5	13.0	15.6		173	
2/21/1985	29.0	15.3	25.4		151	
2/22/1985	29.2	16.2	23.0		191	
2/23/1985	29.0	14.3	24.6		222	
2/24/1985	30.2	21.6	25.4		298	
2/25/1985	28.0	16.7	20.9		196	
2/26/1985	28.0	15.0	21.2	0.0254	231	
2/27/1985	25.0	15.4	22.0	1.0922	204	
2/28/1985	26.0	14.4	21.7	2.7940	138	
3/1/1985	25.6	16.0	20.6	0	196	
3/2/1985	28.0	14.0	22.5		200	
3/3/1985	28.1	14.0	21.4		138	
3/4/1985	28.2	15.0	21.2		147	
3/5/1985	29.0	13.4	23.9		391	
3/6/1985	28.6	13.1	23.4	0.7112	413	
3/7/1985	28.6	19.0	23.1	0	738	
3/8/1985	29.4	15.2	21.6		582	
3/9/1985	29.0	14.4	20.9		569	
3/10/1985	29.0	16.0	23.7		569	
3/11/1985	28.5	17.6	25.4		569	
3/12/1985	30.0	23.0	28.3		569	
3/13/1985	31.0	17.6	25.2		569	
3/14/1985	31.8	17.6	29.3		569	
3/15/1985	32.0	16.6	25.9		231	
3/16/1985	33.5	15.6	25.4		164	
3/17/1985	33.3	17.1	26.8		231	
3/18/1985	31.0	17.5	24.7	0	267	
3/19/1985	26.0	18.4	22.2	0.4064	200	
3/20/1985	24.1	16.4	17.1	0	200	
3/21/1985	27.0	16.1	21.8	0.8890	164	
3/22/1985	24.9	15.3	18.7	0.2032	124	
3/23/1985	28.4	16.7	21.8	0.1016	244	
3/24/1985	26.0	15.7	21.7	1.8034	160	
3/25/1985	25.7	15.3	21.6	0.0508	253	
3/26/1985	25.7	15.3	21.6		253	
3/27/1985	22.0	15.4	19.8	8.0010	160	
3/28/1985	23.5	14.9	18.8	2.0066	200	
3/29/1985	23.0	15.4	19.5	0.3048	133	
3/30/1985	24.0	15.0	20.3	1.9050	151	
3/31/1985	23.0	15.6	20.1	1.6002	200	
4/1/1985	23.0	14.7	19.4	1.6002	124	
4/2/1985	28.0	13.9	20.3	0.0254	173	
4/3/1985	26.7	14.6	21.8	0	147	
4/4/1985	26.5	17.0	22.3		196	
4/5/1985	26.0	16.0	20.4		262	
4/6/1985	21.2	17.0	18.9		80	
